model,batchsize,blocknum,threadnum,SMACT,SMOCC,DRAMA,GPU_Util,index
mobilenet_v2,16,0,16,0.410333,0.204992,0.214053,52.7285,mean
mobilenet_v2,16,0,16,0.698,0.337,0.416,58,95th
mobilenet_v2,16,0,16,0.737,0.351,0.448,60,99th
resnet18,32,0,8,0.729415,0.271346,0.385604,85.0348,mean
resnet18,32,0,8,0.906,0.355,0.508,93,95th
resnet18,32,0,8,0.912,0.363,0.523,94,99th
resnet50,256,0,2,0.572887,0.260207,0.318568,61.1462,mean
resnet50,256,0,2,0.981,0.65,0.716,100,95th
resnet50,256,0,2,0.99,0.791,0.8,100,99th
resnet50,256,0,8,0.925482,0.420302,0.514462,99.3595,mean
resnet50,256,0,8,0.986,0.67,0.749,100,95th
resnet50,256,0,8,0.992,0.827,0.834,100,99th
shufflenet_v2_x1_0,64,0,16,0.449335,0.215336,0.250829,62.2399,mean
shufflenet_v2_x1_0,64,0,16,0.771,0.373,0.44,72,95th
shufflenet_v2_x1_0,64,0,16,0.809,0.402,0.456,79,99th
shufflenet_v2_x1_0,16,0,1,0.0445319,0.0168696,0.0154429,7.42518,mean
shufflenet_v2_x1_0,16,0,1,0.199,0.08,0.087,10,95th
shufflenet_v2_x1_0,16,0,1,0.275,0.114,0.114,11,99th
shufflenet_v2_x1_0,32,0,2,0.0833609,0.0345049,0.0364112,12.4593,mean
shufflenet_v2_x1_0,32,0,2,0.4,0.167,0.189,23,95th
shufflenet_v2_x1_0,32,0,2,0.535,0.235,0.257,23,99th
resnet18,16,0,1,0.105466,0.0383214,0.0508511,13.0465,mean
resnet18,16,0,1,0.65,0.225,0.307,19,95th
resnet18,16,0,1,0.868,0.301,0.402,22,99th
shufflenet_v2_x1_0,16,0,16,0.132972,0.0503152,0.0459284,22.4165,mean
shufflenet_v2_x1_0,16,0,16,0.262,0.108,0.114,25,95th
shufflenet_v2_x1_0,16,0,16,0.278,0.115,0.118,25,99th
shufflenet_v2_x1_0,32,0,8,0.235862,0.099449,0.110131,35.1604,mean
shufflenet_v2_x1_0,32,0,8,0.491,0.22,0.252,39,95th
shufflenet_v2_x1_0,32,0,8,0.537,0.237,0.269,57,99th
resnet18,64,0,8,0.741089,0.276348,0.394431,84.8567,mean
resnet18,64,0,8,0.926,0.435,0.56,97,95th
resnet18,64,0,8,0.934,0.45,0.584,97,99th
resnet50,64,0,16,0.883507,0.380092,0.4785,97.6152,mean
resnet50,64,0,16,0.947,0.473,0.664,99,95th
resnet50,64,0,16,0.953,0.505,0.704,99,99th
mobilenet_v2,128,0,16,0.818357,0.464999,0.520803,97.0998,mean
mobilenet_v2,128,0,16,0.953,0.631,0.765,99,95th
mobilenet_v2,128,0,16,0.976,0.706,0.811,99,99th
resnet18,16,0,2,0.196468,0.0713305,0.0943726,23.8553,mean
resnet18,16,0,2,0.787,0.276,0.376,30,95th
resnet18,16,0,2,0.871,0.303,0.416,33,99th
mobilenet_v2,16,0,4,0.422466,0.211044,0.220507,54.357,mean
mobilenet_v2,16,0,4,0.7,0.34,0.425,58,95th
mobilenet_v2,16,0,4,0.745,0.355,0.452,59,99th
mobilenet_v2,256,0,2,0.219982,0.126526,0.143396,25.7777,mean
mobilenet_v2,256,0,2,0.952,0.609,0.707,99,95th
mobilenet_v2,256,0,2,0.983,0.713,0.799,100,99th
resnet50,16,0,2,0.595249,0.244126,0.291548,68.5952,mean
resnet50,16,0,2,0.894,0.397,0.523,77,95th
resnet50,16,0,2,0.901,0.408,0.548,81,99th
resnet50,128,0,1,0.290176,0.131554,0.160723,31.3471,mean
resnet50,128,0,1,0.956,0.533,0.634,100,95th
resnet50,128,0,1,0.965,0.585,0.696,100,99th
resnet18,64,0,16,0.82398,0.307359,0.438151,94.4295,mean
resnet18,64,0,16,0.927,0.437,0.561,97,95th
resnet18,64,0,16,0.934,0.453,0.581,97,99th
resnet50,32,0,2,0.596127,0.255606,0.310497,66.8734,mean
resnet50,32,0,2,0.923,0.447,0.588,95,95th
resnet50,32,0,2,0.929,0.479,0.632,97,99th
resnet18,16,0,16,0.566487,0.209992,0.288723,68.5359,mean
resnet18,16,0,16,0.859,0.306,0.424,75,95th
resnet18,16,0,16,0.876,0.314,0.439,76,99th
shufflenet_v2_x1_0,256,0,8,0.313488,0.160395,0.200807,40.3992,mean
shufflenet_v2_x1_0,256,0,8,0.921,0.508,0.657,99,95th
shufflenet_v2_x1_0,256,0,8,0.94,0.531,0.706,99,99th
shufflenet_v2_x1_0,128,0,1,0.041221,0.0201544,0.0239357,5.41714,mean
shufflenet_v2_x1_0,128,0,1,0.472,0.236,0.258,39,95th
shufflenet_v2_x1_0,128,0,1,0.887,0.428,0.494,39,99th
resnet50,64,0,1,0.302051,0.129809,0.163525,33.2277,mean
resnet50,64,0,1,0.938,0.458,0.595,98,95th
resnet50,64,0,1,0.949,0.484,0.686,99,99th
resnet50,128,0,2,0.573739,0.259744,0.317248,62.0801,mean
resnet50,128,0,2,0.961,0.554,0.673,100,95th
resnet50,128,0,2,0.968,0.609,0.709,100,99th
mobilenet_v2,128,0,1,0.112678,0.0640192,0.0716861,13.2485,mean
mobilenet_v2,128,0,1,0.92,0.545,0.557,79,95th
mobilenet_v2,128,0,1,0.95,0.619,0.752,93,99th
mobilenet_v2,128,0,8,0.82082,0.466145,0.522483,97.5292,mean
mobilenet_v2,128,0,8,0.953,0.632,0.766,99,95th
mobilenet_v2,128,0,8,0.976,0.705,0.801,99,99th
mobilenet_v2,32,0,16,0.689045,0.366356,0.397462,85.5034,mean
mobilenet_v2,32,0,16,0.884,0.544,0.632,91,95th
mobilenet_v2,32,0,16,0.894,0.555,0.661,96,99th
resnet18,64,0,4,0.374334,0.139553,0.199243,42.8535,mean
resnet18,64,0,4,0.922,0.405,0.535,90,95th
resnet18,64,0,4,0.93,0.445,0.578,96,99th
resnet50,32,0,16,0.857159,0.367709,0.446919,96.2468,mean
resnet50,32,0,16,0.925,0.458,0.606,98,95th
resnet50,32,0,16,0.929,0.481,0.634,99,99th
shufflenet_v2_x1_0,32,0,4,0.169863,0.0705644,0.0750039,25.0863,mean
shufflenet_v2_x1_0,32,0,4,0.494,0.216,0.246,35,95th
shufflenet_v2_x1_0,32,0,4,0.542,0.239,0.263,37,99th
resnet50,256,0,1,0.286853,0.130538,0.160009,30.4341,mean
resnet50,256,0,1,0.973,0.542,0.67,100,95th
resnet50,256,0,1,0.989,0.707,0.772,100,99th
shufflenet_v2_x1_0,64,0,8,0.310265,0.148673,0.173099,43.0461,mean
shufflenet_v2_x1_0,64,0,8,0.748,0.348,0.412,66,95th
shufflenet_v2_x1_0,64,0,8,0.8,0.4,0.456,72,99th
resnet50,16,0,4,0.814266,0.333923,0.398596,94.047,mean
resnet50,16,0,4,0.895,0.407,0.541,96,95th
resnet50,16,0,4,0.902,0.414,0.571,97,99th
mobilenet_v2,32,0,2,0.223302,0.118719,0.128953,27.8601,mean
mobilenet_v2,32,0,2,0.828,0.451,0.494,51,95th
mobilenet_v2,32,0,2,0.889,0.485,0.6,51,99th
resnet18,128,0,1,0.0895852,0.035992,0.0473485,10.0039,mean
resnet18,128,0,1,0.923,0.365,0.487,66,95th
resnet18,128,0,1,0.948,0.441,0.583,69,99th
shufflenet_v2_x1_0,256,0,1,0.0396965,0.0203083,0.0254142,5.08923,mean
shufflenet_v2_x1_0,256,0,1,0.118,0.03,0.085,50,95th
shufflenet_v2_x1_0,256,0,1,0.914,0.499,0.584,72,99th
