model,batchsize,blocknum,threadnum,iteration,total_avg,total_avg_filter,total_fluctuation(%),data_avg,data_avg_filter,data_fluctuation(%),train_avg,train_avg_filter,train_fluctuation(%)
resnet18,256,0,1,2001,2.19365,2.19305,0.0273721,2.11777,2.11741,0.0170048,0.075875,0.0756348,0.317606
resnet50,32,0,8,2001,0.0566581,0.0559426,1.27904,0.00217555,0.00172716,25.9609,0.0544826,0.0542154,0.492747
mobilenet_v2,16,0,8,2001,0.0373992,0.0368034,1.61881,0.00152772,0.00118576,28.8395,0.0358715,0.0356176,0.712594
resnet50,128,0,4,2001,0.150978,0.149787,0.795409,0.00716179,0.00628467,13.9565,0.143816,0.143502,0.219018
resnet18,64,0,2,2001,0.26124,0.260657,0.223702,0.232473,0.232104,0.159086,0.0287672,0.0285534,0.748951
resnet50,16,0,1,2001,0.135174,0.134772,0.298403,0.0895982,0.089439,0.177965,0.0455758,0.0453328,0.536022
resnet50,32,0,4,2001,0.0579554,0.05742,0.932407,0.00200387,0.00172477,16.1815,0.0559516,0.0556953,0.460171
shufflenet_v2_x1_0,128,0,8,2001,0.135443,0.134212,0.91718,0.0903522,0.0894559,1.00194,0.0450912,0.0447565,0.747776
shufflenet_v2_x1_0,256,0,4,2001,0.522547,0.520944,0.307726,0.462792,0.461512,0.277248,0.0597552,0.0594316,0.544396
resnet50,32,0,2,2001,0.103969,0.103437,0.514439,0.0477538,0.0474659,0.606634,0.0562149,0.0559707,0.436253
resnet18,128,0,8,2001,0.072063,0.0707863,1.8036,0.0262562,0.0253353,3.63508,0.0458067,0.0454509,0.782702
resnet18,128,0,1,2001,1.08631,1.08587,0.0407955,1.04201,1.04178,0.0220956,0.0443066,0.0440938,0.482603
shufflenet_v2_x1_0,256,0,1,2001,2.32521,2.32485,0.0156771,2.26641,2.26623,0.00771648,0.0588068,0.0586172,0.323449
mobilenet_v2,256,0,4,2001,0.383112,0.3814,0.448849,0.261465,0.2602,0.486181,0.121646,0.1212,0.368702
shufflenet_v2_x1_0,128,0,2,2001,0.572347,0.571571,0.135858,0.526291,0.525783,0.0967341,0.0460557,0.0457878,0.585121
mobilenet_v2,64,0,2,2001,0.268185,0.267526,0.24637,0.221954,0.221559,0.178503,0.0462306,0.0459669,0.573484
resnet18,16,0,16,2001,0.0229939,0.0225299,2.0598,0.00152656,0.00127438,19.7886,0.0214674,0.0212555,0.996865
mobilenet_v2,128,0,1,2001,1.11038,1.10986,0.047033,1.04097,1.0407,0.0260228,0.0694084,0.0691572,0.363203
resnet50,32,0,1,2001,0.235146,0.234704,0.18831,0.179372,0.179191,0.10063,0.0557742,0.0555125,0.471335
resnet18,16,0,4,2001,0.0357614,0.0353144,1.26583,0.012873,0.0126485,1.77539,0.0228884,0.022666,0.981473
mobilenet_v2,32,0,4,2001,0.0635959,0.0630482,0.868624,0.0233568,0.023007,1.5202,0.0402391,0.0400412,0.494241
shufflenet_v2_x1_0,32,0,16,2001,0.0525526,0.0517471,1.55675,0.00266656,0.0021005,26.9485,0.0498861,0.0496466,0.482444
mobilenet_v2,16,0,16,2001,0.0405624,0.0398485,1.79147,0.00170665,0.00124856,36.6892,0.0388558,0.0386,0.662659
shufflenet_v2_x1_0,256,0,16,2001,0.0772284,0.074376,3.83512,0.0179357,0.0154278,16.2556,0.0592927,0.0589482,0.584463
resnet50,128,0,8,2001,0.150979,0.149628,0.902957,0.00728786,0.0063403,14.945,0.143691,0.143287,0.281614
resnet50,64,0,1,2001,0.466055,0.465558,0.106823,0.382751,0.382495,0.0669301,0.0833038,0.0830625,0.290524
mobilenet_v2,16,0,4,2001,0.038898,0.0384188,1.24745,0.00146854,0.00121244,21.123,0.0374295,0.0372063,0.599763
resnet50,256,0,8,2001,0.272492,0.269985,0.928499,0.014205,0.0121808,16.6176,0.258287,0.257804,0.187216
resnet50,256,0,16,2001,0.273785,0.27082,1.09458,0.0148216,0.0122961,20.5395,0.258963,0.258524,0.169723
mobilenet_v2,128,0,2,2001,0.507743,0.506836,0.178875,0.437953,0.437334,0.141469,0.0697899,0.069502,0.414246
resnet50,16,0,2,2001,0.0637612,0.063315,0.704611,0.0197627,0.0195591,1.04123,0.0439984,0.0437559,0.554141
mobilenet_v2,256,0,2,2001,1.05389,1.05256,0.127216,0.932488,0.931506,0.105416,0.121406,0.121049,0.294981
shufflenet_v2_x1_0,64,0,1,2001,0.596061,0.595621,0.0739064,0.549601,0.549384,0.0393516,0.0464605,0.0462365,0.484488
resnet18,256,0,2,2001,1.04728,1.04608,0.115226,0.970982,0.970083,0.0926751,0.0763016,0.0759953,0.403091
shufflenet_v2_x1_0,32,0,1,2001,0.312255,0.311824,0.138219,0.260666,0.26048,0.0715846,0.0515889,0.0513444,0.476268
mobilenet_v2,32,0,2,2001,0.142955,0.142412,0.381181,0.100689,0.100406,0.282592,0.0422652,0.0420061,0.616835
resnet18,128,0,4,2001,0.214038,0.213039,0.469032,0.168734,0.168039,0.41381,0.0453034,0.0449995,0.675246
resnet50,64,0,8,2001,0.0880174,0.087095,1.05906,0.00385172,0.00326431,17.9951,0.0841657,0.0838307,0.399586
shufflenet_v2_x1_0,32,0,4,2001,0.0762847,0.075696,0.777694,0.0268976,0.0265404,1.34593,0.0493871,0.0491556,0.47089
shufflenet_v2_x1_0,16,0,4,2001,0.0507141,0.0502021,1.01982,0.0016315,0.00135014,20.8393,0.0490826,0.048852,0.472061
resnet50,32,0,16,2001,0.0547309,0.0539374,1.47118,0.00223438,0.00177736,25.713,0.0524966,0.0521601,0.645134
shufflenet_v2_x1_0,64,0,16,2001,0.048398,0.0471775,2.58704,0.00467996,0.00364739,28.3096,0.043718,0.0435301,0.431744
resnet50,64,0,16,2001,0.0880912,0.0870088,1.24397,0.00391429,0.00332334,17.782,0.0841769,0.0836855,0.587207
