IOSize (KB),Threads,Throughput (GiB/sec),IOPS,Avg Latency (us)
256,1,0.292148,1196.638208,796.242188
512,1,0.482123,987.387904,937.390625
1024,1,0.515987,528.370688,1733.984375
2048,1,0.490908,251.344896,3600.71875
4096,1,0.491016,125.700096,7002.375
8192,1,0.488556,62.535168,13013.5
0.5,1,0.000843,1767.899136,565.4944
1,1,0.00152,1593.83552,627.220963
2,1,0.003047,1597.505536,625.625122
4,1,0.007183,1882.980352,530.496643
8,1,0.014308,1875.378176,532.092529
16,1,0.027591,1808.203776,550.720947
256,1,0.334747,1371.123712,692.050781
512,1,0.492502,1008.644096,915.59375
1024,1,0.481688,493.248512,1863.0625
2048,1,0.506655,259.40736,3468.5
4096,1,0.506339,129.622784,6662.5625
8192,1,0.517513,66.241664,12173.25
0.5,1,0.000813,1704.984576,586.339859
1,1,0.001531,1605.369856,622.90184
2,1,0.003162,1657.798656,602.897308
4,1,0.007485,1962.14784,509.101379
8,1,0.014533,1904.869376,523.820679
16,1,0.029713,1947.271168,511.226318
256,1,0.292148,1196.638208,796.242188
512,1,0.482123,987.387904,937.390625
1024,1,0.515987,528.370688,1733.984375
2048,1,0.490908,251.344896,3600.71875
4096,1,0.491016,125.700096,7002.375
8192,1,0.488556,62.535168,13013.5
0.5,1,0.000843,1767.899136,565.4944
1,1,0.00152,1593.83552,627.220963
2,1,0.003047,1597.505536,625.625122
4,1,0.007183,1882.980352,530.496643
8,1,0.014308,1875.378176,532.092529
16,1,0.027591,1808.203776,550.720947
256,1,0.334747,1371.123712,692.050781
512,1,0.492502,1008.644096,915.59375
1024,1,0.481688,493.248512,1863.0625
2048,1,0.506655,259.40736,3468.5
4096,1,0.506339,129.622784,6662.5625
8192,1,0.517513,66.241664,12173.25
0.5,1,0.000813,1704.984576,586.339859
1,1,0.001531,1605.369856,622.90184
2,1,0.003162,1657.798656,602.897308
4,1,0.007485,1962.14784,509.101379
8,1,0.014533,1904.869376,523.820679
16,1,0.029713,1947.271168,511.226318
256,1,0.292148,1196.638208,796.242188
512,1,0.482123,987.387904,937.390625
1024,1,0.515987,528.370688,1733.984375
2048,1,0.490908,251.344896,3600.71875
4096,1,0.491016,125.700096,7002.375
8192,1,0.488556,62.535168,13013.5
0.5,1,0.000843,1767.899136,565.4944
1,1,0.00152,1593.83552,627.220963
2,1,0.003047,1597.505536,625.625122
4,1,0.007183,1882.980352,530.496643
8,1,0.014308,1875.378176,532.092529
16,1,0.027591,1808.203776,550.720947
256,1,0.334747,1371.123712,692.050781
512,1,0.492502,1008.644096,915.59375
1024,1,0.481688,493.248512,1863.0625
2048,1,0.506655,259.40736,3468.5
4096,1,0.506339,129.622784,6662.5625
8192,1,0.517513,66.241664,12173.25
0.5,1,0.000813,1704.984576,586.339859
1,1,0.001531,1605.369856,622.90184
2,1,0.003162,1657.798656,602.897308
4,1,0.007485,1962.14784,509.101379
8,1,0.014533,1904.869376,523.820679
16,1,0.029713,1947.271168,511.226318
256,1,0.302577,1239.355392,769.597656
512,1,0.49258,1008.80384,917.1875
1024,1,0.489095,500.83328,1833.5
2048,1,0.506446,259.300352,3476.6875
4096,1,0.501613,128.412928,6803.0
8192,1,0.496797,63.590016,12855.375
16384,1,0.560372,35.863808,18844.75
16384,1,0.509509,32.608576,21443.5
256,1,0.292148,1196.638208,796.242188
512,1,0.482123,987.387904,937.390625
1024,1,0.515987,528.370688,1733.984375
2048,1,0.490908,251.344896,3600.71875
4096,1,0.491016,125.700096,7002.375
8192,1,0.488556,62.535168,13013.5
0.5,1,0.000843,1767.899136,565.4944
1,1,0.00152,1593.83552,627.220963
2,1,0.003047,1597.505536,625.625122
4,1,0.007183,1882.980352,530.496643
8,1,0.014308,1875.378176,532.092529
16,1,0.027591,1808.203776,550.720947
256,1,0.334747,1371.123712,692.050781
512,1,0.492502,1008.644096,915.59375
1024,1,0.481688,493.248512,1863.0625
2048,1,0.506655,259.40736,3468.5
4096,1,0.506339,129.622784,6662.5625
8192,1,0.517513,66.241664,12173.25
0.5,1,0.000813,1704.984576,586.339859
1,1,0.001531,1605.369856,622.90184
2,1,0.003162,1657.798656,602.897308
4,1,0.007485,1962.14784,509.101379
8,1,0.014533,1904.869376,523.820679
16,1,0.029713,1947.271168,511.226318
256,1,0.302577,1239.355392,769.597656
512,1,0.49258,1008.80384,917.1875
1024,1,0.489095,500.83328,1833.5
2048,1,0.506446,259.300352,3476.6875
4096,1,0.501613,128.412928,6803.0
8192,1,0.496797,63.590016,12855.375
16384,1,0.560372,35.863808,18844.75
16384,1,0.509509,32.608576,21443.5
32,1,0.057327,1878.491136,527.72998
64,1,0.108326,1774.813184,554.201172
32,1,0.057857,1895.858176,522.956543
64,1,0.09871,1617.26464,609.021484
