IOSize (KB),Threads,Throughput (GiB/sec),IOPS,Data_Points,Avg Latency (us)
0.5,1,0.000828,1736.441856,8,575.9171295000001
1.0,1,0.0015255,1599.602688,8,625.0614015
2.0,1,0.0031044999999999996,1627.6520959999998,8,614.261215
4.0,1,0.007334,1922.564096,8,519.799011
8.0,1,0.0144205,1890.123776,8,527.956604
16.0,1,0.028652,1877.737472,8,530.9736325
32.0,1,0.057592000000000004,1887.1746560000001,2,525.3432614999999
64.0,1,0.103518,1696.038912,2,581.611328
256.0,1,0.31127340000000003,1274.9758464000001,10,749.2367188000001
512.0,1,0.48836599999999997,1000.1735679999999,10,924.63125
1024.0,1,0.496889,508.814336,10,1805.51875
2048.0,1,0.5003143999999999,256.16097279999997,10,3523.025
4096.0,1,0.49926459999999995,127.81173759999999,10,6826.575
8192.0,1,0.501787,64.228736,10,12645.775
16384.0,1,0.5349405,34.236192,4,20144.125
