batch_size,worker_num,prefetch_factor,data_per,AVG_data,AVG_train
16,1,1,0.718447557,0.082928302,0.032498776
16,1,2,0.785846169,0.112766593,0.030730439
16,1,3,0.771370443,0.108523018,0.032165569
16,1,4,0.766957067,0.105789203,0.032144467
16,1,5,0.773158789,0.110580697,0.032443865
16,1,6,0.768387141,0.106061861,0.03196994
16,1,7,0.768617065,0.107490367,0.032358684
16,1,8,0.774418855,0.107440093,0.031296319
16,1,9,0.765862603,0.102425748,0.031313316
16,1,10,0.762580844,0.099887324,0.031098557
16,1,11,0.768792758,0.103686393,0.031182715
16,1,12,0.756643823,0.099844451,0.032112552
16,1,13,0.751030325,0.099350448,0.032935086
16,1,14,0.757493209,0.105242178,0.033692636
16,1,15,0.763247673,0.100871708,0.031289465
16,1,16,0.752265183,0.101403307,0.033393981
16,2,1,0.64225423,0.056019129,0.031203541
16,2,2,0.582666754,0.044769315,0.032065882
16,2,3,0.595057805,0.047639978,0.032419434
16,2,4,0.568035258,0.044682863,0.033979266
16,2,5,0.555049998,0.041154908,0.0329914
16,2,6,0.551176072,0.039479606,0.032148333
16,2,7,0.561755855,0.040837059,0.031858327
16,2,8,0.531585851,0.037391971,0.032948447
16,2,9,0.528139479,0.037711382,0.033692827
16,2,10,0.51752509,0.036574738,0.034097657
16,2,11,0.547942574,0.038797201,0.032008031
16,2,12,0.556340768,0.038763322,0.03091218
16,2,13,0.52171418,0.035878434,0.032891853
16,2,14,0.555994816,0.038790123,0.030976936
16,2,15,0.54616427,0.038871559,0.03230036
16,2,16,0.507063292,0.033602182,0.032666038
16,4,1,0.373880427,0.018664374,0.03125633
16,4,2,0.275422413,0.012148521,0.031960165
16,4,3,0.283860045,0.013018505,0.032843903
16,4,4,0.219211491,0.009381341,0.033414504
16,4,5,0.232718911,0.010168828,0.033526925
16,4,6,0.207501345,0.008920749,0.034070534
16,4,7,0.209961127,0.009292238,0.034964706
16,4,8,0.206396156,0.009609606,0.036949429
16,4,9,0.185837761,0.008453692,0.037035942
16,4,10,0.192336448,0.008850116,0.037163608
16,4,11,0.210474477,0.010334487,0.038766417
16,4,12,0.197354635,0.00913448,0.037150117
16,4,13,0.215096422,0.00977641,0.035674881
16,4,14,0.194239368,0.008648428,0.035876162
16,4,15,0.209996111,0.009383216,0.035299591
16,4,16,0.184758958,0.008220976,0.036274709
16,8,1,0.242471529,0.010110098,0.031585922
16,8,2,0.255861732,0.011234863,0.032675037
16,8,3,0.2425249,0.010903873,0.034055934
16,8,4,0.243185177,0.010862551,0.033805267
16,8,5,0.245410212,0.012090987,0.037177488
16,8,6,0.216143088,0.011057713,0.040101514
16,8,7,0.184462999,0.009485965,0.041938791
16,8,8,0.223178274,0.012150185,0.042291426
16,8,9,0.189446658,0.01067731,0.045683197
16,8,10,0.201175163,0.011539833,0.045822284
16,8,11,0.201220086,0.01181918,0.046918397
16,8,12,0.172988852,0.01036515,0.049552871
16,8,13,0.176163082,0.01078781,0.05044982
16,8,14,0.163143608,0.010130055,0.051962815
16,8,15,0.16501075,0.01052683,0.053267984
16,8,16,0.169602557,0.010928304,0.053506477
16,16,1,0.290179249,0.012909155,0.031577676
16,16,2,0.251887131,0.012396078,0.036816751
16,16,3,0.294019043,0.015349926,0.036857324
16,16,4,0.210905172,0.011527908,0.043131291
