model,batchsize,blocknum,threadnum,iteration,total_avg,total_avg_filter,total_fluctuation(%),data_avg,data_avg_filter,data_fluctuation(%),train_avg,train_avg_filter,train_fluctuation(%)
resnet50,256,4,32,2001,0.338626,0.338302,0.095726,0.0150027,0.0150102,-0.049975,0.323636,0.323321,0.0971937
resnet18,64,2,32,2001,0.0325758,0.032405,0.527028,0.00407242,0.00407445,-0.049975,0.0285157,0.0283519,0.577728
shufflenet_v2_x1_0,256,4,32,2001,0.115789,0.115636,0.132807,0.0576343,0.0576631,-0.049975,0.0581099,0.0579456,0.283482
resnet50,128,4,32,2001,0.183728,0.183499,0.124644,0.00725426,0.00725788,-0.049975,0.176487,0.176268,0.124252
resnet18,16,1,32,2001,0.0171862,0.0170135,1.01514,0.0017022,0.00170305,-0.049975,0.015519,0.0153512,1.09301
resnet50,32,1,32,2001,0.0690263,0.0688529,0.251849,0.0023753,0.00237649,-0.049975,0.0666659,0.0664981,0.252352
resnet50,64,2,32,2001,0.119692,0.119505,0.15638,0.00407198,0.00407401,-0.049975,0.115635,0.115456,0.155072
resnet18,256,4,32,2001,0.090192,0.0899802,0.235391,0.0145389,0.0145462,-0.049975,0.0756632,0.0754635,0.264597
mobilenet_v2,128,4,32,2001,0.08224,0.0820541,0.226573,0.00710882,0.00711237,-0.049975,0.0751429,0.0749654,0.236736
mobilenet_v2,32,1,32,2001,0.0380095,0.0378386,0.451648,0.00231258,0.00231374,-0.049975,0.0357106,0.0355458,0.463537
resnet18,32,1,32,2001,0.0206915,0.0205146,0.862287,0.00335595,0.00335762,-0.049975,0.0173486,0.0171768,1.00057
shufflenet_v2_x1_0,32,1,32,2001,0.0477572,0.0476015,0.327109,0.00543381,0.00543652,-0.049975,0.0423511,0.0422007,0.356523
shufflenet_v2_x1_0,128,4,32,2001,0.0633346,0.0631703,0.259966,0.0222789,0.0222901,-0.049975,0.041067,0.0409054,0.394871
shufflenet_v2_x1_0,64,2,32,2001,0.0374889,0.0373238,0.442436,0.00897995,0.00898444,-0.049975,0.0285222,0.0283624,0.563448
mobilenet_v2,64,2,32,2001,0.0543528,0.0541716,0.334429,0.00391717,0.00391913,-0.049975,0.0504489,0.0502752,0.345538
mobilenet_v2,16,1,32,2001,0.0395757,0.0393993,0.447882,0.0035857,0.00358749,-0.049975,0.0360194,0.0358471,0.480826
resnet50,16,1,32,2001,0.0531587,0.0529883,0.321613,0.00173304,0.0017339,-0.049975,0.0514431,0.0512778,0.322373
mobilenet_v2,256,4,32,2001,0.14101,0.140782,0.162113,0.0143869,0.014394,-0.049975,0.126633,0.126415,0.172611
resnet18,128,4,32,2001,0.0522658,0.0520853,0.34652,0.00751407,0.00751782,-0.049975,0.0447631,0.0445944,0.378132
shufflenet_v2_x1_0,16,1,32,2001,0.0482397,0.0480712,0.350498,0.00390226,0.00390422,-0.049975,0.0443698,0.044206,0.370514
