batch_size,worker_num,prefetch_factor,epoch,total_time,data_time,training_time,data_todevice_time
64,32,1,0,4.201755046844482,2.6280548572540283,1.573700189590454,0.12130093574523926
64,32,1,1,2.0858664512634277,0.9843335151672363,1.1015329360961914,0.11999750137329102
64,32,1,2,2.0851402282714844,0.9758608341217041,1.1092793941497803,0.12019968032836914
64,32,1,3,1.7878718376159668,0.6874911785125732,1.1003806591033936,0.12025213241577148
64,32,1,4,1.8346278667449951,0.7139465808868408,1.1206812858581543,0.12050747871398926
64,32,1,5,2.0453758239746094,0.9331190586090088,1.1122567653656006,0.12023663520812988
128,32,1,0,3.9428365230560303,2.552130699157715,1.3907058238983154,0.11994743347167969
128,32,1,1,2.097635269165039,1.225151777267456,0.872483491897583,0.11915302276611328
128,32,1,2,2.0428249835968018,1.1667115688323975,0.8761134147644043,0.11927986145019531
128,32,1,3,1.9314346313476562,1.187946081161499,0.7434885501861572,0.11928892135620117
128,32,1,4,2.373020887374878,1.4982571601867676,0.8747637271881104,0.11928701400756836
128,32,1,5,2.579211473464966,1.7044150829315186,0.8747963905334473,0.11935019493103027
128,64,1,0,4.732837438583374,3.3781540393829346,1.3546833992004395,0.12017536163330078
128,64,1,1,1.8220689296722412,0.9479985237121582,0.874070405960083,0.11907601356506348
128,64,1,2,2.322772741317749,1.4412693977355957,0.8815033435821533,0.11939120292663574
128,64,1,3,2.1229066848754883,1.2436680793762207,0.8792386054992676,0.11957979202270508
128,64,1,4,2.4419875144958496,1.5691044330596924,0.8728830814361572,0.11926746368408203
128,64,1,5,1.9069852828979492,1.0319452285766602,0.8750400543212891,0.11926436424255371
256,32,1,0,5.2073681354522705,3.8607373237609863,1.3466308116912842,0.11937904357910156
256,32,1,1,2.809340715408325,2.1246578693389893,0.6846828460693359,0.11869955062866211
256,32,1,2,2.821826457977295,2.137434244155884,0.6843922138214111,0.11875295639038086
256,32,1,3,2.8730862140655518,2.1201605796813965,0.7529256343841553,0.1187131404876709
256,32,1,4,2.8053085803985596,2.0526700019836426,0.752638578414917,0.1186833381652832
256,32,1,5,3.037203550338745,2.286318063735962,0.7508854866027832,0.11863112449645996
256,64,1,0,5.477559804916382,4.1153974533081055,1.3621623516082764,0.11981320381164551
256,64,1,1,2.93406343460083,2.1755359172821045,0.7585275173187256,0.11888766288757324
256,64,1,2,2.9717917442321777,2.28786563873291,0.6839261054992676,0.11874079704284668
256,64,1,3,3.11151385307312,2.351872205734253,0.7596416473388672,0.11889100074768066
256,64,1,4,3.1920385360717773,2.432370185852051,0.7596683502197266,0.11885190010070801
256,64,1,5,2.9568252563476562,2.2682995796203613,0.6885256767272949,0.11892962455749512
512,32,1,0,7.181047439575195,5.6261420249938965,1.5549054145812988,0.11920642852783203
512,32,1,1,4.512626647949219,3.8219118118286133,0.6907148361206055,0.1184389591217041
512,32,1,2,4.796345949172974,4.103785037994385,0.6925609111785889,0.11836910247802734
512,32,1,3,4.7678961753845215,4.075727224349976,0.6921689510345459,0.1184089183807373
512,32,1,4,4.691536903381348,4.0021092891693115,0.6894276142120361,0.11838746070861816
512,32,1,5,4.451375722885132,3.749321937561035,0.7020537853240967,0.11844015121459961
512,64,1,0,7.33282995223999,5.780398845672607,1.5524311065673828,0.11916685104370117
512,64,1,1,4.862563848495483,4.164751052856445,0.6978127956390381,0.11855053901672363
512,64,1,2,4.904111385345459,4.207953691482544,0.696157693862915,0.11849546432495117
512,64,1,3,4.096265554428101,3.4012460708618164,0.6950194835662842,0.11844491958618164
512,64,1,4,4.3545942306518555,3.6580288410186768,0.6965653896331787,0.11847901344299316
512,64,1,5,4.37755274772644,3.6709063053131104,0.7066464424133301,0.11847639083862305
64,64,1,0,4.805541276931763,3.2245874404907227,1.58095383644104,0.12081003189086914
64,64,1,1,2.2568140029907227,1.1428017616271973,1.1140122413635254,0.1199488639831543
64,64,1,2,2.2837977409362793,1.1717078685760498,1.1120898723602295,0.11976385116577148
64,64,1,3,2.2758662700653076,1.1604712009429932,1.1153950691223145,0.11995220184326172
64,64,1,4,2.2345187664031982,1.1170642375946045,1.1174545288085938,0.12005901336669922
64,64,1,5,2.064723253250122,0.9302918910980225,1.1344313621520996,0.12040185928344727
32,32,1,0,3.6401255130767822,1.5767829418182373,2.063342571258545,0.12491440773010254
32,32,1,1,2.15014910697937,0.535468339920044,1.6146807670593262,0.12433171272277832
32,32,1,2,2.2520010471343994,0.5926601886749268,1.6593408584594727,0.1247098445892334
32,32,1,3,2.148794651031494,0.5457885265350342,1.60300612449646,0.12416934967041016
32,32,1,4,2.2984097003936768,0.6494941711425781,1.6489155292510986,0.12424278259277344
32,32,1,5,2.339594602584839,0.6606104373931885,1.6789841651916504,0.12407684326171875
512,128,1,0,8.201788187026978,6.416514158248901,1.7852740287780762,0.11918377876281738
512,128,1,1,4.734881401062012,4.046868324279785,0.6880130767822266,0.11841154098510742
512,128,1,2,4.471850395202637,3.780642032623291,0.6912083625793457,0.11832571029663086
512,128,1,3,4.432279825210571,3.7396795749664307,0.6926002502441406,0.11844062805175781
512,128,1,4,4.417944431304932,3.7245583534240723,0.6933860778808594,0.11845970153808594
512,128,1,5,4.434533357620239,3.732942581176758,0.7015907764434814,0.11839890480041504
