Use GPU: 0 for training
=> creating model 'resnet18'
worker_num : 0
@@ 非dummy数据集加载
 0 th batch,total_time: 2.143653(2.143653),data_time: 1.664646(1.664646),train_time: 0.479007(0.479007)
 1 th batch,total_time: 1.408266(1.775959),data_time: 1.282850(1.473748),train_time: 0.125416(0.302211)
 2 th batch,total_time: 1.246115(1.599345),data_time: 1.198261(1.381919),train_time: 0.047854(0.217426)
 3 th batch,total_time: 1.614012(1.603011),data_time: 1.566977(1.428184),train_time: 0.047035(0.174828)
 4 th batch,total_time: 1.303347(1.543079),data_time: 1.259945(1.394536),train_time: 0.043402(0.148543)
 5 th batch,total_time: 1.309034(1.504071),data_time: 1.262033(1.372452),train_time: 0.047001(0.131619)
 6 th batch,total_time: 1.199771(1.460600),data_time: 1.150902(1.340802),train_time: 0.048869(0.119798)
 7 th batch,total_time: 1.200702(1.428112),data_time: 1.160083(1.318212),train_time: 0.040620(0.109900)
 8 th batch,total_time: 1.243834(1.407637),data_time: 1.196984(1.304742),train_time: 0.046850(0.102895)
 9 th batch,total_time: 1.294721(1.396346),data_time: 1.253249(1.299593),train_time: 0.041472(0.096753)
 10 th batch,total_time: 1.218711(1.380197),data_time: 1.176479(1.288401),train_time: 0.042232(0.091796)
 11 th batch,total_time: 1.201468(1.365303),data_time: 1.158604(1.277584),train_time: 0.042864(0.087718)
 12 th batch,total_time: 1.354960(1.364507),data_time: 1.307782(1.279907),train_time: 0.047178(0.084600)
 13 th batch,total_time: 1.276336(1.358209),data_time: 1.229808(1.276329),train_time: 0.046529(0.081881)
 14 th batch,total_time: 1.292798(1.353849),data_time: 1.251301(1.274660),train_time: 0.041497(0.079188)
 15 th batch,total_time: 1.227313(1.345940),data_time: 1.183666(1.268973),train_time: 0.043647(0.076967)
 16 th batch,total_time: 1.402863(1.349289),data_time: 1.362242(1.274459),train_time: 0.040622(0.074829)
 17 th batch,total_time: 1.118877(1.336488),data_time: 1.074073(1.263327),train_time: 0.044804(0.073161)
 18 th batch,total_time: 1.123450(1.325275),data_time: 1.079349(1.253644),train_time: 0.044101(0.071632)
 19 th batch,total_time: 1.090964(1.313560),data_time: 1.048969(1.243410),train_time: 0.041995(0.070150)
 20 th batch,total_time: 1.116984(1.304199),data_time: 1.074266(1.235356),train_time: 0.042718(0.068843)
 21 th batch,total_time: 1.084584(1.294217),data_time: 1.043370(1.226629),train_time: 0.041214(0.067588)
 22 th batch,total_time: 1.106260(1.286045),data_time: 1.061492(1.219449),train_time: 0.044768(0.066595)
 23 th batch,total_time: 1.127394(1.279434),data_time: 1.082746(1.213753),train_time: 0.044648(0.065681)
 24 th batch,total_time: 1.154099(1.274421),data_time: 1.110865(1.209638),train_time: 0.043233(0.064783)
 25 th batch,total_time: 1.117213(1.268374),data_time: 1.074663(1.204446),train_time: 0.042550(0.063928)
 26 th batch,total_time: 1.122227(1.262961),data_time: 1.079163(1.199806),train_time: 0.043064(0.063155)
 27 th batch,total_time: 1.202921(1.260817),data_time: 1.161582(1.198441),train_time: 0.041340(0.062376)
 28 th batch,total_time: 1.422681(1.266399),data_time: 1.373525(1.204478),train_time: 0.049156(0.061920)
 29 th batch,total_time: 1.224239(1.264993),data_time: 1.175263(1.203505),train_time: 0.048976(0.061489)
 30 th batch,total_time: 1.327104(1.266997),data_time: 1.276792(1.205869),train_time: 0.050312(0.061128)
 31 th batch,total_time: 1.034197(1.259722),data_time: 0.985113(1.198970),train_time: 0.049083(0.060752)
 32 th batch,total_time: 1.073947(1.254092),data_time: 1.031265(1.193888),train_time: 0.042682(0.060204)
 33 th batch,total_time: 1.120193(1.250154),data_time: 1.068931(1.190213),train_time: 0.051263(0.059941)
 34 th batch,total_time: 1.129549(1.246708),data_time: 1.084925(1.187205),train_time: 0.044624(0.059504)
 35 th batch,total_time: 1.154440(1.244145),data_time: 1.112114(1.185119),train_time: 0.042326(0.059026)
 36 th batch,total_time: 1.138003(1.241276),data_time: 1.092880(1.182626),train_time: 0.045123(0.058651)
 37 th batch,total_time: 1.673306(1.252646),data_time: 1.622830(1.194210),train_time: 0.050476(0.058436)
 38 th batch,total_time: 1.190367(1.251049),data_time: 1.143364(1.192906),train_time: 0.047003(0.058142)
 39 th batch,total_time: 1.141248(1.248304),data_time: 1.094845(1.190455),train_time: 0.046403(0.057849)
 40 th batch,total_time: 1.510286(1.254694),data_time: 1.469003(1.197249),train_time: 0.041283(0.057445)
 41 th batch,total_time: 1.479825(1.260054),data_time: 1.433829(1.202882),train_time: 0.045996(0.057172)
 42 th batch,total_time: 1.487390(1.265341),data_time: 1.444381(1.208498),train_time: 0.043009(0.056843)
 43 th batch,total_time: 1.774114(1.276904),data_time: 1.728271(1.220311),train_time: 0.045843(0.056593)
 44 th batch,total_time: 1.225076(1.275752),data_time: 1.183555(1.219494),train_time: 0.041521(0.056258)
 45 th batch,total_time: 1.082588(1.271553),data_time: 1.039938(1.215591),train_time: 0.042650(0.055962)
 46 th batch,total_time: 1.153865(1.269049),data_time: 1.106618(1.213272),train_time: 0.047247(0.055777)
 47 th batch,total_time: 1.520833(1.274294),data_time: 1.473943(1.218703),train_time: 0.046890(0.055592)
 48 th batch,total_time: 1.476801(1.278427),data_time: 1.428178(1.222978),train_time: 0.048623(0.055449)
 49 th batch,total_time: 1.143035(1.275719),data_time: 1.096134(1.220441),train_time: 0.046901(0.055278)
 50 th batch,total_time: 1.117723(1.272621),data_time: 1.069441(1.217480),train_time: 0.048282(0.055141)
 51 th batch,total_time: 1.201658(1.271257),data_time: 1.158772(1.216351),train_time: 0.042886(0.054906)
 52 th batch,total_time: 1.379672(1.273302),data_time: 1.337090(1.218629),train_time: 0.042581(0.054673)
 53 th batch,total_time: 1.426354(1.276136),data_time: 1.378969(1.221598),train_time: 0.047385(0.054538)
 54 th batch,total_time: 1.276931(1.276151),data_time: 1.235850(1.221858),train_time: 0.041081(0.054293)
 55 th batch,total_time: 1.352654(1.277517),data_time: 1.304435(1.223332),train_time: 0.048219(0.054185)
 56 th batch,total_time: 1.102881(1.274453),data_time: 1.060159(1.220469),train_time: 0.042722(0.053984)
 57 th batch,total_time: 1.173383(1.272711),data_time: 1.122134(1.218774),train_time: 0.051250(0.053937)
 58 th batch,total_time: 1.123053(1.270174),data_time: 1.076823(1.216368),train_time: 0.046231(0.053806)
 59 th batch,total_time: 1.160008(1.268338),data_time: 1.116714(1.214707),train_time: 0.043294(0.053631)
 60 th batch,total_time: 1.251844(1.268068),data_time: 1.205939(1.214563),train_time: 0.045904(0.053504)
 61 th batch,total_time: 1.283151(1.268311),data_time: 1.233763(1.214873),train_time: 0.049388(0.053438)
 62 th batch,total_time: 1.174003(1.266814),data_time: 1.125906(1.213461),train_time: 0.048097(0.053353)
 63 th batch,total_time: 1.134242(1.264743),data_time: 1.088206(1.211504),train_time: 0.046036(0.053239)
 64 th batch,total_time: 1.086205(1.261996),data_time: 1.043983(1.208927),train_time: 0.042223(0.053069)
 65 th batch,total_time: 1.177193(1.260711),data_time: 1.132431(1.207768),train_time: 0.044762(0.052943)
 66 th batch,total_time: 1.243825(1.260459),data_time: 1.201312(1.207671),train_time: 0.042513(0.052788)
 67 th batch,total_time: 1.089004(1.257937),data_time: 1.046364(1.205299),train_time: 0.042640(0.052638)
 68 th batch,total_time: 1.128126(1.256056),data_time: 1.077927(1.203453),train_time: 0.050199(0.052603)
 69 th batch,total_time: 1.135432(1.254333),data_time: 1.093411(1.201881),train_time: 0.042021(0.052452)
 70 th batch,total_time: 1.096618(1.252112),data_time: 1.050732(1.199752),train_time: 0.045887(0.052359)
 71 th batch,total_time: 1.098730(1.249981),data_time: 1.051200(1.197689),train_time: 0.047531(0.052292)
 72 th batch,total_time: 1.081433(1.247672),data_time: 1.038598(1.195510),train_time: 0.042835(0.052163)
 73 th batch,total_time: 1.140213(1.246220),data_time: 1.096828(1.194176),train_time: 0.043385(0.052044)
 74 th batch,total_time: 1.125086(1.244605),data_time: 1.082634(1.192689),train_time: 0.042452(0.051916)
 75 th batch,total_time: 1.075365(1.242378),data_time: 1.033636(1.190596),train_time: 0.041729(0.051782)
 76 th batch,total_time: 1.136474(1.241003),data_time: 1.093421(1.189334),train_time: 0.043052(0.051669)
 77 th batch,total_time: 1.100182(1.239198),data_time: 1.046788(1.187507),train_time: 0.053394(0.051691)
 78 th batch,total_time: 1.116163(1.237640),data_time: 1.072799(1.186055),train_time: 0.043364(0.051586)
 79 th batch,total_time: 1.105992(1.235995),data_time: 1.063248(1.184519),train_time: 0.042743(0.051475)
 80 th batch,total_time: 1.123056(1.234600),data_time: 1.076841(1.183190),train_time: 0.046215(0.051410)
 81 th batch,total_time: 1.129449(1.233318),data_time: 1.081630(1.181952),train_time: 0.047819(0.051366)
 82 th batch,total_time: 1.139447(1.232187),data_time: 1.086246(1.180798),train_time: 0.053201(0.051388)
 83 th batch,total_time: 1.150048(1.231209),data_time: 1.109241(1.179947),train_time: 0.040807(0.051262)
 84 th batch,total_time: 1.071145(1.229326),data_time: 1.029317(1.178174),train_time: 0.041829(0.051151)
 85 th batch,total_time: 1.057262(1.227325),data_time: 1.014965(1.176277),train_time: 0.042297(0.051049)
 86 th batch,total_time: 1.118030(1.226069),data_time: 1.075140(1.175114),train_time: 0.042889(0.050955)
 87 th batch,total_time: 1.109493(1.224744),data_time: 1.067281(1.173889),train_time: 0.042212(0.050855)
 88 th batch,total_time: 1.098945(1.223331),data_time: 1.057683(1.172583),train_time: 0.041262(0.050748)
 89 th batch,total_time: 1.092467(1.221877),data_time: 1.048812(1.171208),train_time: 0.043655(0.050669)
 90 th batch,total_time: 1.094406(1.220476),data_time: 1.046879(1.169842),train_time: 0.047527(0.050634)
 91 th batch,total_time: 1.103252(1.219202),data_time: 1.059185(1.168639),train_time: 0.044067(0.050563)
 92 th batch,total_time: 1.069201(1.217589),data_time: 1.021516(1.167057),train_time: 0.047685(0.050532)
 93 th batch,total_time: 1.104902(1.216390),data_time: 1.057682(1.165893),train_time: 0.047220(0.050497)
 94 th batch,total_time: 1.159900(1.215795),data_time: 1.117952(1.165389),train_time: 0.041949(0.050407)
 95 th batch,total_time: 1.107299(1.214665),data_time: 1.064905(1.164342),train_time: 0.042394(0.050323)
 96 th batch,total_time: 1.113444(1.213622),data_time: 1.066710(1.163335),train_time: 0.046735(0.050286)
 97 th batch,total_time: 1.067744(1.212133),data_time: 1.017345(1.161846),train_time: 0.050399(0.050287)
 98 th batch,total_time: 1.127958(1.211283),data_time: 1.067339(1.160891),train_time: 0.060619(0.050392)
 99 th batch,total_time: 1.101933(1.210189),data_time: 1.048948(1.159772),train_time: 0.052985(0.050418)
 100 th batch,total_time: 1.136170(1.209457),data_time: 1.095066(1.159131),train_time: 0.041104(0.050325)
 101 th batch,total_time: 1.130509(1.208683),data_time: 1.089236(1.158446),train_time: 0.041273(0.050237)
 102 th batch,total_time: 1.113515(1.207759),data_time: 1.072612(1.157613),train_time: 0.040903(0.050146)
 103 th batch,total_time: 1.130303(1.207014),data_time: 1.088893(1.156952),train_time: 0.041410(0.050062)
 104 th batch,total_time: 1.142251(1.206397),data_time: 1.098824(1.156398),train_time: 0.043427(0.049999)
 105 th batch,total_time: 1.249431(1.206803),data_time: 1.207378(1.156879),train_time: 0.042053(0.049924)
 106 th batch,total_time: 1.168601(1.206446),data_time: 1.125365(1.156585),train_time: 0.043236(0.049861)
 107 th batch,total_time: 1.629444(1.210363),data_time: 1.586418(1.160565),train_time: 0.043025(0.049798)
 108 th batch,total_time: 1.134746(1.209669),data_time: 1.091425(1.159930),train_time: 0.043321(0.049739)
 109 th batch,total_time: 1.102548(1.208695),data_time: 1.059351(1.159016),train_time: 0.043197(0.049679)
 110 th batch,total_time: 1.016250(1.206961),data_time: 0.972376(1.157334),train_time: 0.043874(0.049627)
 111 th batch,total_time: 1.067988(1.205721),data_time: 1.023167(1.156136),train_time: 0.044821(0.049584)
 112 th batch,total_time: 1.052899(1.204368),data_time: 1.004436(1.154794),train_time: 0.048463(0.049574)
 113 th batch,total_time: 1.029770(1.202837),data_time: 0.986448(1.153317),train_time: 0.043322(0.049519)
 114 th batch,total_time: 1.089311(1.201849),data_time: 1.038684(1.152320),train_time: 0.050627(0.049529)
 115 th batch,total_time: 1.145775(1.201366),data_time: 1.094785(1.151824),train_time: 0.050990(0.049542)
 116 th batch,total_time: 1.082979(1.200354),data_time: 1.032974(1.150809),train_time: 0.050005(0.049545)
 117 th batch,total_time: 1.097210(1.199480),data_time: 1.046380(1.149924),train_time: 0.050830(0.049556)
 118 th batch,total_time: 1.095897(1.198610),data_time: 1.047147(1.149060),train_time: 0.048751(0.049550)
 119 th batch,total_time: 1.173447(1.198400),data_time: 1.125575(1.148864),train_time: 0.047871(0.049536)
 120 th batch,total_time: 1.117636(1.197732),data_time: 1.069701(1.148210),train_time: 0.047935(0.049522)
 121 th batch,total_time: 1.106496(1.196985),data_time: 1.059575(1.147484),train_time: 0.046921(0.049501)
 122 th batch,total_time: 1.048682(1.195779),data_time: 1.001269(1.146295),train_time: 0.047414(0.049484)
 123 th batch,total_time: 1.089150(1.194919),data_time: 1.040612(1.145442),train_time: 0.048539(0.049476)
 124 th batch,total_time: 1.146569(1.194532),data_time: 1.098056(1.145063),train_time: 0.048513(0.049469)
 125 th batch,total_time: 1.153186(1.194204),data_time: 1.105627(1.144750),train_time: 0.047559(0.049454)
 126 th batch,total_time: 1.089216(1.193377),data_time: 1.039060(1.143918),train_time: 0.050156(0.049459)
 127 th batch,total_time: 1.086017(1.192539),data_time: 1.042241(1.143124),train_time: 0.043776(0.049415)
 128 th batch,total_time: 1.107123(1.191876),data_time: 1.064090(1.142511),train_time: 0.043033(0.049365)
 129 th batch,total_time: 1.100723(1.191175),data_time: 1.056611(1.141850),train_time: 0.044112(0.049325)
 130 th batch,total_time: 1.082324(1.190344),data_time: 1.039098(1.141066),train_time: 0.043226(0.049278)
 131 th batch,total_time: 1.088488(1.189573),data_time: 1.046373(1.140349),train_time: 0.042115(0.049224)
 132 th batch,total_time: 1.098929(1.188891),data_time: 1.056900(1.139721),train_time: 0.042029(0.049170)
 133 th batch,total_time: 1.124987(1.188414),data_time: 1.083695(1.139303),train_time: 0.041292(0.049111)
 134 th batch,total_time: 1.100222(1.187761),data_time: 1.057739(1.138699),train_time: 0.042482(0.049062)
 135 th batch,total_time: 1.104639(1.187150),data_time: 1.062387(1.138138),train_time: 0.042252(0.049012)
 136 th batch,total_time: 1.142597(1.186825),data_time: 1.100451(1.137863),train_time: 0.042146(0.048962)
 137 th batch,total_time: 1.100047(1.186196),data_time: 1.058258(1.137286),train_time: 0.041789(0.048910)
 138 th batch,total_time: 1.071441(1.185370),data_time: 1.029661(1.136512),train_time: 0.041780(0.048859)
 139 th batch,total_time: 1.115133(1.184869),data_time: 1.073292(1.136060),train_time: 0.041841(0.048808)
 140 th batch,total_time: 1.128013(1.184465),data_time: 1.079756(1.135661),train_time: 0.048256(0.048805)
 141 th batch,total_time: 1.089417(1.183796),data_time: 1.041434(1.134997),train_time: 0.047982(0.048799)
 142 th batch,total_time: 1.093070(1.183161),data_time: 1.045579(1.134372),train_time: 0.047491(0.048790)
 143 th batch,total_time: 1.077944(1.182431),data_time: 1.030272(1.133649),train_time: 0.047671(0.048782)
 144 th batch,total_time: 1.121710(1.182012),data_time: 1.073642(1.133235),train_time: 0.048069(0.048777)
 145 th batch,total_time: 1.096546(1.181427),data_time: 1.048406(1.132654),train_time: 0.048140(0.048773)
 146 th batch,total_time: 1.128088(1.181064),data_time: 1.078023(1.132282),train_time: 0.050065(0.048781)
 147 th batch,total_time: 1.085607(1.180419),data_time: 1.038116(1.131646),train_time: 0.047490(0.048773)
 148 th batch,total_time: 1.132180(1.180095),data_time: 1.084894(1.131332),train_time: 0.047286(0.048763)
 149 th batch,total_time: 1.134881(1.179794),data_time: 1.083381(1.131013),train_time: 0.051500(0.048781)
 150 th batch,total_time: 1.136742(1.179509),data_time: 1.084653(1.130706),train_time: 0.052089(0.048803)
 151 th batch,total_time: 1.127249(1.179165),data_time: 1.086603(1.130416),train_time: 0.040646(0.048749)
 152 th batch,total_time: 1.095654(1.178619),data_time: 1.053562(1.129913),train_time: 0.042093(0.048706)
 153 th batch,total_time: 1.110949(1.178179),data_time: 1.065018(1.129492),train_time: 0.045931(0.048688)
 154 th batch,total_time: 1.063648(1.177441),data_time: 1.021732(1.128797),train_time: 0.041915(0.048644)
 155 th batch,total_time: 1.077894(1.176802),data_time: 1.032586(1.128180),train_time: 0.045308(0.048623)
 156 th batch,total_time: 1.082845(1.176204),data_time: 1.039767(1.127617),train_time: 0.043078(0.048587)
 157 th batch,total_time: 1.084458(1.175623),data_time: 1.038066(1.127050),train_time: 0.046392(0.048573)
 158 th batch,total_time: 1.091527(1.175094),data_time: 1.044415(1.126530),train_time: 0.047112(0.048564)
 159 th batch,total_time: 1.105955(1.174662),data_time: 1.055856(1.126089),train_time: 0.050099(0.048574)
 160 th batch,total_time: 1.148653(1.174501),data_time: 1.105783(1.125962),train_time: 0.042870(0.048538)
 161 th batch,total_time: 1.138881(1.174281),data_time: 1.095845(1.125777),train_time: 0.043036(0.048504)
 162 th batch,total_time: 1.122038(1.173960),data_time: 1.080456(1.125499),train_time: 0.041581(0.048462)
 163 th batch,total_time: 1.119688(1.173629),data_time: 1.076074(1.125197),train_time: 0.043614(0.048432)
 164 th batch,total_time: 1.149791(1.173485),data_time: 1.109030(1.125099),train_time: 0.040761(0.048386)
 165 th batch,total_time: 1.164849(1.173433),data_time: 1.117712(1.125055),train_time: 0.047137(0.048378)
 166 th batch,total_time: 1.081447(1.172882),data_time: 1.039231(1.124541),train_time: 0.042216(0.048341)
 167 th batch,total_time: 1.064285(1.172236),data_time: 1.014866(1.123888),train_time: 0.049419(0.048348)
 168 th batch,total_time: 1.086604(1.171729),data_time: 1.035872(1.123367),train_time: 0.050732(0.048362)
 169 th batch,total_time: 1.055596(1.171046),data_time: 1.004773(1.122670),train_time: 0.050822(0.048376)
 170 th batch,total_time: 1.067394(1.170440),data_time: 1.018296(1.122059),train_time: 0.049099(0.048381)
 171 th batch,total_time: 1.055349(1.169771),data_time: 1.007579(1.121394),train_time: 0.047770(0.048377)
 172 th batch,total_time: 1.046079(1.169056),data_time: 0.997771(1.120679),train_time: 0.048309(0.048377)
 173 th batch,total_time: 1.088021(1.168590),data_time: 1.037425(1.120200),train_time: 0.050596(0.048389)
 174 th batch,total_time: 1.097573(1.168184),data_time: 1.048059(1.119788),train_time: 0.049514(0.048396)
 175 th batch,total_time: 1.055492(1.167544),data_time: 1.006668(1.119146),train_time: 0.048824(0.048398)
 176 th batch,total_time: 1.052131(1.166892),data_time: 1.002899(1.118489),train_time: 0.049232(0.048403)
 177 th batch,total_time: 1.109163(1.166567),data_time: 1.058498(1.118152),train_time: 0.050665(0.048416)
 178 th batch,total_time: 1.060780(1.165976),data_time: 1.013306(1.117566),train_time: 0.047474(0.048410)
 179 th batch,total_time: 1.078213(1.165489),data_time: 1.031239(1.117086),train_time: 0.046974(0.048402)
 180 th batch,total_time: 1.068524(1.164953),data_time: 1.020125(1.116551),train_time: 0.048399(0.048402)
 181 th batch,total_time: 1.071766(1.164441),data_time: 1.024806(1.116047),train_time: 0.046960(0.048395)
 182 th batch,total_time: 1.062587(1.163885),data_time: 1.015903(1.115499),train_time: 0.046684(0.048385)
 183 th batch,total_time: 1.090707(1.163487),data_time: 1.042227(1.115101),train_time: 0.048480(0.048386)
 184 th batch,total_time: 1.068947(1.162976),data_time: 1.020247(1.114588),train_time: 0.048699(0.048387)
 185 th batch,total_time: 1.089403(1.162580),data_time: 1.040767(1.114192),train_time: 0.048635(0.048389)
 186 th batch,total_time: 1.079479(1.162136),data_time: 1.032342(1.113754),train_time: 0.047137(0.048382)
 187 th batch,total_time: 1.062690(1.161607),data_time: 1.015897(1.113233),train_time: 0.046793(0.048374)
 188 th batch,total_time: 1.083762(1.161195),data_time: 1.035589(1.112823),train_time: 0.048173(0.048372)
 189 th batch,total_time: 1.084288(1.160790),data_time: 1.036329(1.112420),train_time: 0.047960(0.048370)
 190 th batch,total_time: 1.086091(1.160399),data_time: 1.039099(1.112036),train_time: 0.046992(0.048363)
 191 th batch,total_time: 1.078141(1.159971),data_time: 1.030955(1.111614),train_time: 0.047186(0.048357)
 192 th batch,total_time: 1.090546(1.159611),data_time: 1.043795(1.111262),train_time: 0.046751(0.048349)
 193 th batch,total_time: 1.115673(1.159385),data_time: 1.066847(1.111033),train_time: 0.048826(0.048351)
 194 th batch,total_time: 1.103657(1.159099),data_time: 1.056933(1.110756),train_time: 0.046724(0.048343)
 195 th batch,total_time: 1.136156(1.158982),data_time: 1.088959(1.110645),train_time: 0.047198(0.048337)
 196 th batch,total_time: 1.127074(1.158820),data_time: 1.078059(1.110479),train_time: 0.049015(0.048340)
 197 th batch,total_time: 1.061916(1.158330),data_time: 1.014675(1.109996),train_time: 0.047240(0.048335)
 198 th batch,total_time: 1.075644(1.157915),data_time: 1.027280(1.109580),train_time: 0.048364(0.048335)
 199 th batch,total_time: 1.068423(1.157467),data_time: 1.021711(1.109141),train_time: 0.046712(0.048327)
 200 th batch,total_time: 1.094206(1.157153),data_time: 1.046511(1.108829),train_time: 0.047696(0.048324)
 201 th batch,total_time: 1.096247(1.156851),data_time: 1.049167(1.108534),train_time: 0.047080(0.048318)
 202 th batch,total_time: 1.081873(1.156482),data_time: 1.035139(1.108172),train_time: 0.046734(0.048310)
 203 th batch,total_time: 1.127314(1.156339),data_time: 1.078403(1.108026),train_time: 0.048911(0.048313)
 204 th batch,total_time: 1.086076(1.155996),data_time: 1.037165(1.107680),train_time: 0.048912(0.048316)
 205 th batch,total_time: 1.127414(1.155857),data_time: 1.080717(1.107550),train_time: 0.046697(0.048308)
 206 th batch,total_time: 1.133076(1.155747),data_time: 1.086561(1.107448),train_time: 0.046515(0.048299)
 207 th batch,total_time: 1.104027(1.155499),data_time: 1.056770(1.107204),train_time: 0.047257(0.048294)
 208 th batch,total_time: 1.110927(1.155285),data_time: 1.071206(1.107032),train_time: 0.039721(0.048253)
 209 th batch,total_time: 1.081566(1.154934),data_time: 1.034206(1.106685),train_time: 0.047359(0.048249)
 210 th batch,total_time: 1.110219(1.154722),data_time: 1.063419(1.106480),train_time: 0.046801(0.048242)
 211 th batch,total_time: 1.092384(1.154428),data_time: 1.045778(1.106194),train_time: 0.046606(0.048234)
 212 th batch,total_time: 1.126250(1.154296),data_time: 1.076674(1.106055),train_time: 0.049576(0.048241)
 213 th batch,total_time: 1.073904(1.153920),data_time: 1.025213(1.105678),train_time: 0.048691(0.048243)
 214 th batch,total_time: 1.091168(1.153628),data_time: 1.042822(1.105385),train_time: 0.048346(0.048243)
 215 th batch,total_time: 1.118649(1.153467),data_time: 1.070177(1.105222),train_time: 0.048472(0.048244)
 216 th batch,total_time: 1.120934(1.153317),data_time: 1.074412(1.105080),train_time: 0.046522(0.048236)
 217 th batch,total_time: 1.114397(1.153138),data_time: 1.074442(1.104940),train_time: 0.039955(0.048198)
 218 th batch,total_time: 1.064460(1.152733),data_time: 1.024820(1.104574),train_time: 0.039640(0.048159)
 219 th batch,total_time: 1.085114(1.152426),data_time: 1.044948(1.104303),train_time: 0.040166(0.048123)
 220 th batch,total_time: 1.028037(1.151863),data_time: 0.987428(1.103774),train_time: 0.040609(0.048089)
 221 th batch,total_time: 1.067252(1.151482),data_time: 1.019429(1.103394),train_time: 0.047823(0.048088)
 222 th batch,total_time: 1.098569(1.151245),data_time: 1.049206(1.103151),train_time: 0.049363(0.048093)
 223 th batch,total_time: 1.075128(1.150905),data_time: 1.035300(1.102848),train_time: 0.039828(0.048056)
 224 th batch,total_time: 1.094344(1.150653),data_time: 1.045044(1.102591),train_time: 0.049301(0.048062)
 225 th batch,total_time: 1.138658(1.150600),data_time: 1.089533(1.102534),train_time: 0.049126(0.048067)
 226 th batch,total_time: 1.096184(1.150361),data_time: 1.047040(1.102289),train_time: 0.049144(0.048071)
 227 th batch,total_time: 1.102668(1.150151),data_time: 1.053588(1.102076),train_time: 0.049080(0.048076)
 228 th batch,total_time: 1.119910(1.150019),data_time: 1.070291(1.101937),train_time: 0.049619(0.048083)
 229 th batch,total_time: 1.081261(1.149720),data_time: 1.030680(1.101627),train_time: 0.050582(0.048093)
 230 th batch,total_time: 1.094637(1.149482),data_time: 1.044148(1.101378),train_time: 0.050488(0.048104)
 231 th batch,total_time: 1.066860(1.149126),data_time: 1.016852(1.101014),train_time: 0.050008(0.048112)
 232 th batch,total_time: 1.029803(1.148614),data_time: 0.979586(1.100493),train_time: 0.050217(0.048121)
 233 th batch,total_time: 1.050735(1.148195),data_time: 1.000578(1.100066),train_time: 0.050157(0.048130)
 234 th batch,total_time: 1.073193(1.147876),data_time: 1.022471(1.099735),train_time: 0.050722(0.048141)
 235 th batch,total_time: 1.089633(1.147629),data_time: 1.036351(1.099467),train_time: 0.053282(0.048163)
 236 th batch,total_time: 1.050195(1.147218),data_time: 0.999993(1.099047),train_time: 0.050202(0.048171)
 237 th batch,total_time: 1.040188(1.146769),data_time: 0.990762(1.098592),train_time: 0.049426(0.048176)
 238 th batch,total_time: 1.042608(1.146333),data_time: 0.992845(1.098150),train_time: 0.049764(0.048183)
 239 th batch,total_time: 1.014253(1.145782),data_time: 0.964162(1.097591),train_time: 0.050090(0.048191)
 240 th batch,total_time: 1.093272(1.145565),data_time: 1.043049(1.097365),train_time: 0.050223(0.048199)
 241 th batch,total_time: 1.038917(1.145124),data_time: 0.988731(1.096916),train_time: 0.050186(0.048208)
 242 th batch,total_time: 1.034971(1.144671),data_time: 0.984720(1.096454),train_time: 0.050251(0.048216)
 243 th batch,total_time: 1.159354(1.144731),data_time: 1.109399(1.096508),train_time: 0.049956(0.048223)
 244 th batch,total_time: 1.208544(1.144991),data_time: 1.158323(1.096760),train_time: 0.050222(0.048231)
 245 th batch,total_time: 1.133381(1.144944),data_time: 1.082899(1.096703),train_time: 0.050483(0.048241)
 246 th batch,total_time: 1.088278(1.144715),data_time: 1.038490(1.096468),train_time: 0.049788(0.048247)
 247 th batch,total_time: 1.119599(1.144613),data_time: 1.070269(1.096362),train_time: 0.049330(0.048251)
 248 th batch,total_time: 1.102031(1.144442),data_time: 1.052794(1.096187),train_time: 0.049236(0.048255)
 249 th batch,total_time: 1.114905(1.144324),data_time: 1.065432(1.096064),train_time: 0.049473(0.048260)
 250 th batch,total_time: 1.144597(1.144325),data_time: 1.096074(1.096064),train_time: 0.048523(0.048261)
 251 th batch,total_time: 1.117934(1.144221),data_time: 1.068485(1.095955),train_time: 0.049448(0.048266)
 252 th batch,total_time: 1.100554(1.144048),data_time: 1.051088(1.095777),train_time: 0.049466(0.048271)
