Use GPU: 1 for training
=> creating model 'resnet18'
worker_num : 1
@@ 非dummy数据集加载
Use GPU: 0 for training
=> creating model 'resnet18'
worker_num : 1
@@ 非dummy数据集加载
Use GPU: 2 for training
=> creating model 'resnet18'
worker_num : 1
@@ 非dummy数据集加载
 0 th batch,total_time: 4.826247(4.826247),data_time: 4.342625(4.342625),train_time: 0.483623(0.483623)
 1 th batch,total_time: 0.892759(2.859503),data_time: 0.697239(2.519932),train_time: 0.195519(0.339571)
 2 th batch,total_time: 0.968745(2.229251),data_time: 0.915610(1.985158),train_time: 0.053135(0.244092)
 3 th batch,total_time: 1.208951(1.974176),data_time: 1.155640(1.777779),train_time: 0.053311(0.196397)
 4 th batch,total_time: 1.153555(1.810051),data_time: 1.100203(1.642263),train_time: 0.053352(0.167788)
 5 th batch,total_time: 1.122664(1.695487),data_time: 1.070086(1.546901),train_time: 0.052577(0.148586)
 6 th batch,total_time: 1.096463(1.609912),data_time: 1.043738(1.475020),train_time: 0.052725(0.134892)
 7 th batch,total_time: 1.117251(1.548329),data_time: 1.064474(1.423702),train_time: 0.052778(0.124628)
 8 th batch,total_time: 1.129375(1.501779),data_time: 1.075821(1.385048),train_time: 0.053554(0.116730)
 9 th batch,total_time: 1.115780(1.463179),data_time: 1.063084(1.352852),train_time: 0.052696(0.110327)
 10 th batch,total_time: 1.143446(1.434112),data_time: 1.090154(1.328970),train_time: 0.053292(0.105142)
 11 th batch,total_time: 1.148299(1.410295),data_time: 1.095700(1.309531),train_time: 0.052599(0.100763)
 12 th batch,total_time: 1.139494(1.389464),data_time: 1.086984(1.292412),train_time: 0.052510(0.097052)
 13 th batch,total_time: 1.128788(1.370844),data_time: 1.075914(1.276948),train_time: 0.052875(0.093896)
 14 th batch,total_time: 1.154386(1.356414),data_time: 1.101739(1.265267),train_time: 0.052648(0.091146)
 15 th batch,total_time: 1.130054(1.342266),data_time: 1.077436(1.253528),train_time: 0.052619(0.088738)
 16 th batch,total_time: 1.149768(1.330943),data_time: 1.097300(1.244338),train_time: 0.052468(0.086605)
 17 th batch,total_time: 1.145723(1.320653),data_time: 1.092996(1.235930),train_time: 0.052727(0.084723)
 18 th batch,total_time: 1.127716(1.310498),data_time: 1.075353(1.227479),train_time: 0.052362(0.083019)
 19 th batch,total_time: 1.187134(1.304330),data_time: 1.134762(1.222843),train_time: 0.052372(0.081487)
 20 th batch,total_time: 1.145626(1.296773),data_time: 1.092235(1.216623),train_time: 0.053391(0.080149)
 21 th batch,total_time: 1.129077(1.289150),data_time: 1.076663(1.210262),train_time: 0.052414(0.078888)
 22 th batch,total_time: 1.138507(1.282600),data_time: 1.085482(1.204836),train_time: 0.053025(0.077764)
 23 th batch,total_time: 1.104207(1.275167),data_time: 1.052175(1.198476),train_time: 0.052032(0.076692)
 24 th batch,total_time: 1.164682(1.270748),data_time: 1.112585(1.195040),train_time: 0.052097(0.075708)
 25 th batch,total_time: 1.166646(1.266744),data_time: 1.114328(1.191936),train_time: 0.052319(0.074808)
 26 th batch,total_time: 1.105902(1.260787),data_time: 1.053128(1.186795),train_time: 0.052774(0.073992)
 27 th batch,total_time: 1.106858(1.255289),data_time: 1.052742(1.182007),train_time: 0.054116(0.073282)
 28 th batch,total_time: 1.187998(1.252969),data_time: 1.135444(1.180401),train_time: 0.052554(0.072568)
 29 th batch,total_time: 1.118404(1.248484),data_time: 1.065909(1.176585),train_time: 0.052495(0.071899)
 30 th batch,total_time: 1.137055(1.244889),data_time: 1.084490(1.173614),train_time: 0.052566(0.071275)
 31 th batch,total_time: 1.082180(1.239804),data_time: 1.029587(1.169113),train_time: 0.052593(0.070691)
 32 th batch,total_time: 1.087027(1.235175),data_time: 1.035075(1.165052),train_time: 0.051951(0.070123)
 33 th batch,total_time: 1.113398(1.231593),data_time: 1.060975(1.161990),train_time: 0.052423(0.069603)
 34 th batch,total_time: 1.139035(1.228949),data_time: 1.084289(1.159770),train_time: 0.054746(0.069178)
 35 th batch,total_time: 1.110458(1.225657),data_time: 1.058115(1.156947),train_time: 0.052343(0.068711)
 36 th batch,total_time: 1.091162(1.222022),data_time: 1.038433(1.153744),train_time: 0.052729(0.068279)
 37 th batch,total_time: 1.156124(1.220288),data_time: 1.103464(1.152420),train_time: 0.052660(0.067868)
 38 th batch,total_time: 1.129758(1.217967),data_time: 1.077123(1.150490),train_time: 0.052635(0.067477)
 39 th batch,total_time: 1.097309(1.214950),data_time: 1.045377(1.147862),train_time: 0.051931(0.067088)
 40 th batch,total_time: 1.100399(1.212156),data_time: 1.047328(1.145410),train_time: 0.053071(0.066746)
 41 th batch,total_time: 1.108538(1.209689),data_time: 1.055931(1.143279),train_time: 0.052608(0.066410)
 42 th batch,total_time: 1.098495(1.207103),data_time: 1.046367(1.141026),train_time: 0.052129(0.066078)
 43 th batch,total_time: 1.150809(1.205824),data_time: 1.098776(1.140065),train_time: 0.052033(0.065758)
 44 th batch,total_time: 1.162084(1.204852),data_time: 1.109138(1.139378),train_time: 0.052946(0.065474)
 45 th batch,total_time: 1.150965(1.203680),data_time: 1.098723(1.138494),train_time: 0.052242(0.065186)
 46 th batch,total_time: 1.156781(1.202683),data_time: 1.104546(1.137772),train_time: 0.052235(0.064911)
 47 th batch,total_time: 1.100475(1.200553),data_time: 1.047848(1.135899),train_time: 0.052627(0.064655)
 48 th batch,total_time: 1.145341(1.199426),data_time: 1.093320(1.135030),train_time: 0.052021(0.064397)
 49 th batch,total_time: 1.091294(1.197264),data_time: 1.038752(1.133104),train_time: 0.052542(0.064160)
 50 th batch,total_time: 1.098845(1.195334),data_time: 1.046796(1.131412),train_time: 0.052049(0.063922)
 51 th batch,total_time: 1.130057(1.194079),data_time: 1.077238(1.130370),train_time: 0.052819(0.063709)
 52 th batch,total_time: 1.106482(1.192426),data_time: 1.053536(1.128920),train_time: 0.052946(0.063506)
 53 th batch,total_time: 1.142171(1.191495),data_time: 1.089837(1.128197),train_time: 0.052334(0.063299)
 54 th batch,total_time: 1.104086(1.189906),data_time: 1.051748(1.126807),train_time: 0.052339(0.063099)
 55 th batch,total_time: 1.140113(1.189017),data_time: 1.087612(1.126107),train_time: 0.052501(0.062910)
 56 th batch,total_time: 1.121135(1.187826),data_time: 1.068165(1.125090),train_time: 0.052971(0.062736)
 57 th batch,total_time: 1.152127(1.187210),data_time: 1.099988(1.124657),train_time: 0.052139(0.062553)
 58 th batch,total_time: 1.171105(1.186938),data_time: 1.118647(1.124555),train_time: 0.052458(0.062382)
 59 th batch,total_time: 1.193216(1.187042),data_time: 1.140496(1.124821),train_time: 0.052720(0.062221)
 60 th batch,total_time: 1.114681(1.185856),data_time: 1.062207(1.123795),train_time: 0.052474(0.062061)
 61 th batch,total_time: 1.143120(1.185167),data_time: 1.091040(1.123266),train_time: 0.052080(0.061900)
 62 th batch,total_time: 1.156705(1.184715),data_time: 1.105220(1.122980),train_time: 0.051485(0.061735)
 63 th batch,total_time: 1.168510(1.184462),data_time: 1.116797(1.122883),train_time: 0.051713(0.061578)
 64 th batch,total_time: 1.173041(1.184286),data_time: 1.119976(1.122839),train_time: 0.053065(0.061447)
 65 th batch,total_time: 1.133003(1.183509),data_time: 1.081063(1.122206),train_time: 0.051940(0.061303)
 66 th batch,total_time: 1.131986(1.182740),data_time: 1.080478(1.121583),train_time: 0.051508(0.061157)
 67 th batch,total_time: 1.135797(1.182050),data_time: 1.083856(1.121028),train_time: 0.051940(0.061022)
 68 th batch,total_time: 1.154117(1.181645),data_time: 1.099471(1.120716),train_time: 0.054646(0.060929)
 69 th batch,total_time: 1.115372(1.180698),data_time: 1.063128(1.119893),train_time: 0.052244(0.060805)
 70 th batch,total_time: 1.122212(1.179874),data_time: 1.070155(1.119192),train_time: 0.052057(0.060682)
 71 th batch,total_time: 1.126511(1.179133),data_time: 1.073674(1.118560),train_time: 0.052836(0.060573)
 72 th batch,total_time: 1.112716(1.178223),data_time: 1.060448(1.117764),train_time: 0.052268(0.060459)
 73 th batch,total_time: 1.148218(1.177818),data_time: 1.096024(1.117470),train_time: 0.052194(0.060347)
 74 th batch,total_time: 1.112417(1.176946),data_time: 1.060275(1.116708),train_time: 0.052142(0.060238)
 75 th batch,total_time: 1.192031(1.177144),data_time: 1.139929(1.117013),train_time: 0.052102(0.060131)
 76 th batch,total_time: 1.169746(1.177048),data_time: 1.117478(1.117019),train_time: 0.052268(0.060029)
 77 th batch,total_time: 1.147914(1.176675),data_time: 1.095523(1.116744),train_time: 0.052391(0.059931)
 78 th batch,total_time: 1.132981(1.176122),data_time: 1.080739(1.116288),train_time: 0.052243(0.059834)
 79 th batch,total_time: 1.164202(1.175973),data_time: 1.112790(1.116244),train_time: 0.051412(0.059728)
 80 th batch,total_time: 1.126532(1.175362),data_time: 1.074212(1.115725),train_time: 0.052320(0.059637)
 81 th batch,total_time: 1.157224(1.175141),data_time: 1.105459(1.115600),train_time: 0.051765(0.059541)
 82 th batch,total_time: 1.171762(1.175100),data_time: 1.119465(1.115647),train_time: 0.052297(0.059454)
 83 th batch,total_time: 1.131383(1.174580),data_time: 1.079074(1.115211),train_time: 0.052309(0.059369)
 84 th batch,total_time: 1.175506(1.174591),data_time: 1.123695(1.115311),train_time: 0.051811(0.059280)
 85 th batch,total_time: 1.139491(1.174183),data_time: 1.087336(1.114986),train_time: 0.052155(0.059197)
 86 th batch,total_time: 1.125319(1.173621),data_time: 1.072992(1.114503),train_time: 0.052327(0.059118)
 87 th batch,total_time: 1.133194(1.173162),data_time: 1.080927(1.114122),train_time: 0.052268(0.059040)
 88 th batch,total_time: 1.189568(1.173346),data_time: 1.137218(1.114381),train_time: 0.052349(0.058965)
 89 th batch,total_time: 1.136430(1.172936),data_time: 1.084080(1.114044),train_time: 0.052351(0.058891)
 90 th batch,total_time: 1.131435(1.172480),data_time: 1.079094(1.113660),train_time: 0.052341(0.058819)
 91 th batch,total_time: 1.128459(1.172001),data_time: 1.076027(1.113251),train_time: 0.052432(0.058750)
 92 th batch,total_time: 1.087100(1.171088),data_time: 1.034728(1.112407),train_time: 0.052372(0.058681)
 93 th batch,total_time: 1.116453(1.170507),data_time: 1.064850(1.111901),train_time: 0.051603(0.058606)
 94 th batch,total_time: 1.136303(1.170147),data_time: 1.083926(1.111607),train_time: 0.052377(0.058540)
 95 th batch,total_time: 1.136920(1.169801),data_time: 1.084468(1.111324),train_time: 0.052452(0.058477)
 96 th batch,total_time: 1.135427(1.169447),data_time: 1.083543(1.111037),train_time: 0.051883(0.058409)
 97 th batch,total_time: 1.119961(1.168942),data_time: 1.068017(1.110598),train_time: 0.051943(0.058343)
 98 th batch,total_time: 1.147163(1.168722),data_time: 1.094855(1.110439),train_time: 0.052308(0.058282)
 99 th batch,total_time: 1.158340(1.168618),data_time: 1.105880(1.110394),train_time: 0.052460(0.058224)
 100 th batch,total_time: 1.128101(1.168217),data_time: 1.076239(1.110056),train_time: 0.051862(0.058161)
 101 th batch,total_time: 1.127734(1.167820),data_time: 1.075444(1.109716),train_time: 0.052291(0.058103)
 102 th batch,total_time: 1.131362(1.167466),data_time: 1.079529(1.109423),train_time: 0.051833(0.058043)
 103 th batch,total_time: 1.133356(1.167138),data_time: 1.081048(1.109150),train_time: 0.052308(0.057987)
 104 th batch,total_time: 1.158849(1.167059),data_time: 1.106784(1.109128),train_time: 0.052065(0.057931)
 105 th batch,total_time: 1.141865(1.166821),data_time: 1.089433(1.108942),train_time: 0.052432(0.057879)
 106 th batch,total_time: 1.072826(1.165943),data_time: 1.020597(1.108116),train_time: 0.052229(0.057826)
