Use GPU: 1 for training
=> creating model 'resnet18'
worker_num : 2
@@ 非dummy数据集加载
Use GPU: 0 for training
=> creating model 'resnet18'
worker_num : 2
@@ 非dummy数据集加载
Use GPU: 2 for training
=> creating model 'resnet18'
worker_num : 2
@@ 非dummy数据集加载
 0 th batch,total_time: 11.911954(11.911954),data_time: 11.171547(11.171547),train_time: 0.740407(0.740407)
 1 th batch,total_time: 0.453078(6.182516),data_time: 0.023848(5.597697),train_time: 0.429230(0.584818)
 2 th batch,total_time: 3.024434(5.129822),data_time: 2.869822(4.688406),train_time: 0.154612(0.441416)
 3 th batch,total_time: 0.776799(4.041566),data_time: 0.633325(3.674636),train_time: 0.143474(0.366931)
 4 th batch,total_time: 3.174191(3.868091),data_time: 3.028859(3.545480),train_time: 0.145332(0.322611)
 5 th batch,total_time: 0.841553(3.363668),data_time: 0.695896(3.070549),train_time: 0.145657(0.293119)
 6 th batch,total_time: 3.079362(3.323053),data_time: 2.930738(3.050576),train_time: 0.148624(0.272477)
 7 th batch,total_time: 0.909410(3.021348),data_time: 0.760097(2.764266),train_time: 0.149313(0.257081)
 8 th batch,total_time: 3.080332(3.027901),data_time: 2.933285(2.783046),train_time: 0.147047(0.244855)
 9 th batch,total_time: 0.939117(2.819023),data_time: 0.790396(2.583781),train_time: 0.148721(0.235242)
 10 th batch,total_time: 3.005446(2.835971),data_time: 2.859782(2.608872),train_time: 0.145664(0.227098)
 11 th batch,total_time: 0.992277(2.682329),data_time: 0.845105(2.461892),train_time: 0.147172(0.220438)
 12 th batch,total_time: 2.713396(2.684719),data_time: 2.568441(2.470088),train_time: 0.144954(0.214631)
 13 th batch,total_time: 1.100558(2.571565),data_time: 0.954792(2.361852),train_time: 0.145766(0.209712)
 14 th batch,total_time: 2.752764(2.583645),data_time: 2.608280(2.378281),train_time: 0.144484(0.205364)
 15 th batch,total_time: 1.493110(2.515486),data_time: 1.348719(2.313933),train_time: 0.144391(0.201553)
 16 th batch,total_time: 2.727891(2.527981),data_time: 2.582568(2.329735),train_time: 0.145323(0.198245)
 17 th batch,total_time: 1.726085(2.483431),data_time: 1.580761(2.288126),train_time: 0.145324(0.195305)
 18 th batch,total_time: 2.787395(2.499429),data_time: 2.643250(2.306816),train_time: 0.144145(0.192613)
 19 th batch,total_time: 0.907030(2.419809),data_time: 0.761517(2.229551),train_time: 0.145513(0.190258)
 20 th batch,total_time: 2.906833(2.443001),data_time: 2.762164(2.254914),train_time: 0.144669(0.188087)
 21 th batch,total_time: 0.879006(2.371910),data_time: 0.732728(2.185724),train_time: 0.146278(0.186186)
 22 th batch,total_time: 2.958590(2.397418),data_time: 2.814836(2.213076),train_time: 0.143754(0.184341)
 23 th batch,total_time: 0.894332(2.334789),data_time: 0.749833(2.152108),train_time: 0.144500(0.182681)
 24 th batch,total_time: 2.938443(2.358935),data_time: 2.793911(2.177780),train_time: 0.144531(0.181155)
 25 th batch,total_time: 0.923853(2.303740),data_time: 0.778336(2.123955),train_time: 0.145517(0.179785)
 26 th batch,total_time: 2.929885(2.326931),data_time: 2.785535(2.148458),train_time: 0.144350(0.178472)
 27 th batch,total_time: 0.853595(2.274311),data_time: 0.708465(2.097030),train_time: 0.145130(0.177281)
 28 th batch,total_time: 2.962285(2.298035),data_time: 2.817988(2.121891),train_time: 0.144296(0.176144)
 29 th batch,total_time: 0.871126(2.250471),data_time: 0.726043(2.075362),train_time: 0.145082(0.175109)
 30 th batch,total_time: 2.903314(2.271530),data_time: 2.758692(2.097405),train_time: 0.144622(0.174125)
 31 th batch,total_time: 0.848106(2.227048),data_time: 0.704240(2.053869),train_time: 0.143866(0.173180)
 32 th batch,total_time: 2.921237(2.248084),data_time: 2.776595(2.075770),train_time: 0.144643(0.172315)
 33 th batch,total_time: 0.869351(2.207533),data_time: 0.724110(2.036015),train_time: 0.145241(0.171519)
