Use GPU: 0 for training
=> creating model 'resnet18'
worker_num : 8
@@ 非dummy数据集加载
Use GPU: 1 for training
=> creating model 'resnet18'
worker_num : 8
@@ 非dummy数据集加载
 0 th batch,total_time: 28.462965(28.462965),data_time: 27.131836(27.131836),train_time: 1.331129(1.331129)
 1 th batch,total_time: 0.525327(14.494146),data_time: 0.093041(13.612439),train_time: 0.432286(0.881708)
 2 th batch,total_time: 0.239534(9.742609),data_time: 0.093241(9.106040),train_time: 0.146292(0.636569)
 3 th batch,total_time: 0.488281(7.429027),data_time: 0.342476(6.915149),train_time: 0.145805(0.513878)
 4 th batch,total_time: 0.492866(6.041795),data_time: 0.345647(5.601248),train_time: 0.147219(0.440546)
 5 th batch,total_time: 0.486622(5.115933),data_time: 0.335742(4.723664),train_time: 0.150881(0.392269)
 6 th batch,total_time: 0.483262(4.454123),data_time: 0.332507(4.096356),train_time: 0.150756(0.357767)
 7 th batch,total_time: 0.484803(3.957958),data_time: 0.330551(3.625630),train_time: 0.154252(0.332327)
 8 th batch,total_time: 0.490613(3.572697),data_time: 0.338647(3.260410),train_time: 0.151967(0.312287)
 9 th batch,total_time: 0.470075(3.262435),data_time: 0.332460(2.967615),train_time: 0.137614(0.294820)
 10 th batch,total_time: 0.492806(3.010650),data_time: 0.347930(2.729462),train_time: 0.144876(0.281189)
 11 th batch,total_time: 0.506375(2.801961),data_time: 0.360860(2.532078),train_time: 0.145515(0.269883)
 12 th batch,total_time: 0.502452(2.625075),data_time: 0.351817(2.364366),train_time: 0.150635(0.260710)
 13 th batch,total_time: 0.481296(2.471948),data_time: 0.334023(2.219341),train_time: 0.147273(0.252607)
 14 th batch,total_time: 0.485982(2.339551),data_time: 0.336751(2.093835),train_time: 0.149231(0.245715)
 15 th batch,total_time: 0.474389(2.222978),data_time: 0.329588(1.983570),train_time: 0.144800(0.239408)
 16 th batch,total_time: 0.483682(2.120666),data_time: 0.338869(1.886823),train_time: 0.144814(0.233844)
 17 th batch,total_time: 0.485020(2.029797),data_time: 0.340055(1.800891),train_time: 0.144965(0.228906)
 18 th batch,total_time: 0.495919(1.949067),data_time: 0.349881(1.724522),train_time: 0.146038(0.224545)
 19 th batch,total_time: 0.488041(1.876016),data_time: 0.338593(1.655226),train_time: 0.149448(0.220790)
 20 th batch,total_time: 0.487722(1.809906),data_time: 0.338232(1.592512),train_time: 0.149490(0.217395)
 21 th batch,total_time: 0.497955(1.750272),data_time: 0.350623(1.536062),train_time: 0.147332(0.214210)
 22 th batch,total_time: 0.489183(1.695442),data_time: 0.341883(1.484141),train_time: 0.147301(0.211301)
 23 th batch,total_time: 0.499245(1.645601),data_time: 0.359505(1.437282),train_time: 0.139740(0.208319)
 24 th batch,total_time: 0.488254(1.599307),data_time: 0.343337(1.393524),train_time: 0.144917(0.205783)
 25 th batch,total_time: 0.487795(1.556556),data_time: 0.339641(1.352990),train_time: 0.148154(0.203567)
 26 th batch,total_time: 0.499665(1.517412),data_time: 0.352782(1.315945),train_time: 0.146883(0.201467)
 27 th batch,total_time: 0.483601(1.480490),data_time: 0.336731(1.280973),train_time: 0.146870(0.199517)
 28 th batch,total_time: 0.488800(1.446294),data_time: 0.340274(1.248535),train_time: 0.148526(0.197759)
 29 th batch,total_time: 0.500479(1.414767),data_time: 0.353299(1.218694),train_time: 0.147180(0.196073)
 30 th batch,total_time: 0.501380(1.385303),data_time: 0.351999(1.190736),train_time: 0.149382(0.194567)
 31 th batch,total_time: 0.496451(1.357526),data_time: 0.351375(1.164506),train_time: 0.145076(0.193020)
 32 th batch,total_time: 0.479717(1.330926),data_time: 0.336418(1.139413),train_time: 0.143298(0.191514)
 33 th batch,total_time: 0.490617(1.306211),data_time: 0.344764(1.116040),train_time: 0.145853(0.190171)
 34 th batch,total_time: 0.493786(1.282999),data_time: 0.350384(1.094165),train_time: 0.143402(0.188834)
 35 th batch,total_time: 0.480550(1.260709),data_time: 0.336442(1.073117),train_time: 0.144109(0.187592)
 36 th batch,total_time: 0.487811(1.239820),data_time: 0.342542(1.053371),train_time: 0.145270(0.186448)
 37 th batch,total_time: 0.497069(1.220273),data_time: 0.353452(1.034953),train_time: 0.143616(0.185321)
 38 th batch,total_time: 0.496716(1.201721),data_time: 0.352007(1.017441),train_time: 0.144710(0.184280)
 39 th batch,total_time: 0.499849(1.184174),data_time: 0.356198(1.000910),train_time: 0.143651(0.183264)
 40 th batch,total_time: 0.483113(1.167075),data_time: 0.338762(0.984760),train_time: 0.144351(0.182315)
 41 th batch,total_time: 0.486388(1.150868),data_time: 0.341491(0.969444),train_time: 0.144898(0.181424)
 42 th batch,total_time: 0.498576(1.135699),data_time: 0.353975(0.955131),train_time: 0.144602(0.180568)
 43 th batch,total_time: 0.482434(1.120852),data_time: 0.338071(0.941107),train_time: 0.144363(0.179745)
 44 th batch,total_time: 0.487235(1.106771),data_time: 0.342306(0.927800),train_time: 0.144929(0.178971)
 45 th batch,total_time: 0.497953(1.093536),data_time: 0.353765(0.915321),train_time: 0.144188(0.178215)
 46 th batch,total_time: 0.493217(1.080763),data_time: 0.348220(0.903255),train_time: 0.144997(0.177508)
 47 th batch,total_time: 0.499891(1.068662),data_time: 0.355636(0.891846),train_time: 0.144254(0.176815)
 48 th batch,total_time: 0.484408(1.056738),data_time: 0.340397(0.880592),train_time: 0.144011(0.176146)
 49 th batch,total_time: 0.496848(1.045540),data_time: 0.343306(0.869847),train_time: 0.153542(0.175694)
 50 th batch,total_time: 0.496619(1.034777),data_time: 0.343768(0.859531),train_time: 0.152850(0.175246)
 51 th batch,total_time: 0.480582(1.024120),data_time: 0.331109(0.849369),train_time: 0.149474(0.174750)
 52 th batch,total_time: 0.487209(1.013989),data_time: 0.336561(0.839694),train_time: 0.150648(0.174296)
 53 th batch,total_time: 0.497458(1.004424),data_time: 0.347513(0.830579),train_time: 0.149944(0.173845)
 54 th batch,total_time: 0.494706(0.995156),data_time: 0.345782(0.821765),train_time: 0.148924(0.173391)
 55 th batch,total_time: 0.504169(0.986389),data_time: 0.352425(0.813384),train_time: 0.151743(0.173005)
 56 th batch,total_time: 0.480767(0.977518),data_time: 0.332329(0.804944),train_time: 0.148438(0.172574)
 57 th batch,total_time: 0.488094(0.969080),data_time: 0.337495(0.796885),train_time: 0.150599(0.172195)
 58 th batch,total_time: 0.496665(0.961073),data_time: 0.345379(0.789232),train_time: 0.151285(0.171841)
 59 th batch,total_time: 0.481860(0.953086),data_time: 0.329682(0.781573),train_time: 0.152178(0.171513)
 60 th batch,total_time: 0.479758(0.945326),data_time: 0.334381(0.774242),train_time: 0.145377(0.171084)
 61 th batch,total_time: 0.500335(0.938149),data_time: 0.355700(0.767491),train_time: 0.144636(0.170658)
 62 th batch,total_time: 0.494025(0.931099),data_time: 0.349385(0.760855),train_time: 0.144639(0.170245)
 63 th batch,total_time: 0.498654(0.924343),data_time: 0.352849(0.754480),train_time: 0.145805(0.169863)
 64 th batch,total_time: 0.483965(0.917567),data_time: 0.339852(0.748101),train_time: 0.144113(0.169467)
 65 th batch,total_time: 0.491688(0.911115),data_time: 0.342559(0.741956),train_time: 0.149129(0.169159)
 66 th batch,total_time: 0.495599(0.904913),data_time: 0.347619(0.736070),train_time: 0.147979(0.168843)
 67 th batch,total_time: 0.481457(0.898686),data_time: 0.335429(0.730179),train_time: 0.146028(0.168507)
 68 th batch,total_time: 0.485470(0.892697),data_time: 0.338061(0.724496),train_time: 0.147409(0.168201)
 69 th batch,total_time: 0.489915(0.886943),data_time: 0.346700(0.719099),train_time: 0.143215(0.167844)
 70 th batch,total_time: 0.509868(0.881632),data_time: 0.365597(0.714120),train_time: 0.144271(0.167512)
 71 th batch,total_time: 0.500778(0.876343),data_time: 0.356148(0.709148),train_time: 0.144630(0.167195)
 72 th batch,total_time: 0.483935(0.870967),data_time: 0.340313(0.704095),train_time: 0.143622(0.166872)
 73 th batch,total_time: 0.499701(0.865950),data_time: 0.355839(0.699389),train_time: 0.143862(0.166561)
 74 th batch,total_time: 0.501591(0.861092),data_time: 0.357116(0.694826),train_time: 0.144475(0.166266)
 75 th batch,total_time: 0.483855(0.856128),data_time: 0.339828(0.690155),train_time: 0.144027(0.165974)
 76 th batch,total_time: 0.484302(0.851299),data_time: 0.340518(0.685614),train_time: 0.143784(0.165685)
 77 th batch,total_time: 0.500626(0.846803),data_time: 0.355293(0.681379),train_time: 0.145333(0.165424)
 0 th batch,total_time: 28.463823(28.463823),data_time: 27.677337(27.677337),train_time: 0.786485(0.786485)
 1 th batch,total_time: 0.525732(14.494777),data_time: 0.092547(13.884942),train_time: 0.433185(0.609835)
 2 th batch,total_time: 0.250463(9.746672),data_time: 0.102464(9.290783),train_time: 0.147999(0.455890)
 3 th batch,total_time: 0.490082(7.432525),data_time: 0.342711(7.053765),train_time: 0.147371(0.378760)
 4 th batch,total_time: 0.478901(6.041800),data_time: 0.334473(5.709906),train_time: 0.144428(0.331894)
 5 th batch,total_time: 0.485083(5.115681),data_time: 0.339011(4.814757),train_time: 0.146073(0.300923)
 6 th batch,total_time: 0.483206(4.453898),data_time: 0.337823(4.175195),train_time: 0.145383(0.278703)
 7 th batch,total_time: 0.488243(3.958192),data_time: 0.344172(3.696317),train_time: 0.144070(0.261874)
 8 th batch,total_time: 0.485318(3.572317),data_time: 0.330762(3.322367),train_time: 0.154556(0.249950)
 9 th batch,total_time: 0.484907(3.263576),data_time: 0.340337(3.024164),train_time: 0.144570(0.239412)
 10 th batch,total_time: 0.504734(3.012772),data_time: 0.359874(2.781956),train_time: 0.144860(0.230816)
