Use GPU: 0 for training
=> creating model 'resnet18'
worker_num : 16
@@ 非dummy数据集加载
Use GPU: 1 for training
=> creating model 'resnet18'
worker_num : 16
@@ 非dummy数据集加载
 0 th batch,total_time: 49.698380(49.698380),data_time: 49.127073(49.127073),train_time: 0.571307(0.571307)
 1 th batch,total_time: 0.269068(24.983724),data_time: 0.046789(24.586931),train_time: 0.222279(0.396793)
 2 th batch,total_time: 0.118252(16.695234),data_time: 0.044862(16.406241),train_time: 0.073390(0.288992)
 3 th batch,total_time: 0.284766(12.592617),data_time: 0.212271(12.357749),train_time: 0.072495(0.234868)
 4 th batch,total_time: 0.248831(10.123859),data_time: 0.176082(9.921415),train_time: 0.072749(0.202444)
 5 th batch,total_time: 0.248835(8.478022),data_time: 0.176489(8.297261),train_time: 0.072346(0.180761)
 6 th batch,total_time: 0.246921(7.302150),data_time: 0.174275(7.136834),train_time: 0.072646(0.165316)
 7 th batch,total_time: 0.250848(6.420738),data_time: 0.177685(6.266941),train_time: 0.073163(0.153797)
 8 th batch,total_time: 0.249624(5.735058),data_time: 0.176599(5.590236),train_time: 0.073025(0.144822)
 9 th batch,total_time: 0.249567(5.186509),data_time: 0.175015(5.048714),train_time: 0.074552(0.137795)
 10 th batch,total_time: 0.250647(4.737794),data_time: 0.176314(4.605769),train_time: 0.074333(0.132026)
 11 th batch,total_time: 0.261187(4.364744),data_time: 0.178839(4.236858),train_time: 0.082348(0.127886)
 12 th batch,total_time: 0.248668(4.048123),data_time: 0.165498(3.923676),train_time: 0.083170(0.124446)
 13 th batch,total_time: 0.248847(3.776746),data_time: 0.165543(3.655238),train_time: 0.083305(0.121508)
 14 th batch,total_time: 0.251123(3.541704),data_time: 0.168237(3.422771),train_time: 0.082886(0.118933)
 15 th batch,total_time: 0.253662(3.336202),data_time: 0.167185(3.219297),train_time: 0.086477(0.116904)
 16 th batch,total_time: 0.237246(3.153910),data_time: 0.156739(3.039147),train_time: 0.080507(0.114763)
 17 th batch,total_time: 0.263292(2.993320),data_time: 0.176884(2.880132),train_time: 0.086408(0.113188)
 18 th batch,total_time: 0.254852(2.849190),data_time: 0.167244(2.737349),train_time: 0.087608(0.111842)
 19 th batch,total_time: 0.251829(2.719322),data_time: 0.168691(2.608916),train_time: 0.083138(0.110407)
 20 th batch,total_time: 0.253935(2.601923),data_time: 0.169231(2.492740),train_time: 0.084703(0.109183)
 21 th batch,total_time: 0.247327(2.494896),data_time: 0.160266(2.386719),train_time: 0.087061(0.108177)
 22 th batch,total_time: 0.256573(2.397577),data_time: 0.171795(2.290418),train_time: 0.084778(0.107160)
 23 th batch,total_time: 0.242271(2.307773),data_time: 0.158646(2.201594),train_time: 0.083625(0.106179)
 24 th batch,total_time: 0.256712(2.225730),data_time: 0.169168(2.120297),train_time: 0.087544(0.105434)
 25 th batch,total_time: 0.246354(2.149601),data_time: 0.163384(2.045031),train_time: 0.082970(0.104570)
 26 th batch,total_time: 0.247500(2.079152),data_time: 0.164126(1.975368),train_time: 0.083374(0.103785)
 27 th batch,total_time: 0.258721(2.014137),data_time: 0.175907(1.911101),train_time: 0.082815(0.103036)
 28 th batch,total_time: 0.257117(1.953550),data_time: 0.172615(1.851154),train_time: 0.084502(0.102397)
 29 th batch,total_time: 0.257823(1.897026),data_time: 0.170217(1.795122),train_time: 0.087605(0.101904)
 30 th batch,total_time: 0.245179(1.843740),data_time: 0.157113(1.742283),train_time: 0.088066(0.101457)
 31 th batch,total_time: 0.253881(1.794057),data_time: 0.168248(1.693095),train_time: 0.085633(0.100963)
 32 th batch,total_time: 0.244779(1.747110),data_time: 0.159150(1.646612),train_time: 0.085629(0.100498)
 33 th batch,total_time: 0.256186(1.703259),data_time: 0.169947(1.603180),train_time: 0.086240(0.100079)
 34 th batch,total_time: 0.250710(1.661757),data_time: 0.167720(1.562167),train_time: 0.082990(0.099590)
 35 th batch,total_time: 0.255972(1.622708),data_time: 0.172181(1.523556),train_time: 0.083791(0.099152)
 36 th batch,total_time: 0.252297(1.585670),data_time: 0.169841(1.486969),train_time: 0.082455(0.098700)
 37 th batch,total_time: 0.245077(1.550391),data_time: 0.160409(1.452060),train_time: 0.084668(0.098331)
 38 th batch,total_time: 0.263556(1.517395),data_time: 0.180481(1.419455),train_time: 0.083075(0.097940)
 39 th batch,total_time: 0.246028(1.485611),data_time: 0.160230(1.387975),train_time: 0.085799(0.097636)
 40 th batch,total_time: 0.257539(1.455658),data_time: 0.172049(1.358318),train_time: 0.085490(0.097340)
 41 th batch,total_time: 0.249048(1.426929),data_time: 0.166297(1.329937),train_time: 0.082750(0.096993)
 42 th batch,total_time: 0.260012(1.399792),data_time: 0.172476(1.303019),train_time: 0.087536(0.096773)
 43 th batch,total_time: 0.257475(1.373830),data_time: 0.170169(1.277272),train_time: 0.087306(0.096558)
 44 th batch,total_time: 0.252712(1.348916),data_time: 0.169295(1.252651),train_time: 0.083417(0.096266)
 45 th batch,total_time: 0.255101(1.325138),data_time: 0.170482(1.229125),train_time: 0.084620(0.096012)
 46 th batch,total_time: 0.243175(1.302117),data_time: 0.160071(1.206379),train_time: 0.083104(0.095738)
 47 th batch,total_time: 0.260853(1.280424),data_time: 0.174314(1.184878),train_time: 0.086539(0.095546)
 48 th batch,total_time: 0.247541(1.259345),data_time: 0.161047(1.163983),train_time: 0.086494(0.095361)
 49 th batch,total_time: 0.260676(1.239371),data_time: 0.170322(1.144110),train_time: 0.090354(0.095261)
 50 th batch,total_time: 0.248487(1.219942),data_time: 0.163592(1.124884),train_time: 0.084895(0.095058)
 51 th batch,total_time: 0.257171(1.201428),data_time: 0.172848(1.106576),train_time: 0.084323(0.094852)
 52 th batch,total_time: 0.254980(1.183570),data_time: 0.172739(1.088956),train_time: 0.082241(0.094614)
 53 th batch,total_time: 0.244195(1.166174),data_time: 0.161848(1.071788),train_time: 0.082347(0.094386)
 54 th batch,total_time: 0.262780(1.149749),data_time: 0.179451(1.055563),train_time: 0.083329(0.094185)
 55 th batch,total_time: 0.243500(1.133566),data_time: 0.160004(1.039571),train_time: 0.083496(0.093995)
 56 th batch,total_time: 0.258760(1.118218),data_time: 0.175495(1.024412),train_time: 0.083265(0.093806)
 57 th batch,total_time: 0.258217(1.103391),data_time: 0.171743(1.009711),train_time: 0.086474(0.093680)
 58 th batch,total_time: 0.254423(1.089001),data_time: 0.168961(0.995461),train_time: 0.085462(0.093541)
 59 th batch,total_time: 0.258923(1.075167),data_time: 0.170122(0.981705),train_time: 0.088801(0.093462)
 60 th batch,total_time: 0.253085(1.061690),data_time: 0.167801(0.968363),train_time: 0.085284(0.093328)
 61 th batch,total_time: 0.253818(1.048660),data_time: 0.169260(0.955474),train_time: 0.084558(0.093186)
 62 th batch,total_time: 0.244317(1.035893),data_time: 0.159545(0.942840),train_time: 0.084772(0.093053)
 63 th batch,total_time: 0.270373(1.023931),data_time: 0.185993(0.931014),train_time: 0.084380(0.092917)
 64 th batch,total_time: 0.242324(1.011907),data_time: 0.160140(0.919155),train_time: 0.082184(0.092752)
 65 th batch,total_time: 0.264945(1.000589),data_time: 0.181926(0.907985),train_time: 0.083019(0.092604)
 66 th batch,total_time: 0.255220(0.989464),data_time: 0.172631(0.897009),train_time: 0.082589(0.092455)
 67 th batch,total_time: 0.258836(0.978720),data_time: 0.175848(0.886404),train_time: 0.082987(0.092316)
 68 th batch,total_time: 0.263065(0.968348),data_time: 0.180388(0.876172),train_time: 0.082676(0.092176)
 69 th batch,total_time: 0.243681(0.957995),data_time: 0.160712(0.865951),train_time: 0.082968(0.092044)
 70 th batch,total_time: 0.268553(0.948285),data_time: 0.186082(0.856375),train_time: 0.082471(0.091910)
 71 th batch,total_time: 0.247060(0.938546),data_time: 0.160594(0.846712),train_time: 0.086466(0.091834)
 72 th batch,total_time: 0.267919(0.929359),data_time: 0.181084(0.837593),train_time: 0.086835(0.091766)
 73 th batch,total_time: 0.256507(0.920266),data_time: 0.170367(0.828577),train_time: 0.086140(0.091690)
 74 th batch,total_time: 0.262752(0.911500),data_time: 0.175469(0.819869),train_time: 0.087283(0.091631)
 75 th batch,total_time: 0.257990(0.902901),data_time: 0.171196(0.811334),train_time: 0.086794(0.091567)
 76 th batch,total_time: 0.255804(0.894497),data_time: 0.170548(0.803012),train_time: 0.085256(0.091485)
 77 th batch,total_time: 0.252219(0.886263),data_time: 0.169181(0.794886),train_time: 0.083038(0.091377)
 0 th batch,total_time: 49.699585(49.699585),data_time: 48.894426(48.894426),train_time: 0.805159(0.805159)
 1 th batch,total_time: 0.269048(24.984317),data_time: 0.040959(24.467692),train_time: 0.228090(0.516624)
 2 th batch,total_time: 0.165445(16.711360),data_time: 0.083813(16.339733),train_time: 0.081632(0.371627)
 3 th batch,total_time: 0.248545(12.595656),data_time: 0.166393(12.296398),train_time: 0.082152(0.299258)
 4 th batch,total_time: 0.248248(10.126174),data_time: 0.166030(9.870324),train_time: 0.082218(0.255850)
 5 th batch,total_time: 0.248756(8.479938),data_time: 0.165514(8.252856),train_time: 0.083242(0.227082)
 6 th batch,total_time: 0.250510(7.304305),data_time: 0.164365(7.097357),train_time: 0.086145(0.206948)
 7 th batch,total_time: 0.250036(6.422522),data_time: 0.161155(6.230332),train_time: 0.088881(0.192190)
 8 th batch,total_time: 0.252564(5.736971),data_time: 0.164596(5.556361),train_time: 0.087968(0.180610)
 9 th batch,total_time: 0.240670(5.187341),data_time: 0.165843(5.017309),train_time: 0.074827(0.170031)
 10 th batch,total_time: 0.259513(4.739356),data_time: 0.175888(4.577180),train_time: 0.083626(0.162176)
 11 th batch,total_time: 0.247990(4.365076),data_time: 0.165151(4.209511),train_time: 0.082839(0.155565)
 12 th batch,total_time: 0.252568(4.048729),data_time: 0.165847(3.898460),train_time: 0.086721(0.150269)
 13 th batch,total_time: 0.246632(3.777151),data_time: 0.162079(3.631576),train_time: 0.084553(0.145575)
 14 th batch,total_time: 0.249673(3.541986),data_time: 0.165619(3.400512),train_time: 0.084054(0.141474)
 15 th batch,total_time: 0.248873(3.336166),data_time: 0.164486(3.198260),train_time: 0.084388(0.137906)
 16 th batch,total_time: 0.240510(3.154069),data_time: 0.166883(3.019944),train_time: 0.073627(0.134125)
 17 th batch,total_time: 0.260442(2.993312),data_time: 0.175756(2.861933),train_time: 0.084687(0.131378)
 18 th batch,total_time: 0.253700(2.849122),data_time: 0.162198(2.719842),train_time: 0.091502(0.129280)
 19 th batch,total_time: 0.261317(2.719731),data_time: 0.176083(2.592654),train_time: 0.085233(0.127077)
 20 th batch,total_time: 0.249576(2.602105),data_time: 0.164283(2.477017),train_time: 0.085293(0.125087)
 21 th batch,total_time: 0.249226(2.495156),data_time: 0.167267(2.372029),train_time: 0.081959(0.123127)
 22 th batch,total_time: 0.254966(2.397756),data_time: 0.167032(2.276159),train_time: 0.087935(0.121597)
 23 th batch,total_time: 0.247354(2.308156),data_time: 0.165640(2.188221),train_time: 0.081714(0.119935)
 24 th batch,total_time: 0.249348(2.225804),data_time: 0.166192(2.107340),train_time: 0.083156(0.118464)
 25 th batch,total_time: 0.250180(2.149818),data_time: 0.164042(2.032598),train_time: 0.086138(0.117221)
 26 th batch,total_time: 0.253531(2.079585),data_time: 0.171774(1.963678),train_time: 0.081756(0.115907)
 27 th batch,total_time: 0.256626(2.014480),data_time: 0.166355(1.899488),train_time: 0.090271(0.114992)
 28 th batch,total_time: 0.246534(1.953516),data_time: 0.165099(1.839682),train_time: 0.081435(0.113835)
 29 th batch,total_time: 0.262707(1.897156),data_time: 0.172762(1.784118),train_time: 0.089945(0.113038)
 30 th batch,total_time: 0.243273(1.843805),data_time: 0.166021(1.731921),train_time: 0.077252(0.111884)
 31 th batch,total_time: 0.258200(1.794255),data_time: 0.169698(1.683101),train_time: 0.088502(0.111153)
 32 th batch,total_time: 0.250026(1.747460),data_time: 0.165717(1.637120),train_time: 0.084309(0.110340)
 33 th batch,total_time: 0.254396(1.703546),data_time: 0.164211(1.593799),train_time: 0.090185(0.109747)
 34 th batch,total_time: 0.255215(1.662165),data_time: 0.157931(1.552774),train_time: 0.097284(0.109391)
 35 th batch,total_time: 0.253615(1.623039),data_time: 0.168255(1.514316),train_time: 0.085360(0.108723)
 36 th batch,total_time: 0.253189(1.586016),data_time: 0.168310(1.477937),train_time: 0.084879(0.108079)
 37 th batch,total_time: 0.254531(1.550977),data_time: 0.167636(1.443455),train_time: 0.086895(0.107521)
 38 th batch,total_time: 0.244961(1.517489),data_time: 0.162769(1.410617),train_time: 0.082192(0.106872)
 39 th batch,total_time: 0.256001(1.485952),data_time: 0.173620(1.379692),train_time: 0.082382(0.106260)
 40 th batch,total_time: 0.254793(1.455924),data_time: 0.165534(1.350079),train_time: 0.089258(0.105845)
 41 th batch,total_time: 0.253390(1.427292),data_time: 0.160239(1.321749),train_time: 0.093151(0.105543)
 42 th batch,total_time: 0.257183(1.400080),data_time: 0.173397(1.295043),train_time: 0.083786(0.105037)
 43 th batch,total_time: 0.257277(1.374107),data_time: 0.172453(1.269530),train_time: 0.084824(0.104577)
 44 th batch,total_time: 0.253783(1.349211),data_time: 0.165723(1.245001),train_time: 0.088060(0.104210)
 45 th batch,total_time: 0.257255(1.325473),data_time: 0.168984(1.221609),train_time: 0.088271(0.103864)
 46 th batch,total_time: 0.245724(1.302500),data_time: 0.162717(1.199080),train_time: 0.083007(0.103420)
 47 th batch,total_time: 0.260114(1.280783),data_time: 0.172043(1.177683),train_time: 0.088071(0.103100)
 48 th batch,total_time: 0.247930(1.259705),data_time: 0.161986(1.156955),train_time: 0.085944(0.102750)
 49 th batch,total_time: 0.255138(1.239613),data_time: 0.162488(1.137065),train_time: 0.092650(0.102548)
 50 th batch,total_time: 0.253081(1.220270),data_time: 0.158379(1.117875),train_time: 0.094702(0.102394)
 51 th batch,total_time: 0.255785(1.201722),data_time: 0.170684(1.099660),train_time: 0.085101(0.102062)
 52 th batch,total_time: 0.257754(1.183911),data_time: 0.167280(1.082068),train_time: 0.090474(0.101843)
 53 th batch,total_time: 0.249099(1.166600),data_time: 0.166124(1.065106),train_time: 0.082976(0.101494)
 54 th batch,total_time: 0.256029(1.150044),data_time: 0.164834(1.048737),train_time: 0.091195(0.101306)
 55 th batch,total_time: 0.251067(1.133991),data_time: 0.166511(1.032983),train_time: 0.084556(0.101007)
 56 th batch,total_time: 0.251638(1.118511),data_time: 0.168381(1.017815),train_time: 0.083257(0.100696)
 57 th batch,total_time: 0.257044(1.103658),data_time: 0.160157(1.003028),train_time: 0.096886(0.100630)
 58 th batch,total_time: 0.253470(1.089248),data_time: 0.171051(0.988926),train_time: 0.082419(0.100322)
 59 th batch,total_time: 0.260442(1.075435),data_time: 0.173465(0.975335),train_time: 0.086977(0.100099)
 60 th batch,total_time: 0.251732(1.061931),data_time: 0.169061(0.962118),train_time: 0.082670(0.099813)
 61 th batch,total_time: 0.257204(1.048952),data_time: 0.173816(0.949403),train_time: 0.083387(0.099549)
 62 th batch,total_time: 0.257062(1.036382),data_time: 0.171966(0.937063),train_time: 0.085096(0.099319)
 63 th batch,total_time: 0.258524(1.024228),data_time: 0.174333(0.925145),train_time: 0.084191(0.099083)
 64 th batch,total_time: 0.253474(1.012370),data_time: 0.169337(0.913518),train_time: 0.084137(0.098853)
 65 th batch,total_time: 0.252325(1.000855),data_time: 0.168659(0.902232),train_time: 0.083666(0.098623)
 66 th batch,total_time: 0.261730(0.989823),data_time: 0.178114(0.891424),train_time: 0.083617(0.098399)
 67 th batch,total_time: 0.262967(0.979134),data_time: 0.179152(0.880949),train_time: 0.083815(0.098184)
 68 th batch,total_time: 0.253931(0.968624),data_time: 0.168814(0.870629),train_time: 0.085117(0.097995)
 69 th batch,total_time: 0.258788(0.958483),data_time: 0.171804(0.860645),train_time: 0.086985(0.097838)
 70 th batch,total_time: 0.253535(0.948554),data_time: 0.169837(0.850916),train_time: 0.083699(0.097638)
 71 th batch,total_time: 0.259420(0.938983),data_time: 0.174297(0.841518),train_time: 0.085123(0.097465)
 72 th batch,total_time: 0.255032(0.929614),data_time: 0.172512(0.832354),train_time: 0.082520(0.097260)
 73 th batch,total_time: 0.256203(0.920514),data_time: 0.162499(0.823302),train_time: 0.093704(0.097212)
 74 th batch,total_time: 0.260587(0.911715),data_time: 0.171378(0.814609),train_time: 0.089209(0.097105)
 75 th batch,total_time: 0.258816(0.903124),data_time: 0.175110(0.806195),train_time: 0.083706(0.096929)
 76 th batch,total_time: 0.258846(0.894757),data_time: 0.173319(0.797976),train_time: 0.085527(0.096781)
 77 th batch,total_time: 0.253656(0.886537),data_time: 0.171659(0.789946),train_time: 0.081998(0.096591)
 78 th batch,total_time: 0.245465(0.878151),data_time: 0.161934(0.786874),train_time: 0.083531(0.091278)
 79 th batch,total_time: 0.253165(0.870339),data_time: 0.170433(0.779168),train_time: 0.082732(0.091171)
 80 th batch,total_time: 0.253413(0.862722),data_time: 0.170252(0.771651),train_time: 0.083161(0.091072)
 81 th batch,total_time: 0.269176(0.855484),data_time: 0.184248(0.764487),train_time: 0.084929(0.090997)
 82 th batch,total_time: 0.262216(0.848336),data_time: 0.173125(0.757362),train_time: 0.089090(0.090974)
 83 th batch,total_time: 0.250650(0.841221),data_time: 0.166783(0.750332),train_time: 0.083867(0.090889)
