Use GPU: 0 for training
=> creating model 'resnet18'
worker_num : 0
@@ 非dummy数据集加载
 0 th batch,total_time: 5.725624(5.725624),data_time: 4.976158(4.976158),train_time: 0.749466(0.749466)
 1 th batch,total_time: 5.331901(5.528763),data_time: 4.891963(4.934060),train_time: 0.439938(0.594702)
 2 th batch,total_time: 4.117931(5.058485),data_time: 3.973245(4.613789),train_time: 0.144686(0.444697)
 3 th batch,total_time: 4.396128(4.892896),data_time: 4.242749(4.521029),train_time: 0.153378(0.371867)
 4 th batch,total_time: 4.147283(4.743773),data_time: 4.002159(4.417255),train_time: 0.145124(0.326519)
 5 th batch,total_time: 4.448353(4.694537),data_time: 4.298630(4.397484),train_time: 0.149723(0.297053)
 6 th batch,total_time: 4.177390(4.620659),data_time: 4.033455(4.345480),train_time: 0.143935(0.275179)
 7 th batch,total_time: 4.026608(4.546402),data_time: 3.883110(4.287684),train_time: 0.143497(0.258719)
 8 th batch,total_time: 4.154221(4.502827),data_time: 4.011039(4.256945),train_time: 0.143181(0.245881)
 9 th batch,total_time: 4.136753(4.466219),data_time: 3.992109(4.230462),train_time: 0.144644(0.235757)
 10 th batch,total_time: 4.126576(4.435343),data_time: 3.983922(4.208049),train_time: 0.142654(0.227293)
 11 th batch,total_time: 4.175468(4.413686),data_time: 4.032160(4.193392),train_time: 0.143308(0.220295)
 12 th batch,total_time: 4.102853(4.389776),data_time: 3.956436(4.175164),train_time: 0.146417(0.214612)
 13 th batch,total_time: 4.159879(4.373355),data_time: 4.024225(4.164383),train_time: 0.135654(0.208972)
 14 th batch,total_time: 4.192522(4.361299),data_time: 4.047210(4.156571),train_time: 0.145312(0.204728)
 15 th batch,total_time: 4.266126(4.355351),data_time: 4.131361(4.154996),train_time: 0.134765(0.200355)
 16 th batch,total_time: 4.233895(4.348207),data_time: 4.089326(4.151133),train_time: 0.144569(0.197074)
 17 th batch,total_time: 4.218370(4.340993),data_time: 4.075302(4.146920),train_time: 0.143068(0.194073)
 18 th batch,total_time: 4.308001(4.339257),data_time: 4.172079(4.148244),train_time: 0.135923(0.191013)
 19 th batch,total_time: 4.135723(4.329080),data_time: 3.998792(4.140772),train_time: 0.136930(0.188309)
 20 th batch,total_time: 4.149755(4.320541),data_time: 4.004865(4.134300),train_time: 0.144890(0.186241)
 21 th batch,total_time: 4.146880(4.312647),data_time: 4.003506(4.128355),train_time: 0.143373(0.184293)
 22 th batch,total_time: 4.182696(4.306997),data_time: 4.038205(4.124435),train_time: 0.144491(0.182562)
 23 th batch,total_time: 4.216745(4.303237),data_time: 4.071010(4.122209),train_time: 0.145735(0.181028)
 24 th batch,total_time: 4.292455(4.302805),data_time: 4.148720(4.123269),train_time: 0.143734(0.179536)
 25 th batch,total_time: 4.205684(4.299070),data_time: 4.053128(4.120572),train_time: 0.152557(0.178498)
 26 th batch,total_time: 4.191620(4.295090),data_time: 4.047856(4.117879),train_time: 0.143763(0.177212)
 27 th batch,total_time: 4.154602(4.290073),data_time: 4.011990(4.114097),train_time: 0.142613(0.175976)
 28 th batch,total_time: 4.079656(4.282817),data_time: 3.932234(4.107826),train_time: 0.147421(0.174991)
 29 th batch,total_time: 4.453845(4.288518),data_time: 4.309707(4.114555),train_time: 0.144137(0.173963)
 30 th batch,total_time: 4.172748(4.284784),data_time: 4.029770(4.111820),train_time: 0.142978(0.172963)
 31 th batch,total_time: 4.083392(4.278490),data_time: 3.940395(4.106463),train_time: 0.142997(0.172027)
 32 th batch,total_time: 4.122175(4.273753),data_time: 3.978774(4.102594),train_time: 0.143402(0.171160)
 33 th batch,total_time: 4.029104(4.266558),data_time: 3.885326(4.096203),train_time: 0.143779(0.170354)
 34 th batch,total_time: 4.140397(4.262953),data_time: 3.996524(4.093355),train_time: 0.143872(0.169598)
 35 th batch,total_time: 4.201325(4.261241),data_time: 4.058434(4.092385),train_time: 0.142891(0.168856)
 36 th batch,total_time: 4.306218(4.262457),data_time: 4.155848(4.094101),train_time: 0.150370(0.168356)
 37 th batch,total_time: 4.224406(4.261455),data_time: 4.081606(4.093772),train_time: 0.142799(0.167684)
 38 th batch,total_time: 4.102424(4.257378),data_time: 3.959586(4.090331),train_time: 0.142838(0.167047)
 39 th batch,total_time: 4.133612(4.254284),data_time: 3.991419(4.087858),train_time: 0.142193(0.166425)
 40 th batch,total_time: 4.146129(4.251646),data_time: 4.003408(4.085799),train_time: 0.142720(0.165847)
 41 th batch,total_time: 4.149426(4.249212),data_time: 4.006641(4.083914),train_time: 0.142785(0.165298)
 42 th batch,total_time: 4.092958(4.245578),data_time: 3.950295(4.080806),train_time: 0.142663(0.164772)
 43 th batch,total_time: 4.052502(4.241190),data_time: 3.909645(4.076916),train_time: 0.142858(0.164274)
 44 th batch,total_time: 4.085589(4.237732),data_time: 3.943119(4.073943),train_time: 0.142469(0.163789)
 45 th batch,total_time: 3.963300(4.231766),data_time: 3.820612(4.068436),train_time: 0.142687(0.163330)
 46 th batch,total_time: 4.247717(4.232106),data_time: 4.105186(4.069218),train_time: 0.142532(0.162888)
 47 th batch,total_time: 4.229903(4.232060),data_time: 4.086446(4.069577),train_time: 0.143457(0.162483)
 48 th batch,total_time: 4.099475(4.229354),data_time: 3.956458(4.067268),train_time: 0.143018(0.162086)
 49 th batch,total_time: 4.074743(4.226262),data_time: 3.931893(4.064561),train_time: 0.142850(0.161701)
 50 th batch,total_time: 4.154523(4.224855),data_time: 4.011168(4.063514),train_time: 0.143354(0.161341)
 51 th batch,total_time: 4.088508(4.222233),data_time: 3.944456(4.061224),train_time: 0.144052(0.161009)
 52 th batch,total_time: 4.176317(4.221367),data_time: 4.033810(4.060707),train_time: 0.142507(0.160660)
 53 th batch,total_time: 4.131094(4.219695),data_time: 3.988394(4.059368),train_time: 0.142700(0.160327)
 54 th batch,total_time: 4.292954(4.221027),data_time: 4.150438(4.061024),train_time: 0.142516(0.160003)
 55 th batch,total_time: 4.191631(4.220502),data_time: 4.048663(4.060803),train_time: 0.142968(0.159699)
 56 th batch,total_time: 4.145436(4.219185),data_time: 4.002477(4.059780),train_time: 0.142958(0.159405)
 57 th batch,total_time: 4.330688(4.221108),data_time: 4.187662(4.061985),train_time: 0.143026(0.159123)
 58 th batch,total_time: 4.097467(4.219012),data_time: 3.954145(4.060157),train_time: 0.143321(0.158855)
 59 th batch,total_time: 4.093330(4.216917),data_time: 3.950625(4.058331),train_time: 0.142705(0.158586)
 60 th batch,total_time: 4.074482(4.214582),data_time: 3.931639(4.056254),train_time: 0.142843(0.158328)
 61 th batch,total_time: 4.042190(4.211802),data_time: 3.898187(4.053705),train_time: 0.144003(0.158097)
 62 th batch,total_time: 4.117263(4.210301),data_time: 3.973903(4.052438),train_time: 0.143360(0.157863)
 63 th batch,total_time: 4.154401(4.209428),data_time: 4.010781(4.051787),train_time: 0.143620(0.157640)
 64 th batch,total_time: 4.143628(4.208415),data_time: 3.997099(4.050946),train_time: 0.146529(0.157469)
 65 th batch,total_time: 4.138701(4.207359),data_time: 3.995528(4.050106),train_time: 0.143173(0.157253)
 66 th batch,total_time: 4.114553(4.205974),data_time: 3.971728(4.048936),train_time: 0.142825(0.157037)
 67 th batch,total_time: 4.153953(4.205209),data_time: 4.010703(4.048374),train_time: 0.143251(0.156835)
 68 th batch,total_time: 4.098374(4.203661),data_time: 3.955218(4.047024),train_time: 0.143156(0.156636)
