Use GPU: 0 for training
=> creating model 'resnet18'
worker_num : 16
@@ 非dummy数据集加载
Use GPU: 1 for training
=> creating model 'resnet18'
worker_num : 16
@@ 非dummy数据集加载
 0 th batch,total_time: 51.326889(51.326889),data_time: 50.577288(50.577288),train_time: 0.749600(0.749600)
 1 th batch,total_time: 0.536799(25.931844),data_time: 0.103487(25.340388),train_time: 0.433312(0.591456)
 2 th batch,total_time: 0.250236(17.371308),data_time: 0.104626(16.928467),train_time: 0.145611(0.442841)
 3 th batch,total_time: 0.484049(13.149493),data_time: 0.340460(12.781465),train_time: 0.143589(0.368028)
 4 th batch,total_time: 0.495906(10.618776),data_time: 0.347979(10.294768),train_time: 0.147927(0.324008)
 5 th batch,total_time: 0.491823(8.930950),data_time: 0.346566(8.636734),train_time: 0.145257(0.294216)
 6 th batch,total_time: 0.490710(7.725202),data_time: 0.338824(7.451319),train_time: 0.151886(0.273883)
 7 th batch,total_time: 0.485070(6.820185),data_time: 0.339890(6.562390),train_time: 0.145180(0.257795)
 8 th batch,total_time: 0.495092(6.117397),data_time: 0.348362(5.871942),train_time: 0.146730(0.245455)
 9 th batch,total_time: 0.496846(5.555342),data_time: 0.350838(5.319832),train_time: 0.146008(0.235510)
 10 th batch,total_time: 0.483614(5.094276),data_time: 0.338520(4.866985),train_time: 0.145093(0.227290)
 11 th batch,total_time: 0.490918(4.710663),data_time: 0.344055(4.490075),train_time: 0.146864(0.220588)
 12 th batch,total_time: 0.485292(4.385634),data_time: 0.336613(4.170578),train_time: 0.148679(0.215057)
 13 th batch,total_time: 0.481578(4.106773),data_time: 0.334923(3.896602),train_time: 0.146655(0.210171)
 14 th batch,total_time: 0.481620(3.865096),data_time: 0.337492(3.659328),train_time: 0.144128(0.205768)
 15 th batch,total_time: 0.476802(3.653328),data_time: 0.339132(3.451816),train_time: 0.137671(0.201512)
 16 th batch,total_time: 0.493020(3.467427),data_time: 0.344311(3.269021),train_time: 0.148708(0.198406)
 17 th batch,total_time: 0.497817(3.302449),data_time: 0.352681(3.107003),train_time: 0.145136(0.195446)
 18 th batch,total_time: 0.484410(3.154131),data_time: 0.334898(2.961102),train_time: 0.149512(0.193029)
 19 th batch,total_time: 0.475835(3.020216),data_time: 0.340585(2.830076),train_time: 0.135251(0.190140)
 20 th batch,total_time: 0.516458(2.900990),data_time: 0.360271(2.712467),train_time: 0.156187(0.188523)
 21 th batch,total_time: 0.500396(2.791872),data_time: 0.354536(2.605288),train_time: 0.145861(0.186584)
 22 th batch,total_time: 0.496367(2.692067),data_time: 0.339674(2.506783),train_time: 0.156693(0.185284)
 23 th batch,total_time: 0.491453(2.600375),data_time: 0.343336(2.416639),train_time: 0.148117(0.183736)
 24 th batch,total_time: 0.493910(2.516116),data_time: 0.336608(2.333438),train_time: 0.157302(0.182678)
 25 th batch,total_time: 0.483391(2.437935),data_time: 0.333600(2.256521),train_time: 0.149792(0.181413)
