Use GPU: 0 for training
=> creating model 'resnet18'
worker_num : 0
@@ 非dummy数据集加载
 0 th batch,total_time: 1.749396(1.749396),data_time: 1.282210(1.282210),train_time: 0.467186(0.467186)
 1 th batch,total_time: 1.212259(1.480828),data_time: 1.086110(1.184160),train_time: 0.126149(0.296668)
 2 th batch,total_time: 1.166088(1.375914),data_time: 1.114850(1.161057),train_time: 0.051238(0.214858)
 3 th batch,total_time: 1.065317(1.298265),data_time: 1.016990(1.125040),train_time: 0.048327(0.173225)
 4 th batch,total_time: 1.012434(1.241099),data_time: 0.966715(1.093375),train_time: 0.045720(0.147724)
 5 th batch,total_time: 1.031672(1.206194),data_time: 0.985909(1.075464),train_time: 0.045763(0.130730)
 6 th batch,total_time: 1.061844(1.185573),data_time: 1.015784(1.066938),train_time: 0.046060(0.118635)
 7 th batch,total_time: 1.034405(1.166677),data_time: 0.988016(1.057073),train_time: 0.046389(0.109604)
 8 th batch,total_time: 1.030202(1.151513),data_time: 0.983389(1.048886),train_time: 0.046813(0.102627)
 9 th batch,total_time: 1.046015(1.140963),data_time: 1.000863(1.044083),train_time: 0.045152(0.096880)
 10 th batch,total_time: 1.026455(1.130553),data_time: 0.982103(1.038449),train_time: 0.044352(0.092104)
 11 th batch,total_time: 1.077469(1.126130),data_time: 1.030811(1.037812),train_time: 0.046659(0.088317)
 12 th batch,total_time: 1.092903(1.123574),data_time: 1.042854(1.038200),train_time: 0.050049(0.085374)
 13 th batch,total_time: 1.051138(1.118400),data_time: 1.000713(1.035522),train_time: 0.050425(0.082877)
 14 th batch,total_time: 1.043542(1.113409),data_time: 0.996710(1.032935),train_time: 0.046832(0.080474)
 15 th batch,total_time: 1.056242(1.109836),data_time: 1.008870(1.031431),train_time: 0.047372(0.078405)
 16 th batch,total_time: 1.034838(1.105425),data_time: 0.988866(1.028927),train_time: 0.045972(0.076498)
 17 th batch,total_time: 1.042249(1.101915),data_time: 0.997305(1.027170),train_time: 0.044944(0.074745)
 18 th batch,total_time: 1.041596(1.098740),data_time: 0.997977(1.025634),train_time: 0.043619(0.073106)
 19 th batch,total_time: 1.037577(1.095682),data_time: 0.994285(1.024066),train_time: 0.043292(0.071616)
 20 th batch,total_time: 1.080394(1.094954),data_time: 1.027307(1.024221),train_time: 0.053086(0.070733)
 21 th batch,total_time: 1.091258(1.094786),data_time: 1.039622(1.024921),train_time: 0.051636(0.069865)
 22 th batch,total_time: 1.104221(1.095196),data_time: 1.050193(1.026020),train_time: 0.054028(0.069177)
 23 th batch,total_time: 1.096662(1.095257),data_time: 1.043550(1.026750),train_time: 0.053113(0.068507)
 24 th batch,total_time: 1.059582(1.093830),data_time: 1.007406(1.025976),train_time: 0.052176(0.067854)
 25 th batch,total_time: 1.027329(1.091273),data_time: 0.975865(1.024049),train_time: 0.051464(0.067224)
 26 th batch,total_time: 1.076756(1.090735),data_time: 1.025496(1.024102),train_time: 0.051260(0.066632)
 27 th batch,total_time: 1.054648(1.089446),data_time: 1.003605(1.023370),train_time: 0.051043(0.066076)
 28 th batch,total_time: 1.116468(1.090378),data_time: 1.064975(1.024805),train_time: 0.051493(0.065573)
 29 th batch,total_time: 1.062919(1.089463),data_time: 1.011659(1.024367),train_time: 0.051260(0.065096)
 30 th batch,total_time: 1.077650(1.089082),data_time: 1.025898(1.024416),train_time: 0.051752(0.064665)
 31 th batch,total_time: 1.091738(1.089165),data_time: 1.040321(1.024913),train_time: 0.051417(0.064251)
 32 th batch,total_time: 1.096219(1.089378),data_time: 1.044902(1.025519),train_time: 0.051316(0.063859)
 33 th batch,total_time: 1.075186(1.088961),data_time: 1.024309(1.025483),train_time: 0.050877(0.063477)
 34 th batch,total_time: 1.091461(1.089032),data_time: 1.039825(1.025893),train_time: 0.051636(0.063139)
 35 th batch,total_time: 1.050107(1.087951),data_time: 0.997975(1.025118),train_time: 0.052132(0.062833)
 36 th batch,total_time: 1.055959(1.087086),data_time: 1.004801(1.024569),train_time: 0.051158(0.062518)
 37 th batch,total_time: 1.036782(1.085763),data_time: 0.985397(1.023538),train_time: 0.051385(0.062225)
 38 th batch,total_time: 1.082356(1.085675),data_time: 1.030793(1.023724),train_time: 0.051563(0.061951)
 39 th batch,total_time: 1.078383(1.085493),data_time: 1.026829(1.023801),train_time: 0.051554(0.061692)
 40 th batch,total_time: 1.039263(1.084365),data_time: 0.988112(1.022931),train_time: 0.051152(0.061434)
 41 th batch,total_time: 1.061616(1.083824),data_time: 1.010249(1.022629),train_time: 0.051367(0.061195)
 42 th batch,total_time: 1.051661(1.083076),data_time: 1.000025(1.022103),train_time: 0.051636(0.060972)
 43 th batch,total_time: 1.067128(1.082713),data_time: 1.016232(1.021970),train_time: 0.050896(0.060743)
 44 th batch,total_time: 1.063977(1.082297),data_time: 1.012792(1.021766),train_time: 0.051186(0.060531)
 45 th batch,total_time: 1.050758(1.081611),data_time: 0.999364(1.021279),train_time: 0.051394(0.060332)
 46 th batch,total_time: 1.082715(1.081635),data_time: 1.031185(1.021490),train_time: 0.051529(0.060145)
 47 th batch,total_time: 1.060844(1.081202),data_time: 1.008013(1.021209),train_time: 0.052831(0.059993)
 48 th batch,total_time: 1.058815(1.080745),data_time: 1.007560(1.020930),train_time: 0.051255(0.059814)
 49 th batch,total_time: 1.087859(1.080887),data_time: 1.036755(1.021247),train_time: 0.051104(0.059640)
 50 th batch,total_time: 1.102245(1.081306),data_time: 1.050601(1.021822),train_time: 0.051644(0.059483)
 51 th batch,total_time: 1.060571(1.080907),data_time: 1.009613(1.021588),train_time: 0.050958(0.059319)
 52 th batch,total_time: 1.058987(1.080494),data_time: 1.008022(1.021332),train_time: 0.050966(0.059162)
 53 th batch,total_time: 1.036078(1.079671),data_time: 0.985110(1.020661),train_time: 0.050969(0.059010)
 54 th batch,total_time: 1.058539(1.079287),data_time: 1.006980(1.020412),train_time: 0.051559(0.058875)
 55 th batch,total_time: 1.057943(1.078906),data_time: 1.006581(1.020165),train_time: 0.051362(0.058741)
 56 th batch,total_time: 1.079724(1.078920),data_time: 1.028482(1.020311),train_time: 0.051242(0.058609)
 57 th batch,total_time: 1.119734(1.079624),data_time: 1.068407(1.021140),train_time: 0.051326(0.058483)
 58 th batch,total_time: 1.074186(1.079532),data_time: 1.022629(1.021166),train_time: 0.051557(0.058366)
 59 th batch,total_time: 1.053610(1.079100),data_time: 1.002848(1.020860),train_time: 0.050762(0.058239)
 60 th batch,total_time: 1.059329(1.078775),data_time: 1.008477(1.020657),train_time: 0.050852(0.058118)
 61 th batch,total_time: 1.087095(1.078910),data_time: 1.036298(1.020910),train_time: 0.050797(0.058000)
 62 th batch,total_time: 1.075887(1.078862),data_time: 1.024419(1.020965),train_time: 0.051468(0.057896)
 63 th batch,total_time: 1.062960(1.078613),data_time: 1.011415(1.020816),train_time: 0.051545(0.057797)
 64 th batch,total_time: 1.065157(1.078406),data_time: 1.013958(1.020711),train_time: 0.051199(0.057696)
 65 th batch,total_time: 1.033559(1.077727),data_time: 0.982726(1.020135),train_time: 0.050833(0.057592)
 66 th batch,total_time: 1.024299(1.076929),data_time: 0.972996(1.019431),train_time: 0.051303(0.057498)
 67 th batch,total_time: 1.036588(1.076336),data_time: 0.985453(1.018932),train_time: 0.051135(0.057404)
 68 th batch,total_time: 1.020305(1.075524),data_time: 0.969274(1.018212),train_time: 0.051031(0.057312)
 69 th batch,total_time: 1.049093(1.075146),data_time: 0.996492(1.017902),train_time: 0.052601(0.057245)
 70 th batch,total_time: 1.061690(1.074957),data_time: 1.010513(1.017798),train_time: 0.051178(0.057159)
 71 th batch,total_time: 1.074761(1.074954),data_time: 1.022776(1.017867),train_time: 0.051986(0.057087)
 72 th batch,total_time: 1.063699(1.074800),data_time: 1.011712(1.017783),train_time: 0.051988(0.057017)
 73 th batch,total_time: 1.052207(1.074495),data_time: 1.000696(1.017552),train_time: 0.051511(0.056943)
 74 th batch,total_time: 1.050119(1.074170),data_time: 0.999015(1.017304),train_time: 0.051105(0.056865)
 75 th batch,total_time: 1.041672(1.073742),data_time: 0.990032(1.016946),train_time: 0.051640(0.056796)
 76 th batch,total_time: 1.028526(1.073155),data_time: 0.977116(1.016428),train_time: 0.051410(0.056726)
Use GPU: 1 for training
=> creating model 'resnet18'
worker_num : 0
@@ 非dummy数据集加载
 0 th batch,total_time: 1.750526(1.750526),data_time: 1.288900(1.288900),train_time: 0.461626(0.461626)
 1 th batch,total_time: 1.212491(1.481508),data_time: 1.093880(1.191390),train_time: 0.118611(0.290118)
 2 th batch,total_time: 1.165179(1.376065),data_time: 1.085502(1.156094),train_time: 0.079677(0.219971)
 3 th batch,total_time: 1.094114(1.305577),data_time: 1.043609(1.127973),train_time: 0.050505(0.177605)
 4 th batch,total_time: 1.030708(1.250604),data_time: 0.979986(1.098375),train_time: 0.050723(0.152228)
 5 th batch,total_time: 1.040909(1.215654),data_time: 0.990334(1.080368),train_time: 0.050575(0.135286)
 6 th batch,total_time: 1.058349(1.193182),data_time: 1.008072(1.070040),train_time: 0.050277(0.123142)
 7 th batch,total_time: 1.030225(1.172813),data_time: 0.979403(1.058711),train_time: 0.050822(0.114102)
 8 th batch,total_time: 1.031037(1.157060),data_time: 0.980739(1.050047),train_time: 0.050298(0.107013)
 9 th batch,total_time: 1.054445(1.146798),data_time: 1.003595(1.045402),train_time: 0.050850(0.101396)
 10 th batch,total_time: 1.033146(1.136466),data_time: 0.982488(1.039682),train_time: 0.050658(0.096784)
 11 th batch,total_time: 1.064987(1.130510),data_time: 1.014361(1.037572),train_time: 0.050627(0.092937)
 12 th batch,total_time: 1.044008(1.123856),data_time: 0.984798(1.033513),train_time: 0.059210(0.090343)
 13 th batch,total_time: 1.052178(1.118736),data_time: 0.980817(1.029749),train_time: 0.071361(0.088987)
 14 th batch,total_time: 1.072017(1.115621),data_time: 1.021880(1.029224),train_time: 0.050137(0.086397)
 15 th batch,total_time: 1.062390(1.112294),data_time: 1.011827(1.028137),train_time: 0.050562(0.084157)
 16 th batch,total_time: 1.045734(1.108379),data_time: 0.995128(1.026195),train_time: 0.050606(0.082184)
 17 th batch,total_time: 1.035840(1.104349),data_time: 0.985357(1.023926),train_time: 0.050483(0.080423)
 18 th batch,total_time: 1.054727(1.101737),data_time: 1.003445(1.022848),train_time: 0.051282(0.078889)
 19 th batch,total_time: 1.045303(1.098916),data_time: 0.994637(1.021438),train_time: 0.050667(0.077478)
 20 th batch,total_time: 1.057506(1.096944),data_time: 1.005678(1.020687),train_time: 0.051828(0.076256)
 21 th batch,total_time: 1.112293(1.097641),data_time: 1.061318(1.022534),train_time: 0.050975(0.075107)
 22 th batch,total_time: 1.101604(1.097814),data_time: 1.051102(1.023776),train_time: 0.050502(0.074037)
 23 th batch,total_time: 1.102284(1.098000),data_time: 1.051138(1.024916),train_time: 0.051146(0.073084)
 24 th batch,total_time: 1.078532(1.097221),data_time: 1.027579(1.025023),train_time: 0.050954(0.072198)
 25 th batch,total_time: 1.051054(1.095446),data_time: 0.999915(1.024057),train_time: 0.051139(0.071388)
 26 th batch,total_time: 1.086933(1.095130),data_time: 1.036154(1.024505),train_time: 0.050778(0.070625)
 27 th batch,total_time: 1.059101(1.093844),data_time: 1.008684(1.023940),train_time: 0.050417(0.069903)
 28 th batch,total_time: 1.126012(1.094953),data_time: 1.075247(1.025709),train_time: 0.050765(0.069243)
