batch_size,worker_num,prefetch_factor,AVG_data,MIN_data,MAX_data,Median_data,p99_data,AVG_train,MIN_train,MAX_train,Median_train,p99_train,AVG_todevice,MIN_todevice,MAX_todevice,Median_todevice,p99_todevice
8,0,1,0.11106204986572266,0.06723880767822266,0.2336289882659912,0.08227849006652832,0.22804565429687498,0.10212006568908691,0.019817829132080078,0.4218177795410156,0.020166873931884766,0.4061016845703125,0.00136871337890625,0.0013051033020019531,0.00152587890625,0.0013279914855957031,0.0015192317962646484
8,1,1,0.10033168792724609,0.0007092952728271484,0.3151133060455322,0.057012081146240234,0.30543288230895993,0.11047482490539551,0.022075414657592773,0.46098971366882324,0.02264714241027832,0.44352229118347164,0.0005750656127929688,0.00047898292541503906,0.0008559226989746094,0.0005090236663818359,0.0008428287506103515
8,2,1,0.07322077751159668,0.0006253719329833984,0.306243896484375,0.001112222671508789,0.296287784576416,0.11010136604309081,0.015831470489501953,0.4634132385253906,0.023679256439208984,0.4458382034301758,0.0006026268005371094,0.0004394054412841797,0.001049041748046875,0.0005059242248535156,0.0010278987884521484
8,4,1,0.06917719841003418,0.0005311965942382812,0.3430466651916504,0.0006735324859619141,0.32936640739440914,0.1131678581237793,0.014560937881469727,0.4934508800506592,0.015781641006469727,0.4748009204864502,0.0006116867065429687,0.0004191398620605469,0.001306295394897461,0.0004363059997558594,0.0012727737426757812
8,8,1,0.0839226245880127,0.0005600452423095703,0.41701602935791016,0.0006737709045410156,0.4003672695159912,0.11084113121032715,0.013923883438110352,0.48780202865600586,0.01466679573059082,0.4692419338226318,0.0006905555725097656,0.00041985511779785156,0.0016751289367675781,0.00042891502380371094,0.0016282367706298827
16,8,1,0.008586399626023698,0.0009174346923828125,0.6583390235900879,0.0012714862823486328,0.08032441139221191,0.025375699052716246,0.0156857967376709,0.3954660892486572,0.021464824676513672,0.03215980529785156,0.0008638471660047474,0.00079345703125,0.003904581069946289,0.0008282661437988281,0.0010104179382324219
16,8,1,0.0064614102391913385,0.0010349750518798828,0.5196919441223145,0.0013124942779541016,0.002000570297241211,0.026845148294278892,0.01656651496887207,0.4885118007659912,0.022324323654174805,0.03056049346923828,0.0008404585394528833,0.0008089542388916016,0.0011928081512451172,0.0008337497711181641,0.001058816909790039
16,8,1,0.006656946522174495,0.0008990764617919922,0.5128800868988037,0.0013246536254882812,0.02497720718383789,0.0283418598741588,0.01580667495727539,0.4829092025756836,0.02336907386779785,0.032912492752075195,0.0008491997671599436,0.0007836818695068359,0.001161813735961914,0.0008418560028076172,0.0010385513305664062
16,8,1,0.007813038212237972,0.001992464065551758,0.5577783584594727,0.002251863479614258,0.003199338912963867,0.14241108091750948,0.10428285598754883,0.568976879119873,0.1409742832183838,0.1738908290863037,0.0009450700023386739,0.0009012222290039062,0.0012454986572265625,0.0009405612945556641,0.0010313987731933594
16,8,1,0.005860456145635926,0.0020720958709716797,0.34917759895324707,0.002485036849975586,0.002839326858520508,0.1474140492996367,0.10406017303466797,0.598806619644165,0.14533019065856934,0.19120550155639648,0.0009353019223354831,0.0009021759033203125,0.0014426708221435547,0.0009315013885498047,0.0010128021240234375
