batch_size,worker_num,prefetch_factor,epoch,total_time,data_time,training_time,data_todevice_time
16,0,1,0,30.808844089508057,26.226728200912476,4.582115888595581,0.5046632289886475
16,0,1,1,30.110841512680054,25.922317028045654,4.188524484634399,0.487703800201416
16,0,1,2,30.862931728363037,26.666428565979004,4.196503162384033,0.4995572566986084
16,1,1,0,30.869357109069824,25.993330717086792,4.876026391983032,0.17854714393615723
16,1,1,1,30.090144872665405,25.634114027023315,4.45603084564209,0.1806025505065918
16,1,1,2,29.90624976158142,25.504551887512207,4.401697874069214,0.17756247520446777
16,2,1,0,15.31575322151184,10.144838571548462,5.170914649963379,0.17554163932800293
16,2,1,1,14.56782841682434,10.168099880218506,4.399728536605835,0.17486238479614258
16,2,1,2,14.475515127182007,10.306157350540161,4.169357776641846,0.1741008758544922
16,4,1,0,7.956079483032227,3.0077364444732666,4.94834303855896,0.17167162895202637
16,4,1,1,7.4349048137664795,2.875474214553833,4.5594305992126465,0.17204689979553223
16,4,1,2,7.323326826095581,2.774340867996216,4.548985958099365,0.17200875282287598
16,8,1,0,5.569249391555786,0.8477096557617188,4.721539735794067,0.16916465759277344
16,8,1,1,5.092029571533203,0.6284053325653076,4.4636242389678955,0.16876626014709473
16,8,1,2,5.231766223907471,0.6252346038818359,4.606531620025635,0.16874313354492188
16,16,1,0,5.7811970710754395,1.0440874099731445,4.737109661102295,0.1689155101776123
16,16,1,1,5.01073431968689,0.7285256385803223,4.282208681106567,0.1676175594329834
16,16,1,2,5.00888991355896,0.6454365253448486,4.363453388214111,0.16969060897827148
32,0,1,0,57.41071915626526,52.90952205657959,4.501197099685669,0.9931952953338623
32,0,1,1,56.66902732849121,52.58148717880249,4.087540149688721,0.9667198657989502
32,0,1,2,55.76199555397034,51.645851373672485,4.116144180297852,0.9759070873260498
32,1,1,0,59.12301278114319,54.01879954338074,5.104213237762451,0.3313255310058594
32,1,1,1,56.37461280822754,51.83311438560486,4.541498422622681,0.3324587345123291
32,1,1,2,55.54093146324158,51.31628489494324,4.22464656829834,0.3302178382873535
32,2,1,0,27.585743188858032,22.83486795425415,4.750875234603882,0.3263101577758789
32,2,1,1,26.6192626953125,22.199980974197388,4.419281721115112,0.32506561279296875
32,2,1,2,26.52107000350952,22.167006254196167,4.3540637493133545,0.324526309967041
32,4,1,0,13.119321823120117,8.217016458511353,4.902305364608765,0.32119083404541016
32,4,1,1,12.12322449684143,7.706205129623413,4.417019367218018,0.3194723129272461
32,4,1,2,12.255623579025269,7.820046424865723,4.435577154159546,0.31874680519104004
32,8,1,0,6.258294105529785,1.6153161525726318,4.642977952957153,0.310070276260376
