batch_size,worker_num,prefetch_factor,data_time,training_time
64,1,1,0.36998961611491876,0.08147851432242044
64,8,1,0.03574495199250012,0.08792788807938738
64,16,1,0.016773537891667065,0.08495869869139136
64,32,1,0.018804061703565644,0.08447400535025247
64,64,1,0.02262282371520996,0.08890650912028987
16,1,1,0.0502921101505771,0.06910946764097624
16,8,1,0.0018216217953734603,0.06783653475755563
16,16,1,0.0018281410076866852,0.06802697415732167
16,32,1,0.0019201149969744536,0.06770647815400106
16,64,1,0.0019661224692877084,0.0675043533184777
32,1,1,0.16005343053399063,0.07443803403435684
32,8,1,0.0022379828662407106,0.0744512371900605
32,16,1,0.002218403467317907,0.0734886018241324
32,32,1,0.0023690200433498475,0.07344579405900908
32,64,1,0.0022812616534349395,0.07354733420581352
128,1,1,0.7763789494832357,0.10909412020728701
128,8,1,0.10334672246660505,0.1119140897478376
128,16,1,0.06328312555948894,0.1098041988554455
128,32,1,0.06320819400605701,0.1086802709670294
128,64,1,0.07968149866376605,0.10706640425182525
256,1,1,1.5208627310666172,0.16172463243657892
256,8,1,0.2309953732924028,0.15752072767777878
256,16,1,0.14150920781222256,0.16616637056524103
256,32,1,0.12692321430553088,0.15800779516046698
256,64,1,0.13567343625155362,0.16223434968428177
//这之后就是 NO_GDS的版本数据
16,1,1,0.002545124182671857,0.0669030309454795
16,8,1,0.0019030629491513492,0.06784702371234543
16,16,1,0.001840265250644801,0.06727374843293173
16,32,1,0.0019014218102203556,0.06761455974695872
16,64,1,0.0018096131049782221,0.06707491026334236
32,1,1,0.06881920302786478,0.07444235173667349
32,8,1,0.03334357680344,0.07494746475684934
32,16,1,0.014481375857097347,0.07522887136878037
32,32,1,0.029022620945442015,0.07442750581880896
32,64,1,0.032727439229081313,0.07406118148710669
64,1,1,0.2166995769593774,0.08281768240579744
64,8,1,0.11199198118070276,0.08445610651155798
64,16,1,0.10945243370242236,0.08625196247566037
64,32,1,0.11043959710656143,0.08687733440864377
64,64,1,0.12047217531902034,0.08716297149658203
128,1,1,0.5050140562511626,0.09469545455206008
128,8,1,0.28547129176911856,0.10658928326198033
128,16,1,0.26254249754406156,0.10870734850565593
128,32,1,0.2838898159208752,0.10757075037275042
128,64,1,0.28410576638721285,0.11155960673377627
256,1,1,0.9728672070936724,0.16435371745716443
256,8,1,0.6394582661715421,0.16410571878606622
256,16,1,0.6216912486336448,0.1647098497910933
256,32,1,0.527466665614735,0.16012748804959384
256,64,1,0.5931903882460161,0.1670330437746915
512,1,1,1.449585755666097,0.3031895160675049
512,8,1,0.10300703843434651,0.302450696627299
512,16,1,0.05043435096740723,0.310979684193929
512,32,1,0.12604884306589761,0.3085232973098755
512,64,1,0.029302517573038738,0.3504386345545451
16,8,1,0.001837705541973465,0.06779796506729593
32,8,1,0.002212379036880121,0.07384110950842136
64,8,1,0.03922242653079149,0.08838151722419553
64,16,1,0.018595747831391125,0.08515327732737471
64,32,1,0.014173368128334604,0.08459300529666064
128,8,1,0.11984212057931083,0.1103624389285133
128,16,1,0.07285856065295991,0.11134698277428037
128,32,1,0.07127290680294945,0.10703544389633905
256,8,1,0.2403443076393821,0.1632746783169833
256,16,1,0.16203854300759055,0.1646182970567183
256,32,1,0.13531294735995206,0.15835677493702283
//这之后是 单卡单GPU的测试结果 USE_GDS==1 
64,8,1,0.0019158735507872047,0.08426199308255823
16,8,1,0.0015856533784132738,0.06210607227912316
16,16,1,0.001601416514470027,0.06204055353311392
16,32,1,0.001645466290987455,0.06238075146308312
32,8,1,0.0018713158827561598,0.06307995913578913
32,16,1,0.0019297058398907,0.06292341965895433
32,32,1,0.001998016797579252,0.0622215461730957
64,8,1,0.04182710624122385,0.06778494429031127
64,16,1,0.023408157505818986,0.06595647936230949
64,32,1,0.017197362904472397,0.06660939993160384
128,8,1,0.14320781892874904,0.06953486060627555
128,16,1,0.09741955307250527,0.07237645214840001
128,32,1,0.09500883721016548,0.07040545454189291
256,8,1,0.34291671421013625,0.07616885503133138
256,16,1,0.2501517136891683,0.07590363656773287
256,32,1,0.23045509819890939,0.07742531393088546
//这之后是 单卡单GPU的测试结果 USE_GDS==1 imagenet_all的结果
16,1,1,0.04021196138291132,0.11153072402590797
16,1,1,0.03522748038882301,0.10449528694152832
