开始GDS批量测试
GPU设备: 0
基础目录: /mnt/beegfs
======================================
正在测试: 1KB 文件大小
目录路径: /mnt/beegfs/test_dir_1KB_10428_1000
输出文件: output_multi.csv
设置IOSIZE: 32KB = 32768 字节
使用线程数: 1
找到 1000 个文件
预分配文件资源...
资源预分配完成，耗时: 2308 ms
成功分配资源文件数: 1000/1000
开始多线程读操作测试...
完成: file_1323.txt (1 KB, 9.36 ms)
完成: file_139.txt (1 KB, 1.01 ms)
完成: file_10038.txt (1 KB, 20.67 ms)
完成: file_10160.txt (1 KB, 31.49 ms)
完成: file_1084.txt (1 KB, 1.01 ms)
完成: file_10143.txt (1 KB, 19.98 ms)
完成: file_1043.txt (1 KB, 0.75 ms)
完成: file_1351.txt (1 KB, 18.63 ms)
完成: file_1126.txt (1 KB, 18.71 ms)
完成: file_1245.txt (1 KB, 17.18 ms)
完成: file_1505.txt (1 KB, 16.19 ms)
完成: file_10105.txt (1 KB, 14.84 ms)
完成: file_1453.txt (1 KB, 15.22 ms)
完成: file_1418.txt (1 KB, 35.95 ms)
完成: file_1442.txt (1 KB, 10.66 ms)
完成: file_1199.txt (1 KB, 31.99 ms)
完成: file_131.txt (1 KB, 35.86 ms)
完成: file_10240.txt (1 KB, 0.73 ms)
完成: file_1291.txt (1 KB, 10.24 ms)
完成: file_1282.txt (1 KB, 2.37 ms)
完成: file_1010.txt (1 KB, 30.91 ms)
完成: file_1429.txt (1 KB, 9.74 ms)
完成: file_1498.txt (1 KB, 9.82 ms)
完成: file_1163.txt (1 KB, 9.82 ms)
完成: file_1297.txt (1 KB, 26.87 ms)
完成: file_10136.txt (1 KB, 0.50 ms)
完成: file_1250.txt (1 KB, 0.71 ms)
完成: file_1195.txt (1 KB, 9.70 ms)
完成: file_1251.txt (1 KB, 1.20 ms)
完成: file_1230.txt (1 KB, 9.59 ms)
完成: file_10404.txt (1 KB, 23.14 ms)
完成: file_1504.txt (1 KB, 9.15 ms)
完成: file_10058.txt (1 KB, 22.55 ms)
完成: file_10207.txt (1 KB, 41.96 ms)
完成: file_1088.txt (1 KB, 13.69 ms)
完成: file_1172.txt (1 KB, 1.34 ms)
完成: file_1237.txt (1 KB, 1.28 ms)
完成: file_1425.txt (1 KB, 11.54 ms)
完成: file_1020.txt (1 KB, 9.61 ms)
完成: file_1415.txt (1 KB, 0.98 ms)
完成: file_10382.txt (1 KB, 9.17 ms)
完成: file_10022.txt (1 KB, 9.42 ms)
完成: file_10111.txt (1 KB, 0.71 ms)
完成: file_10116.txt (1 KB, 1.26 ms)
完成: file_10033.txt (1 KB, 10.48 ms)
完成: file_1407.txt (1 KB, 10.60 ms)
完成: file_1233.txt (1 KB, 10.61 ms)
完成: file_1188.txt (1 KB, 9.82 ms)
完成: file_10357.txt (1 KB, 10.60 ms)
完成: file_1481.txt (1 KB, 1.12 ms)
完成: file_1078.txt (1 KB, 10.54 ms)
完成: file_10289.txt (1 KB, 20.82 ms)
完成: file_10163.txt (1 KB, 1.03 ms)
完成: file_10260.txt (1 KB, 10.60 ms)
完成: file_10122.txt (1 KB, 10.32 ms)
完成: file_150.txt (1 KB, 20.20 ms)
完成: file_10229.txt (1 KB, 9.95 ms)
完成: file_1285.txt (1 KB, 29.10 ms)
完成: file_1473.txt (1 KB, 9.87 ms)
完成: file_1346.txt (1 KB, 0.91 ms)
完成: file_1167.txt (1 KB, 9.78 ms)
完成: file_10183.txt (1 KB, 0.44 ms)
完成: file_10026.txt (1 KB, 9.45 ms)
完成: file_10345.txt (1 KB, 0.54 ms)
完成: file_10050.txt (1 KB, 25.52 ms)
完成: file_10080.txt (1 KB, 9.92 ms)
完成: file_10201.txt (1 KB, 0.55 ms)
完成: file_1339.txt (1 KB, 9.12 ms)
完成: file_10120.txt (1 KB, 16.31 ms)
完成: file_1174.txt (1 KB, 10.38 ms)
完成: file_10306.txt (1 KB, 32.65 ms)
完成: file_1377.txt (1 KB, 0.38 ms)
完成: file_10350.txt (1 KB, 9.06 ms)
完成: file_10392.txt (1 KB, 0.59 ms)
完成: file_10101.txt (1 KB, 9.88 ms)
完成: file_1268.txt (1 KB, 0.60 ms)
完成: file_1320.txt (1 KB, 18.80 ms)
完成: file_1508.txt (1 KB, 22.88 ms)
完成: file_10343.txt (1 KB, 22.79 ms)
完成: file_1018.txt (1 KB, 19.23 ms)
完成: file_1332.txt (1 KB, 9.34 ms)
完成: file_10214.txt (1 KB, 0.41 ms)
