测试目录,处理文件数,总操作数,总数据量(MB),总耗时(秒),平均带宽(MB/s),平均IOPS,平均延迟(ms)
/mnt/beegfs/test_dir_1KB_10428,10429,10428,10.18,7.62,1.34,1368.70,0.73
/mnt/beegfs/test_dir_512B_10428,10428,10428,5.09,9.35,0.54,1114.83,0.90
/mnt/beegfs/test_dir_1KB_10428,10429,10428,10.18,6.75,1.51,1544.13,0.65
/mnt/beegfs/test_dir_2KB_10428,10428,10428,20.37,6.92,2.94,1507.55,0.66
/mnt/beegfs/test_dir_4KB_10428,10428,10428,40.73,6.27,6.50,1663.11,0.60
/mnt/beegfs/test_dir_8KB_10428,10428,10428,81.47,7.20,11.32,1448.97,0.69
/mnt/beegfs/test_dir_16KB_10428,10428,10428,162.94,12.37,13.17,842.73,1.19
/mnt/beegfs/test_dir_512B_10428,32KB,1549.75,6.73,0.76,10428,10428,5.09,0.65
/mnt/beegfs/test_dir_512B_10428,32KB,1626.77,6.41,0.79,10428,10428,5.09,0.61
/mnt/beegfs/test_dir_512B_10428,32KB,1589.29,6.56,0.78,10428,10428,5.09,0.63
/mnt/beegfs/test_dir_1KB_10428,32KB,1558.83,6.69,1.52,10429,10428,10.18,0.64
/mnt/beegfs/test_dir_2KB_10428,32KB,1572.62,6.63,3.07,10428,10428,20.37,0.64
/mnt/beegfs/test_dir_4KB_10428,32KB,1657.22,6.29,6.47,10428,10428,40.73,0.60
/mnt/beegfs/test_dir_8KB_10428,32KB,1475.44,7.07,11.53,10428,10428,81.47,0.68
/mnt/beegfs/test_dir_16KB_10428,32KB,1486.81,7.01,23.23,10428,10428,162.94,0.67
/mnt/beegfs/test_dir_512B_10428,32KB,1683.14,6.20,0.82,10428,10428,5.09,0.59
/mnt/beegfs/test_dir_1KB_10428,32KB,1652.41,6.31,1.61,10429,10428,10.18,0.61
/mnt/beegfs/test_dir_2KB_10428,32KB,1655.93,6.30,3.23,10428,10428,20.37,0.60
/mnt/beegfs/test_dir_4KB_10428,32KB,1636.11,6.37,6.39,10428,10428,40.73,0.61
/mnt/beegfs/test_dir_8KB_10428,32KB,1467.77,7.10,11.47,10428,10428,81.47,0.68
/mnt/beegfs/test_dir_16KB_10428,32KB,1459.08,7.15,22.80,10428,10428,162.94,0.69
/mnt/beegfs/test_dir_512B_10428,32KB,1612.08,6.47,0.79,10428,10428,5.09,0.62
/mnt/beegfs/test_dir_1KB_10428,32KB,1753.14,5.95,1.71,10429,10428,10.18,0.57
/mnt/beegfs/test_dir_2KB_10428,32KB,1816.46,5.74,3.55,10428,10428,20.37,0.55
/mnt/beegfs/test_dir_4KB_10428,32KB,1798.74,5.80,7.03,10428,10428,40.73,0.56
/mnt/beegfs/test_dir_8KB_10428,32KB,1543.25,6.76,12.06,10428,10428,81.47,0.65
/mnt/beegfs/test_dir_16KB_10428,32KB,1543.38,6.76,24.12,10428,10428,162.94,0.65
/mnt/beegfs/test_dir_512B_10428,32KB,1724.44,6.05,0.84,10428,10428,5.09,0.58
/mnt/beegfs/test_dir_1KB_10428,32KB,1765.09,5.91,1.72,10429,10428,10.18,0.57
