测试目录,IOSIZE,平均IOPS,总耗时(秒),平均带宽(MB/s),处理文件数,总操作数,总数据量(MB),平均延迟(ms)
/mnt/beegfs/test_dir_1MB_1024,32KB,447.91,2.29,447.91,1024,1024,1024.00,2.23
/mnt/beegfs/test_dir_1MB_1024,32KB,449.09,2.28,449.09,1024,1024,1024.00,2.23
/mnt/beegfs/test_dir_1MB_1024,64KB,450.60,2.27,450.60,1024,1024,1024.00,2.22
/mnt/beegfs/test_dir_1MB_1024,128KB,445.85,2.30,445.85,1024,1024,1024.00,2.24
/mnt/beegfs/test_dir_1MB_1024,256KB,441.87,2.32,441.87,1024,1024,1024.00,2.26
/mnt/beegfs/test_dir_1MB_1024,512KB,440.57,2.32,440.57,1024,1024,1024.00,2.27
/mnt/beegfs/test_dir_1MB_1024,512B,458.15,2.24,458.15,1024,1024,1024.00,2.18
/mnt/beegfs/test_dir_1MB_1024,1KB,456.65,2.24,456.65,1024,1024,1024.00,2.19
/mnt/beegfs/test_dir_1MB_1024,2KB,458.30,2.23,458.30,1024,1024,1024.00,2.18
/mnt/beegfs/test_dir_1MB_1024,4KB,457.74,2.24,457.74,1024,1024,1024.00,2.18
/mnt/beegfs/test_dir_1MB_1024,8KB,447.88,2.29,447.88,1024,1024,1024.00,2.23
/mnt/beegfs/test_dir_1MB_1024,16KB,450.48,2.27,450.48,1024,1024,1024.00,2.22
/mnt/beegfs/test_dir_1MB_1024,32KB,451.19,2.27,451.19,1024,1024,1024.00,2.22
/mnt/beegfs/test_dir_1MB_1024,64KB,451.03,2.27,451.03,1024,1024,1024.00,2.22
/mnt/beegfs/test_dir_1MB_1024,128KB,449.05,2.28,449.05,1024,1024,1024.00,2.23
/mnt/beegfs/test_dir_1MB_1024,256KB,445.82,2.30,445.82,1024,1024,1024.00,2.24
/mnt/beegfs/test_dir_1MB_1024,512KB,598.00,1.71,598.00,1024,1024,1024.00,1.67
/mnt/beegfs/test_dir_1MB_1024,512B,1679.09,0.61,1679.09,1024,1024,1024.00,0.60
/mnt/beegfs/test_dir_1MB_1024,1KB,1105.95,0.93,1105.95,1024,1024,1024.00,0.90
/mnt/beegfs/test_dir_1MB_1024,2KB,437.60,2.34,437.60,1024,1024,1024.00,2.29
/mnt/beegfs/test_dir_1MB_1024,4KB,455.56,2.25,455.56,1024,1024,1024.00,2.20
/mnt/beegfs/test_dir_1MB_1024,8KB,451.01,2.27,451.01,1024,1024,1024.00,2.22
/mnt/beegfs/test_dir_1MB_1024,16KB,455.83,2.25,455.83,1024,1024,1024.00,2.19
/mnt/beegfs/test_dir_1MB_1024,32KB,452.68,2.26,452.68,1024,1024,1024.00,2.21
/mnt/beegfs/test_dir_1MB_1024,64KB,451.59,2.27,451.59,1024,1024,1024.00,2.21
/mnt/beegfs/test_dir_1MB_1024,128KB,455.11,2.25,455.11,1024,1024,1024.00,2.20
/mnt/beegfs/test_dir_1MB_1024,256KB,452.61,2.26,452.61,1024,1024,1024.00,2.21
/mnt/beegfs/test_dir_1MB_1024,512KB,439.69,2.33,439.69,1024,1024,1024.00,2.27
/mnt/beegfs/test_dir_1MB_1024,512B,461.98,2.22,461.98,1024,1024,1024.00,2.16
/mnt/beegfs/test_dir_1MB_1024,1KB,460.47,2.22,460.47,1024,1024,1024.00,2.17
/mnt/beegfs/test_dir_1MB_1024,2KB,453.01,2.26,453.01,1024,1024,1024.00,2.21
/mnt/beegfs/test_dir_1MB_1024,4KB,459.32,2.23,459.32,1024,1024,1024.00,2.18
/mnt/beegfs/test_dir_1MB_1024,8KB,454.15,2.25,454.15,1024,1024,1024.00,2.20
/mnt/beegfs/test_dir_1MB_1024,16KB,456.17,2.24,456.17,1024,1024,1024.00,2.19
/mnt/beegfs/test_dir_1MB_1024,32KB,458.16,2.24,458.16,1024,1024,1024.00,2.18
/mnt/beegfs/test_dir_1MB_1024,64KB,454.69,2.25,454.69,1024,1024,1024.00,2.20
/mnt/beegfs/test_dir_1MB_1024,128KB,450.90,2.27,450.90,1024,1024,1024.00,2.22
/mnt/beegfs/test_dir_1MB_1024,256KB,451.80,2.27,451.80,1024,1024,1024.00,2.21
/mnt/beegfs/test_dir_1MB_1024,512KB,441.35,2.32,441.35,1024,1024,1024.00,2.27
/mnt/beegfs/test_dir_1MB_1024,512B,459.01,2.23,459.01,1024,1024,1024.00,2.18
/mnt/beegfs/test_dir_1MB_1024,1KB,456.62,2.24,456.62,1024,1024,1024.00,2.19
/mnt/beegfs/test_dir_1MB_1024,2KB,454.02,2.26,454.02,1024,1024,1024.00,2.20
/mnt/beegfs/test_dir_1MB_1024,4KB,462.75,2.21,462.75,1024,1024,1024.00,2.16
/mnt/beegfs/test_dir_1MB_1024,8KB,451.80,2.27,451.80,1024,1024,1024.00,2.21
/mnt/beegfs/test_dir_1MB_1024,16KB,459.24,2.23,459.24,1024,1024,1024.00,2.18
/mnt/beegfs/test_dir_1MB_1024,32KB,458.01,2.24,458.01,1024,1024,1024.00,2.18
/mnt/beegfs/test_dir_1MB_1024,64KB,450.18,2.27,450.18,1024,1024,1024.00,2.22
/mnt/beegfs/test_dir_1MB_1024,128KB,455.13,2.25,455.13,1024,1024,1024.00,2.20
/mnt/beegfs/test_dir_1MB_1024,256KB,450.74,2.27,450.74,1024,1024,1024.00,2.22
/mnt/beegfs/test_dir_1MB_1024,512KB,441.10,2.32,441.10,1024,1024,1024.00,2.27
/mnt/beegfs/test_dir_1MB_1024,512B,459.69,2.23,459.69,1024,1024,1024.00,2.18
/mnt/beegfs/test_dir_1MB_1024,1KB,458.19,2.23,458.19,1024,1024,1024.00,2.18
/mnt/beegfs/test_dir_1MB_1024,2KB,451.41,2.27,451.41,1024,1024,1024.00,2.22
/mnt/beegfs/test_dir_1MB_1024,4KB,450.93,2.27,450.93,1024,1024,1024.00,2.22
/mnt/beegfs/test_dir_1MB_1024,8KB,456.90,2.24,456.90,1024,1024,1024.00,2.19
/mnt/beegfs/test_dir_1MB_1024,16KB,459.93,2.23,459.93,1024,1024,1024.00,2.17
/mnt/beegfs/test_dir_1MB_1024,32KB,460.08,2.23,460.08,1024,1024,1024.00,2.17
/mnt/beegfs/test_dir_1MB_1024,64KB,449.08,2.28,449.08,1024,1024,1024.00,2.23
/mnt/beegfs/test_dir_1MB_1024,128KB,453.32,2.26,453.32,1024,1024,1024.00,2.21
/mnt/beegfs/test_dir_1MB_1024,256KB,446.32,2.29,446.32,1024,1024,1024.00,2.24
