测试目录,线程数,IOSIZE,平均IOPS,总耗时(秒),平均带宽(MB/s),处理文件数,总操作数,总数据量(MB),平均延迟(ms)
/mnt/beegfs/test_dir_512B_10428,1,32KB,1234.81,8.45,0.60,10428,10428,5.09,0.72
/mnt/beegfs/test_dir_1KB_10428,1,32KB,1342.43,7.77,1.31,10429,10428,10.18,0.66
/mnt/beegfs/test_dir_2KB_10428,1,32KB,1295.73,8.05,2.53,10428,10428,20.37,0.68
/mnt/beegfs/test_dir_4KB_10428,1,32KB,1334.53,7.81,5.21,10428,10428,40.73,0.66
/mnt/beegfs/test_dir_8KB_10428,1,32KB,1168.80,8.92,9.13,10428,10428,81.47,0.77
/mnt/beegfs/test_dir_16KB_10428,1,32KB,1520.78,6.86,23.76,10428,10428,162.94,0.59
/mnt/beegfs/test_dir_512B_10428,2,32KB,2451.92,4.25,1.20,10428,10428,5.09,0.69
/mnt/beegfs/test_dir_1KB_10428,2,32KB,2734.14,3.81,2.67,10429,10428,10.18,0.62
/mnt/beegfs/test_dir_2KB_10428,2,32KB,2384.09,4.37,4.66,10428,10428,20.37,0.71
/mnt/beegfs/test_dir_4KB_10428,2,32KB,2261.55,4.61,8.83,10428,10428,40.73,0.75
/mnt/beegfs/test_dir_8KB_10428,2,32KB,2336.54,4.46,18.25,10428,10428,81.47,0.73
/mnt/beegfs/test_dir_16KB_10428,2,32KB,2226.30,4.68,34.79,10428,10428,162.94,0.78
/mnt/beegfs/test_dir_512B_10428,4,32KB,5052.33,2.06,2.47,10428,10428,5.09,0.63
/mnt/beegfs/test_dir_1KB_10428,4,32KB,4528.01,2.30,4.42,10429,10428,10.18,0.71
/mnt/beegfs/test_dir_2KB_10428,4,32KB,4235.58,2.46,8.27,10428,10428,20.37,0.76
/mnt/beegfs/test_dir_4KB_10428,4,32KB,4272.02,2.44,16.69,10428,10428,40.73,0.75
/mnt/beegfs/test_dir_8KB_10428,4,32KB,3895.41,2.68,30.43,10428,10428,81.47,0.84
/mnt/beegfs/test_dir_16KB_10428,4,32KB,4171.20,2.50,65.17,10428,10428,162.94,0.79
/mnt/beegfs/test_dir_512B_10428,8,32KB,6170.41,1.69,3.01,10428,10428,5.09,0.94
/mnt/beegfs/test_dir_1KB_10428,8,32KB,3722.96,2.80,3.64,10429,10428,10.18,1.22
/mnt/beegfs/test_dir_2KB_10428,8,32KB,6745.15,1.55,13.17,10428,10428,20.37,0.85
/mnt/beegfs/test_dir_4KB_10428,8,32KB,7628.38,1.37,29.80,10428,10428,40.73,0.73
/mnt/beegfs/test_dir_8KB_10428,8,32KB,5645.91,1.85,44.11,10428,10428,81.47,1.03
/mnt/beegfs/test_dir_16KB_10428,8,32KB,5796.55,1.80,90.57,10428,10428,162.94,1.04
/mnt/beegfs/test_dir_512B_10428,16,32KB,5419.96,1.92,2.65,10428,10428,5.09,1.55
/mnt/beegfs/test_dir_1KB_10428,16,32KB,5456.83,1.91,5.33,10429,10428,10.18,1.63
/mnt/beegfs/test_dir_2KB_10428,16,32KB,5576.47,1.87,10.89,10428,10428,20.37,1.54
/mnt/beegfs/test_dir_4KB_10428,16,32KB,5799.78,1.80,22.66,10428,10428,40.73,1.43
/mnt/beegfs/test_dir_8KB_10428,16,32KB,5549.76,1.88,43.36,10428,10428,81.47,1.49
/mnt/beegfs/test_dir_16KB_10428,16,32KB,5378.03,1.94,84.03,10428,10428,162.94,1.65
/mnt/beegfs/test_dir_512B_10428,32,32KB,5358.68,1.95,2.62,10428,10428,5.09,2.61
/mnt/beegfs/test_dir_1KB_10428,32,32KB,6181.39,1.69,6.04,10429,10428,10.18,2.45
/mnt/beegfs/test_dir_2KB_10428,32,32KB,5386.36,1.94,10.52,10428,10428,20.37,2.70
/mnt/beegfs/test_dir_4KB_10428,32,32KB,5064.59,2.06,19.78,10428,10428,40.73,2.84
/mnt/beegfs/test_dir_8KB_10428,32,32KB,5129.37,2.03,40.07,10428,10428,81.47,2.79
/mnt/beegfs/test_dir_16KB_10428,32,32KB,5030.39,2.07,78.60,10428,10428,162.94,3.02
/mnt/beegfs/test_dir_512B_10428,64,32KB,4975.19,2.10,2.43,10428,10428,5.09,5.25
/mnt/beegfs/test_dir_1KB_10428,64,32KB,5096.77,2.05,4.98,10429,10428,10.18,4.91
/mnt/beegfs/test_dir_2KB_10428,64,32KB,4774.73,2.18,9.33,10428,10428,20.37,4.95
/mnt/beegfs/test_dir_4KB_10428,64,32KB,5111.76,2.04,19.97,10428,10428,40.73,5.13
/mnt/beegfs/test_dir_8KB_10428,64,32KB,5032.82,2.07,39.32,10428,10428,81.47,5.20
/mnt/beegfs/test_dir_16KB_10428,64,32KB,5232.31,1.99,81.75,10428,10428,162.94,4.94
/mnt/beegfs/test_dir_512B_10428,128,32KB,5630.67,1.85,2.75,10428,10428,5.09,8.31
/mnt/beegfs/test_dir_1KB_10428,128,32KB,5394.72,1.93,5.27,10429,10428,10.18,8.83
/mnt/beegfs/test_dir_2KB_10428,128,32KB,4902.68,2.13,9.58,10428,10428,20.37,10.00
/mnt/beegfs/test_dir_4KB_10428,128,32KB,5109.26,2.04,19.96,10428,10428,40.73,9.58
/mnt/beegfs/test_dir_8KB_10428,128,32KB,5152.17,2.02,40.25,10428,10428,81.47,9.71
/mnt/beegfs/test_dir_16KB_10428,128,32KB,5062.14,2.06,79.10,10428,10428,162.94,9.83
/mnt/beegfs/test_dir_512B_10428,256,32KB,5079.40,2.05,2.48,10428,10428,5.09,18.62
/mnt/beegfs/test_dir_1KB_10428,256,32KB,4942.18,2.11,4.83,10429,10428,10.18,19.01
