测试目录,线程数,IOSIZE,平均IOPS,总耗时(秒),平均带宽(MB/s),处理文件数,总操作数,总数据量(MB),平均延迟(ms)
/mnt/beegfs/test_dir_16KB_10428,4,32KB,3779.17,0.24,59.05,907,907,14.17,0.87
/mnt/beegfs/test_dir_16KB_10428,4,32KB,4084.61,2.55,63.82,10428,10428,162.94,0.78
/mnt/beegfs/test_dir_16KB_10428,4,32KB,3449.55,3.02,53.90,10428,10428,162.94,0.96
/mnt/beegfs/test_dir_16KB_10428,4,32KB,4100.67,2.54,64.07,10428,10428,162.94,0.81
/mnt/beegfs/test_dir_512B_10428,4,32KB,3969.55,2.63,1.94,10428,10428,5.09,0.81
/mnt/beegfs/test_dir_1KB_10428,4,32KB,3921.78,2.66,3.83,10429,10428,10.18,0.83
/mnt/beegfs/test_dir_2KB_10428,4,32KB,2079.78,5.01,4.06,10428,10428,20.37,0.80
/mnt/beegfs/test_dir_4KB_10428,4,32KB,2149.66,4.85,8.40,10428,10428,40.73,0.83
/mnt/beegfs/test_dir_8KB_10428,4,32KB,1449.54,7.19,11.32,10428,10428,81.47,0.85
/mnt/beegfs/test_dir_16KB_10428,4,32KB,1682.48,6.20,26.29,10428,10428,162.94,0.84
/mnt/beegfs/test_dir_512B_10428,4,32KB,3373.67,3.09,1.65,10428,10428,5.09,0.81
/mnt/beegfs/test_dir_1KB_10428,4,32KB,3836.64,2.72,3.75,10429,10428,10.18,0.81
/mnt/beegfs/test_dir_2KB_10428,4,32KB,3705.76,2.81,7.24,10428,10428,20.37,0.83
/mnt/beegfs/test_dir_4KB_10428,4,32KB,4056.01,2.57,15.84,10428,10428,40.73,0.75
/mnt/beegfs/test_dir_8KB_10428,4,32KB,3717.65,2.81,29.04,10428,10428,81.47,0.88
/mnt/beegfs/test_dir_16KB_10428,4,32KB,3425.76,3.04,53.53,10428,10428,162.94,0.87
