测试目录,线程数,IOSIZE,平均IOPS,总耗时(秒),平均带宽(MB/s),处理文件数,总操作数,总数据量(MB),平均延迟(ms)
/mnt/beegfs/test_dir_1MB_1024,1,32KB,1379.86,0.69,43.12,959,959,29.97,0.64
/mnt/beegfs/test_dir_1MB_1024,1,64KB,1186.88,0.81,74.18,959,959,59.94,0.74
/mnt/beegfs/test_dir_1MB_1024,1,128KB,1024.57,0.94,128.07,959,959,119.88,0.87
/mnt/beegfs/test_dir_1MB_1024,1,256KB,916.83,1.05,229.21,959,959,239.75,0.97
/mnt/beegfs/test_dir_1MB_1024,1,512KB,791.91,1.21,395.95,959,959,479.50,1.14
/mnt/beegfs/test_dir_1MB_1024,1,1MB,448.97,2.14,448.97,959,959,959.00,2.10
/mnt/beegfs/test_dir_1MB_1024,2,32KB,2036.09,0.47,63.63,959,959,29.97,0.85
/mnt/beegfs/test_dir_1MB_1024,2,64KB,1945.23,0.49,121.58,959,959,59.94,0.88
/mnt/beegfs/test_dir_1MB_1024,2,128KB,1953.16,0.49,244.14,959,959,119.88,0.89
/mnt/beegfs/test_dir_1MB_1024,2,256KB,1766.11,0.54,441.53,959,959,239.75,1.00
/mnt/beegfs/test_dir_1MB_1024,2,512KB,1561.89,0.61,780.94,959,959,479.50,1.14
/mnt/beegfs/test_dir_1MB_1024,2,1MB,935.61,1.02,935.61,959,959,959.00,2.01
/mnt/beegfs/test_dir_1MB_1024,4,32KB,3388.69,0.28,105.90,959,959,29.97,1.00
/mnt/beegfs/test_dir_1MB_1024,4,64KB,3660.31,0.26,228.77,959,959,59.94,0.91
/mnt/beegfs/test_dir_1MB_1024,4,128KB,3474.64,0.28,434.33,959,959,119.88,0.96
/mnt/beegfs/test_dir_1MB_1024,4,256KB,3295.53,0.29,823.88,959,959,239.75,1.03
/mnt/beegfs/test_dir_1MB_1024,4,512KB,2978.26,0.32,1489.13,959,959,479.50,1.18
/mnt/beegfs/test_dir_1MB_1024,4,1MB,1802.63,0.53,1802.63,959,959,959.00,2.07
/mnt/beegfs/test_dir_1MB_1024,8,32KB,5298.34,0.18,165.57,959,959,29.97,1.24
/mnt/beegfs/test_dir_1MB_1024,8,64KB,4892.86,0.20,305.80,959,959,59.94,1.20
/mnt/beegfs/test_dir_1MB_1024,8,128KB,4678.05,0.20,584.76,959,959,119.88,1.30
/mnt/beegfs/test_dir_1MB_1024,8,256KB,4819.10,0.20,1204.77,959,959,239.75,1.27
/mnt/beegfs/test_dir_1MB_1024,8,512KB,4632.85,0.21,2316.43,959,959,479.50,1.40
/mnt/beegfs/test_dir_1MB_1024,8,1MB,3133.99,0.31,3133.99,959,959,959.00,2.33
/mnt/beegfs/test_dir_1MB_1024,16,32KB,4399.08,0.22,137.47,959,959,29.97,2.21
/mnt/beegfs/test_dir_1MB_1024,16,64KB,4502.35,0.21,281.40,959,959,59.94,1.94
/mnt/beegfs/test_dir_1MB_1024,16,128KB,4747.52,0.20,593.44,959,959,119.88,1.87
/mnt/beegfs/test_dir_1MB_1024,16,256KB,4700.98,0.20,1175.25,959,959,239.75,2.03
/mnt/beegfs/test_dir_1MB_1024,16,512KB,4994.79,0.19,2497.40,959,959,479.50,2.00
/mnt/beegfs/test_dir_1MB_1024,16,1MB,4319.82,0.22,4319.82,959,959,959.00,3.23
/mnt/beegfs/test_dir_1MB_1024,32,32KB,4133.62,0.23,129.18,959,959,29.97,3.67
/mnt/beegfs/test_dir_1MB_1024,32,64KB,4339.37,0.22,271.21,959,959,59.94,3.35
/mnt/beegfs/test_dir_1MB_1024,32,128KB,4319.82,0.22,539.98,959,959,119.88,3.64
/mnt/beegfs/test_dir_1MB_1024,32,256KB,4439.81,0.22,1109.95,959,959,239.75,3.13
/mnt/beegfs/test_dir_1MB_1024,32,512KB,4379.00,0.22,2189.50,959,959,479.50,3.49
/mnt/beegfs/test_dir_1MB_1024,32,1MB,4063.56,0.24,4063.56,959,959,959.00,6.43
/mnt/beegfs/test_dir_1MB_1024,64,32KB,4224.67,0.23,132.02,959,959,29.97,5.84
/mnt/beegfs/test_dir_1MB_1024,64,64KB,4379.00,0.22,273.69,959,959,59.94,6.01
/mnt/beegfs/test_dir_1MB_1024,64,128KB,3946.50,0.24,493.31,959,959,119.88,6.45
/mnt/beegfs/test_dir_1MB_1024,64,256KB,4523.58,0.21,1130.90,959,959,239.75,5.56
/mnt/beegfs/test_dir_1MB_1024,64,512KB,4029.41,0.24,2014.71,959,959,479.50,6.38
/mnt/beegfs/test_dir_1MB_1024,64,1MB,3754.94,0.25,3754.94,950,950,950.00,10.14
/mnt/beegfs/test_dir_1MB_1024,128,32KB,3882.59,0.25,121.33,959,959,29.97,11.93
/mnt/beegfs/test_dir_1MB_1024,128,64KB,3820.72,0.25,238.79,959,959,59.94,12.62
/mnt/beegfs/test_dir_1MB_1024,128,128KB,3898.37,0.25,487.30,959,959,119.88,12.13
/mnt/beegfs/test_dir_1MB_1024,128,256KB,3437.28,0.28,859.32,959,959,239.75,14.37
/mnt/beegfs/test_dir_1MB_1024,128,512KB,3866.94,0.25,1933.47,959,959,479.50,12.98
/mnt/beegfs/test_dir_1MB_1024,128,1MB,3108.55,0.30,3108.55,945,945,945.00,17.75
/mnt/beegfs/test_dir_1MB_1024,256,32KB,2782.35,0.34,86.95,946,946,29.56,29.35
/mnt/beegfs/test_dir_1MB_1024,256,64KB,3760.78,0.26,235.05,959,959,59.94,20.32
/mnt/beegfs/test_dir_1MB_1024,256,128KB,2867.07,0.33,358.38,949,949,118.62,30.90
/mnt/beegfs/test_dir_1MB_1024,256,256KB,3318.34,0.29,829.58,959,959,239.75,26.59
/mnt/beegfs/test_dir_1MB_1024,256,512KB,3228.96,0.30,1614.48,959,959,479.50,28.67
/mnt/beegfs/test_dir_1MB_1024,256,1MB,2974.68,0.32,2974.68,940,940,940.00,31.30
/mnt/beegfs/test_dir_1MB_1024,512,32KB,2635.36,0.36,82.35,954,954,29.81,61.95
/mnt/beegfs/test_dir_1MB_1024,512,64KB,2661.06,0.36,166.32,950,950,59.38,60.19
/mnt/beegfs/test_dir_1MB_1024,512,128KB,2744.25,0.35,343.03,955,955,119.38,57.08
/mnt/beegfs/test_dir_1MB_1024,512,256KB,2374.68,0.40,593.67,938,938,234.50,70.04
/mnt/beegfs/test_dir_1MB_1024,512,512KB,2666.67,0.36,1333.33,952,952,476.00,60.24
/mnt/beegfs/test_dir_1MB_1024,512,1MB,2304.24,0.40,2304.24,924,924,924.00,70.04
/mnt/beegfs/test_dir_1MB_1024,1024,32KB,2373.76,0.40,74.18,959,959,29.97,95.66
/mnt/beegfs/test_dir_1MB_1024,1024,64KB,1700.00,0.53,106.25,901,901,56.31,127.69
/mnt/beegfs/test_dir_1MB_1024,1024,128KB,2414.14,0.40,301.77,956,956,119.50,83.41
/mnt/beegfs/test_dir_1MB_1024,1024,256KB,2267.30,0.42,566.83,950,950,237.50,95.80
/mnt/beegfs/test_dir_1MB_1024,1024,512KB,1939.46,0.48,969.73,929,929,464.50,126.65
/mnt/beegfs/test_dir_1MB_1024,1024,1MB,1761.81,0.51,1761.81,895,895,895.00,130.44
