测试目录,线程数,IOSIZE,平均IOPS,总耗时(秒),平均带宽(MB/s),处理文件数,总操作数,总数据量(MB),平均延迟(ms)
/mnt/beegfs/test_dir_1MB_1024,1,512B,937.15,2237.79,0.46,1024,2097152,1024.00,0.54
/mnt/beegfs/test_dir_1MB_1024,1,1KB,1506.47,696.05,1.47,1024,1048576,1024.00,0.64
/mnt/beegfs/test_dir_1MB_1024,1,2KB,1512.53,346.63,2.95,1024,524288,1024.00,0.64
/mnt/beegfs/test_dir_1MB_1024,1,4KB,1575.78,166.36,6.16,1024,262144,1024.00,0.61
/mnt/beegfs/test_dir_1MB_1024,1,8KB,1510.59,86.77,11.80,1024,131072,1024.00,0.64
/mnt/beegfs/test_dir_1MB_1024,1,16KB,1531.90,42.78,23.94,1024,65536,1024.00,0.63
/mnt/beegfs/test_dir_1MB_1024,1,32KB,1471.99,22.26,46.00,1024,32768,1024.00,0.66
/mnt/beegfs/test_dir_1MB_1024,1,64KB,1442.63,11.36,90.16,1024,16384,1024.00,0.67
/mnt/beegfs/test_dir_1MB_1024,1,128KB,1443.78,5.67,180.47,1024,8192,1024.00,0.66
/mnt/beegfs/test_dir_1MB_1024,1,256KB,1132.74,3.62,283.19,1024,4096,1024.00,0.85
/mnt/beegfs/test_dir_1MB_1024,1,512KB,871.12,2.35,435.56,1024,2048,1024.00,1.09
/mnt/beegfs/test_dir_1MB_1024,1,1MB,479.85,2.13,479.85,1024,1024,1024.00,2.00
/mnt/beegfs/test_dir_1MB_1024,2,512B,3021.97,693.97,1.48,1024,2097152,1024.00,0.63
/mnt/beegfs/test_dir_1MB_1024,2,1KB,2990.57,350.63,2.92,1024,1048576,1024.00,0.63
/mnt/beegfs/test_dir_1MB_1024,2,2KB,2812.28,186.43,5.49,1024,524288,1024.00,0.68
/mnt/beegfs/test_dir_1MB_1024,2,4KB,2831.05,92.60,11.06,1024,262144,1024.00,0.67
