测试目录,线程数,IOSIZE,平均IOPS,总耗时(秒),平均带宽(MB/s),处理文件数,总操作数,总数据量(MB),平均延迟(ms)
/mnt/nvme0/test_dir_1KB_10428,1,32KB,4553.71,2.29,4.45,10428,10428,10.18,0.16
/mnt/nvme0/test_dir_1KB_10428,2,32KB,15047.62,0.69,14.69,10428,10428,10.18,0.03
/mnt/nvme0/test_dir_1KB_10428,4,32KB,17555.56,0.59,17.14,10428,10428,10.18,0.06
/mnt/nvme0/test_dir_1KB_10428,8,32KB,15113.04,0.69,14.76,10428,10428,10.18,0.11
/mnt/nvme0/test_dir_1KB_10428,16,32KB,9277.58,1.12,9.06,10428,10428,10.18,0.49
/mnt/nvme0/test_dir_1KB_10428,32,32KB,8596.87,1.21,8.40,10428,10428,10.18,1.05
/mnt/nvme0/test_dir_1KB_10428,64,32KB,7984.69,1.31,7.80,10428,10428,10.18,2.25
/mnt/nvme0/test_dir_1KB_10428,128,32KB,7606.13,1.37,7.43,10428,10428,10.18,4.61
/mnt/nvme0/test_dir_1KB_10428,256,32KB,8071.21,1.29,7.88,10428,10428,10.18,8.73
/mnt/nvme0/test_dir_1KB_10428,512,32KB,7443.25,1.40,7.27,10428,10428,10.18,17.64
/mnt/nvme0/test_dir_1KB_10428,1024,32KB,7098.71,1.47,6.93,10428,10428,10.18,34.63
/mnt/nvme0/test_dir_1KB_10428,1,32KB,18823.10,0.55,18.38,10428,10428,10.18,0.02
/mnt/nvme0/test_dir_1KB_10428,2,32KB,22282.05,0.47,21.76,10428,10428,10.18,0.03
/mnt/nvme0/test_dir_1KB_10428,4,32KB,13084.07,0.80,12.78,10428,10428,10.18,0.06
/mnt/nvme0/test_dir_1KB_10428,8,32KB,14982.76,0.70,14.63,10428,10428,10.18,0.12
/mnt/nvme0/test_dir_1KB_10428,16,32KB,9445.65,1.10,9.22,10428,10428,10.18,0.48
/mnt/nvme0/test_dir_1KB_10428,32,32KB,8561.58,1.22,8.36,10428,10428,10.18,1.04
/mnt/nvme0/test_dir_1KB_10428,64,32KB,8867.35,1.18,8.66,10428,10428,10.18,1.94
/mnt/nvme0/test_dir_1KB_10428,128,32KB,8276.19,1.26,8.08,10428,10428,10.18,4.19
/mnt/nvme0/test_dir_1KB_10428,256,32KB,8755.67,1.19,8.55,10428,10428,10.18,7.36
/mnt/nvme0/test_dir_1KB_10428,512,32KB,7805.39,1.34,7.62,10428,10428,10.18,16.36
/mnt/nvme0/test_dir_1KB_10428,1024,32KB,7645.16,1.36,7.47,10428,10428,10.18,31.68
