测试目录,线程数,IOSIZE,平均IOPS,总耗时(秒),平均带宽(MB/s),处理文件数,总操作数,总数据量(MB),平均延迟(ms)
/mnt/beegfs/test_dir_512B_10428,1,32KB,8.35,144.08,0.00,1206,1203,0.59,119.77
/mnt/beegfs/test_dir_512B_10428,2,32KB,10.56,102.53,0.01,1083,1083,0.53,94.67
/mnt/beegfs/test_dir_512B_10428,4,32KB,7.05,187.20,0.00,1319,1319,0.64,141.92
/mnt/beegfs/test_dir_512B_10428,8,32KB,9.63,109.28,0.00,1052,1052,0.51,103.88
/mnt/beegfs/test_dir_512B_10428,1,32KB,10.73,93.57,0.01,1004,1004,0.49,93.20
/mnt/beegfs/test_dir_512B_10428,1,32KB,20.10,55.11,0.01,1108,1108,0.54,49.74
/mnt/beegfs/test_dir_512B_10428,2,32KB,15.33,75.55,0.01,1158,1158,0.57,65.24
/mnt/beegfs/test_dir_512B_10428,4,32KB,10.14,102.08,0.00,1035,1035,0.51,98.63
/mnt/beegfs/test_dir_512B_10428,8,32KB,14.78,70.32,0.01,1039,1039,0.51,67.68
/mnt/beegfs/test_dir_512B_10428,1,32KB,14.69,85.46,0.01,1255,1255,0.61,68.10
/mnt/beegfs/test_dir_512B_10428,2,32KB,11.43,102.33,0.01,1170,1170,0.57,87.46
/mnt/beegfs/test_dir_512B_10428,4,32KB,29.31,45.00,0.01,1319,1319,0.64,34.12
/mnt/beegfs/test_dir_512B_10428,8,32KB,7.90,145.87,0.00,1153,1153,0.56,126.52
/mnt/beegfs/test_dir_512B_10428,2,32KB,13.62,81.08,0.01,1104,1104,0.54,73.44
/mnt/beegfs/test_dir_512B_10428,1,32KB,12.72,92.38,0.01,1175,1175,0.57,78.62
/mnt/beegfs/test_dir_512B_10428,4,32KB,17.15,61.53,0.01,1055,1055,0.52,58.33
/mnt/beegfs/test_dir_512B_10428,8,32KB,7.19,178.65,0.00,1284,1284,0.63,139.14
/mnt/beegfs/test_dir_512B_10428,16,32KB,14.51,72.38,0.01,1050,1050,0.51,68.94
/mnt/beegfs/test_dir_512B_10428,16,32KB,43.19,20.93,0.02,907,904,0.44,23.15
/mnt/beegfs/test_dir_512B_10428,1,32KB,22.97,39.48,0.01,907,907,0.44,43.53
/home/oem/xyp/imagenet_code/gdsio/163test/data/test_dir_1KB_10428,1,32KB,280.75,0.02,0.27,5,5,0.00,3.56
/home/oem/xyp/imagenet_code/gdsio/163test/data/test_dir_1KB_10428_all,1,32KB,106.28,98.12,0.10,10429,10428,10.18,9.41
