测试目录,线程数,IOSIZE,平均IOPS,总耗时(秒),平均带宽(MB/s),处理文件数,总操作数,总数据量(MB),平均延迟(ms)
/mnt/beegfs/test_dir_1KB_10428,1,32KB,9505.93,1.10,9.28,10429,10428,10.18,2.60

/mnt/beegfs/test_dir_1KB_10428,2,32KB,10036.57,1.04,9.80,10429,10428,10.18,3.82
/mnt/beegfs/test_dir_1KB_10428,4,32KB,5479.77,1.90,5.35,10429,10428,10.18,146.43
/mnt/beegfs/test_dir_1KB_10428,8,32KB,9471.39,1.10,9.25,10429,10428,10.18,2.49
/mnt/beegfs/test_dir_1KB_10428,16,32KB,4932.83,2.11,4.82,10429,10428,10.18,214.42
/mnt/beegfs/test_dir_1KB_10428,32,32KB,11371.86,0.92,11.11,10429,10428,10.18,1.49
/mnt/beegfs/test_dir_1KB_10428,64,32KB,9646.62,1.08,9.42,10429,10428,10.18,2.89
/mnt/beegfs/test_dir_1KB_10428,128,32KB,9566.97,1.09,9.34,10429,10428,10.18,3.20
/mnt/beegfs/test_dir_1KB_10428,256,32KB,12921.93,0.81,12.62,10429,10428,10.18,3.48
/mnt/beegfs/test_dir_1KB_10428,512,32KB,4968.08,2.10,4.85,10429,10428,10.18,192.88
/mnt/beegfs/test_dir_4KB_10428,2,32KB,12503.60,0.83,48.84,10428,10428,40.73,1.68
/mnt/beegfs/test_dir_16KB_10428,2,32KB,8912.82,1.17,139.26,10428,10428,162.94,2.25
/mnt/beegfs/test_dir_4KB_10428,4,32KB,9791.55,1.06,38.25,10428,10428,40.73,2.01
/mnt/beegfs/test_dir_16KB_10428,4,32KB,9736.69,1.07,152.14,10428,10428,162.94,1.93
/mnt/beegfs/test_dir_4KB_10428,8,32KB,13578.12,0.77,53.04,10428,10428,40.73,1.99
/mnt/beegfs/test_dir_1KB_10428,1,32KB,0.00,7.15,0.00,10429,10429,325.91,0.00
/mnt/beegfs/test_dir_1KB_10428,2,32KB,0.00,6.89,0.00,10429,10429,325.91,0.00
/mnt/beegfs/test_dir_1KB_10428,4,32KB,0.00,6.48,0.00,10429,10429,325.91,0.00
/mnt/beegfs/test_dir_1KB_10428,8,32KB,0.00,7.01,0.00,10429,10429,325.91,0.00
/mnt/beegfs/test_dir_1KB_10428,16,32KB,0.00,7.00,0.00,10429,10429,325.91,0.00
/mnt/beegfs/test_dir_1KB_10428,32,32KB,0.00,6.39,0.00,10429,10429,325.91,0.00
/mnt/beegfs/test_dir_1KB_10428,64,32KB,0.00,6.62,0.00,10429,10429,325.91,0.00
/mnt/beegfs/test_dir_1KB_10428,128,32KB,0.00,6.99,0.00,10429,10429,325.91,0.00
/mnt/beegfs/test_dir_1KB_10428,256,32KB,0.00,6.80,0.00,10429,10429,325.91,0.00
/mnt/beegfs/test_dir_1KB_10428,512,32KB,0.00,6.56,0.00,10429,10429,325.91,0.00
/mnt/beegfs/test_dir_4KB_10428,1,32KB,0.00,7.03,0.00,10428,10428,325.88,0.00
/mnt/beegfs/test_dir_4KB_10428,2,32KB,0.00,6.96,0.00,10428,10428,325.88,0.00
/mnt/beegfs/test_dir_4KB_10428,4,32KB,0.00,6.76,0.00,10428,10428,325.88,0.00
/mnt/beegfs/test_dir_4KB_10428,8,32KB,0.00,6.58,0.00,10428,10428,325.88,0.00
/mnt/beegfs/test_dir_4KB_10428,16,32KB,0.00,6.53,0.00,10428,10428,325.88,0.00
/mnt/beegfs/test_dir_4KB_10428,32,32KB,0.00,6.91,0.00,10428,10428,325.88,0.00
/mnt/beegfs/test_dir_4KB_10428,64,32KB,0.00,6.88,0.00,10428,10428,325.88,0.00
/mnt/beegfs/test_dir_4KB_10428,128,32KB,0.00,6.66,0.00,10428,10428,325.88,0.00
/mnt/beegfs/test_dir_4KB_10428,256,32KB,0.00,6.32,0.00,10428,10428,325.88,0.00
/mnt/beegfs/test_dir_4KB_10428,512,32KB,0.00,6.39,0.00,10428,10428,325.88,0.00


// tmp2-------------------
/mnt/beegfs/test_dir_1KB_10428,1,32KB,1566.15,6.66,48.94,10429,10429,325.91,0.00
/mnt/beegfs/test_dir_1KB_10428,2,32KB,1588.09,6.57,49.63,10429,10429,325.91,0.00
/mnt/beegfs/test_dir_1KB_10428,4,32KB,1511.89,6.90,47.25,10429,10429,325.91,0.00
/mnt/beegfs/test_dir_1KB_10428,8,32KB,1480.76,7.04,46.27,10429,10429,325.91,0.00
/mnt/beegfs/test_dir_1KB_10428,16,32KB,1632.59,6.39,51.02,10429,10429,325.91,0.00
/mnt/beegfs/test_dir_1KB_10428,32,32KB,1538.88,6.78,48.09,10429,10429,325.91,0.00
/mnt/beegfs/test_dir_1KB_10428,64,32KB,1562.40,6.67,48.82,10429,10429,325.91,0.00
/mnt/beegfs/test_dir_1KB_10428,1,32KB,1240.25,8.41,1.21,10429,10428,10.18,0.71
/mnt/beegfs/test_dir_1KB_10428,2,32KB,2248.38,4.64,2.20,10429,10428,10.18,0.76
/mnt/beegfs/test_dir_1KB_10428,4,32KB,4296.66,2.43,4.20,10429,10428,10.18,0.75
/mnt/beegfs/test_dir_1KB_10428,8,32KB,5535.03,1.88,5.41,10429,10428,10.18,1.05
/mnt/beegfs/test_dir_1KB_10428,16,32KB,4879.74,2.14,4.77,10429,10428,10.18,1.80
/mnt/beegfs/test_dir_1KB_10428,32,32KB,4626.44,2.25,4.52,10429,10428,10.18,3.20
/mnt/beegfs/test_dir_1KB_10428,64,32KB,4657.44,2.24,4.55,10429,10428,10.18,5.76
/mnt/beegfs/test_dir_1KB_10428,128,32KB,4759.47,2.19,4.65,10429,10428,10.18,10.45
/mnt/beegfs/test_dir_1KB_10428,256,32KB,4475.54,2.33,4.37,10429,10428,10.18,21.99
/mnt/beegfs/test_dir_1KB_10428,512,32KB,4565.67,2.28,4.46,10429,10428,10.18,39.13
