Method,Directory,ThreadNum,IOSIZE,Total Time(s),IOPS,Throughput(GiB/sec),Filenum,Avg_latancy(ms)
GDS,Beegfs_test_dir_512B_10428,1,512B,5.788659,1801.454,0.000859,10428,0.555107
GDS,Beegfs_test_dir_1KB_10428,1,1KB,5.792030,1800.405,0.001717,10428,0.555431
GDS,Beegfs_test_dir_2KB_10428,1,2KB,5.613839,1857.552,0.003543,10428,0.538343
GDS,Beegfs_test_dir_4KB_10428,1,4KB,4.916532,2121.007,0.008091,10428,0.471474
GDS,Beegfs_test_dir_8KB_10428,1,8KB,5.190457,2009.072,0.015328,10428,0.497742
GDS,Beegfs_test_dir_16KB_10428,1,16KB,5.437166,1917.911,0.029265,10428,0.521401
GDS,Beegfs_test_dir_512B_10428,2,512B,2.894329,3602.907,0.001718,10428,0.277554
GDS,Beegfs_test_dir_1KB_10428,2,1KB,2.874253,3628.073,0.003460,10428,0.275628
GDS,Beegfs_test_dir_2KB_10428,2,2KB,3.187984,3271.033,0.006239,10428,0.305714
GDS,Beegfs_test_dir_4KB_10428,2,4KB,2.751775,3789.554,0.014456,10428,0.263883
GDS,Beegfs_test_dir_8KB_10428,2,8KB,2.691361,3874.619,0.029561,10428,0.258090
GDS,Beegfs_test_dir_16KB_10428,2,16KB,2.881645,3618.767,0.055218,10428,0.276337
GDS,Beegfs_test_dir_512B_10428,4,512B,1.409826,7396.655,0.003527,10428,0.135196
GDS,Beegfs_test_dir_1KB_10428,4,1KB,1.392455,7488.930,0.007142,10428,0.133530
GDS,Beegfs_test_dir_2KB_10428,4,2KB,1.449908,7192.183,0.013718,10428,0.139040
GDS,Beegfs_test_dir_4KB_10428,4,4KB,1.456810,7158.104,0.027306,10428,0.139702
GDS,Beegfs_test_dir_8KB_10428,4,8KB,1.460260,7141.196,0.054483,10428,0.140033
GDS,Beegfs_test_dir_16KB_10428,4,16KB,1.537066,6784.352,0.103521,10428,0.147398
GDS,Beegfs_test_dir_512B_10428,8,512B,0.716596,14552.138,0.006939,10428,0.068718
GDS,Beegfs_test_dir_1KB_10428,8,1KB,0.707974,14729.347,0.014047,10428,0.067892
GDS,Beegfs_test_dir_2KB_10428,8,2KB,0.723056,14422.114,0.027508,10428,0.069338
GDS,Beegfs_test_dir_4KB_10428,8,4KB,0.629574,16563.569,0.063185,10428,0.060373
GDS,Beegfs_test_dir_8KB_10428,8,8KB,0.819422,12726.043,0.097092,10428,0.078579
GDS,Beegfs_test_dir_16KB_10428,8,16KB,0.761596,13692.305,0.208928,10428,0.073034
GDS,Beegfs_test_dir_512B_10428,16,512B,0.391532,26633.830,0.012700,10428,0.037546
GDS,Beegfs_test_dir_1KB_10428,16,1KB,0.385746,27033.338,0.025781,10428,0.036991
GDS,Beegfs_test_dir_2KB_10428,16,2KB,0.374757,27826.061,0.053074,10428,0.035938
GDS,Beegfs_test_dir_4KB_10428,16,4KB,0.364908,28577.104,0.109013,10428,0.034993
GDS,Beegfs_test_dir_8KB_10428,16,8KB,0.440879,23652.729,0.180456,10428,0.042278
GDS,Beegfs_test_dir_16KB_10428,16,16KB,0.426796,24433.197,0.372821,10428,0.040928
GDS,Beegfs_test_dir_512B_10428,32,512B,0.348065,29959.913,0.014286,10428,0.033378
GDS,Beegfs_test_dir_1KB_10428,32,1KB,0.355138,29363.274,0.028003,10428,0.034056
GDS,Beegfs_test_dir_2KB_10428,32,2KB,0.351317,29682.565,0.056615,10428,0.033690
GDS,Beegfs_test_dir_4KB_10428,32,4KB,0.353801,29474.161,0.112435,10428,0.033928
GDS,Beegfs_test_dir_8KB_10428,32,8KB,0.410237,25419.448,0.193935,10428,0.039340
GDS,Beegfs_test_dir_16KB_10428,32,16KB,0.403316,25855.656,0.394526,10428,0.038676
GDS,Beegfs_test_dir_512B_10428,64,512B,0.406346,25662.849,0.012237,10428,0.038967
GDS,Beegfs_test_dir_1KB_10428,64,1KB,0.407278,25604.129,0.024418,10428,0.039056
GDS,Beegfs_test_dir_2KB_10428,64,2KB,0.414242,25173.688,0.048015,10428,0.039724
GDS,Beegfs_test_dir_4KB_10428,64,4KB,0.416097,25061.491,0.095602,10428,0.039902
GDS,Beegfs_test_dir_8KB_10428,64,8KB,0.493269,21140.603,0.161290,10428,0.047302
GDS,Beegfs_test_dir_16KB_10428,64,16KB,0.484033,21543.977,0.328735,10428,0.046417
GDS,Beegfs_test_dir_512B_10428,128,512B,0.486494,21434.991,0.010221,10428,0.046653
GDS,Beegfs_test_dir_1KB_10428,128,1KB,0.485071,21497.905,0.020502,10428,0.046516
GDS,Beegfs_test_dir_2KB_10428,128,2KB,0.486637,21428.699,0.040872,10428,0.046666
GDS,Beegfs_test_dir_4KB_10428,128,4KB,0.483602,21563.179,0.082257,10428,0.046375
GDS,Beegfs_test_dir_8KB_10428,128,8KB,0.524431,19884.409,0.151706,10428,0.050291
GDS,Beegfs_test_dir_16KB_10428,128,16KB,0.525889,19829.293,0.302571,10428,0.050430
GDS,Beegfs_test_dir_512B_10428,1,512B,5.748506,1814.036,0.000865,10428,0.551257
GDS,Beegfs_test_dir_1KB_10428,1,1KB,6.082517,1714.422,0.001635,10428,0.583287
GDS,Beegfs_test_dir_2KB_10428,1,2KB,5.574504,1870.660,0.003568,10428,0.534571
GDS,Beegfs_test_dir_4KB_10428,1,4KB,4.927494,2116.289,0.008073,10428,0.472525
GDS,Beegfs_test_dir_8KB_10428,1,8KB,5.143479,2027.422,0.015468,10428,0.493237
GDS,Beegfs_test_dir_16KB_10428,1,16KB,5.098813,2045.182,0.031207,10428,0.488954
GDS,Beegfs_test_dir_1MB_1024,1,32KB,0.439355,2330.690,0.071127,1024,0.429058
GDS,Beegfs_test_dir_1MB_1024,1,64KB,0.577789,1772.274,0.108171,1024,0.564247
GDS,Beegfs_test_dir_1MB_1024,1,128KB,0.615788,1662.910,0.202992,1024,0.601355
GDS,Beegfs_test_dir_1MB_1024,1,256KB,0.745701,1373.204,0.335255,1024,0.728224
GDS,Beegfs_test_dir_1MB_1024,1,512KB,0.877792,1166.563,0.569611,1024,0.857219
GDS,Beegfs_test_dir_1MB_1024,1,1024KB,1.636833,625.598,0.610936,1024,1.598469
GDS,Beegfs_test_dir_512B_10428,2,512B,2.890964,3607.101,0.001720,10428,0.277231
GDS,Beegfs_test_dir_1KB_10428,2,1KB,2.878413,3622.830,0.003455,10428,0.276027
GDS,Beegfs_test_dir_2KB_10428,2,2KB,2.929714,3559.391,0.006789,10428,0.280947
GDS,Beegfs_test_dir_4KB_10428,2,4KB,2.426625,4297.327,0.016393,10428,0.232703
GDS,Beegfs_test_dir_8KB_10428,2,8KB,2.897808,3598.582,0.027455,10428,0.277887
GDS,Beegfs_test_dir_16KB_10428,2,16KB,3.029043,3442.672,0.052531,10428,0.290472
GDS,Beegfs_test_dir_1MB_1024,2,32KB,0.308541,3318.841,0.101283,1024,0.301310
GDS,Beegfs_test_dir_1MB_1024,2,64KB,0.317736,3222.798,0.196704,1024,0.310289
GDS,Beegfs_test_dir_1MB_1024,2,128KB,0.324101,3159.507,0.385682,1024,0.316505
GDS,Beegfs_test_dir_1MB_1024,2,256KB,0.395997,2585.879,0.631318,1024,0.386716
GDS,Beegfs_test_dir_1MB_1024,2,512KB,0.502903,2036.179,0.994228,1024,0.491116
