IOSize (KB),Threads,Throughput (GiB/sec),IOPS
32,1,0.061458,2013.855744
32,2,0.105374,3452.895232
32,4,0.235436,7714.766848
32,8,0.398026,13042.515968
64,1,0.119796,1962.737664
64,2,0.210801,3453.763584
64,4,0.39228,6427.11552
64,8,0.843195,13814.90688
128,1,0.215255,1763.36896
128,2,0.38715,3171.5328
128,4,0.712032,5832.966144
128,8,1.495251,12249.096192
256,1,0.346818,1420.566528
256,2,0.670421,2746.044416
256,4,1.248763,5114.933248
256,8,2.406952,9858.875392
512,1,0.6088,1246.8224
512,2,1.067631,2186.508288
512,4,2.035444,4168.589312
512,8,3.786744,7755.251712
1024,1,0.517899,530.328576
1024,2,1.000778,1024.796672
1024,4,2.034488,2083.315712
1024,8,3.513395,3597.71648
2048,1,0.495308,253.597696
2048,2,1.045588,535.341056
2048,4,2.090281,1070.223872
2048,8,3.658092,1872.943104
4096,1,0.535236,137.020416
4096,2,1.067564,273.296384
4096,4,2.274359,582.235904
4096,8,3.736059,956.431104
8192,1,0.615442,78.776576
8192,2,0.98419,125.97632
8192,4,2.120935,271.47968
8192,8,3.712701,475.225728
16384,1,0.903584,57.829376
16384,2,1.683314,107.732096
16384,4,3.041067,194.628288
16384,8,2.230486,142.751104
32768,1,1.568539,50.193248
32768,2,1.836183,58.757856
32768,4,2.366528,75.728896
32768,8,2.532962,81.054784
65536,1,1.598057,25.568912
65536,1,1.625107,26.001712
65536,1,1.671257,26.740112
65536,1,1.324489,21.191824
0.5,1,0.000937,1965.031424
0.5,2,0.00194,4068.47488
0.5,4,0.003559,7463.763968
0.5,8,0.006537,13709.082624
0.5,16,0.012763,26765.950976
0.5,32,0.013426,28156.362752
0.5,64,0.011831,24811.405312
0.5,128,0.009857,20671.627264
