IOSize (KB),Threads,Throughput (GiB/sec),IOPS,Data_Points
0.5,1,0.0007383333333333334,1548.3972266666667,3
1.0,1,0.001742,1826.619392,1
2.0,1,0.003568,1870.659584,1
4.0,1,0.008271,2168.193024,1
8.0,1,0.016281,2133.983232,1
16.0,1,0.033939,2224.226304,1
32.0,1,0.061404,2012.086272,1
64.0,1,0.124598,2041.413632,1
128.0,1,0.235798,1931.657216,1
256.0,1,0.39612,1622.50752,1
512.0,1,0.541117,1108.207616,1
1024.0,1,0.567067,580.676608,1
2048.0,1,0.651317,333.474304,1
4096.0,1,0.589013,150.787328,1
8192.0,1,0.579501,74.176128,1
16384.0,1,1.072432,68.635648,1
32768.0,1,1.955229,62.567328,1
65536.0,1,2.053076,32.849216,1
