IOSize (KB),Threads,Throughput (GiB/sec),IOPS
0.5,1,0.000935,1960.83712
0.5,2,0.001786,3745.513472
0.5,4,0.003737,7837.057024
0.5,8,0.007708,16164.847616
0.5,16,0.014158,29691.478016
0.5,32,0.015614,32744.931328
0.5,64,0.011983,25130.172416
0.5,128,0.0086,18035.5072
0.5,256,0.000382,801.112064
1,1,0.002116,2218.786816
1,2,0.003537,3708.813312
1,4,0.006932,7268.728832
1,8,0.013708,14373.879808
1,16,0.028061,29424.091136
1,32,0.031199,32714.522624
1,64,0.024214,25390.219264
1,128,0.014236,14927.527936
1,256,0.00079,828.37504
2,1,0.00545,2857.3696
2,2,0.006685,3504.86528
2,4,0.013346,6997.147648
2,8,0.028456,14919.139328
2,16,0.055529,29113.188352
2,32,0.06232,32673.62816
2,64,0.048324,25335.693312
2,128,0.025723,13486.260224
2,256,0.001495,783.81056
4,1,0.01183,3101.16352
4,2,0.022343,5857.083392
4,4,0.027914,7317.487616
4,8,0.063578,16666.591232
4,16,0.106354,27880.062976
4,32,0.118204,30986.469376
4,64,0.092758,24315.953152
4,128,0.048751,12779.782144
4,256,0.022762,5966.921728
8,1,0.023643,3098.935296
8,2,0.042776,5606.735872
8,4,0.108399,14208.073728
8,8,0.19059,24981.01248
8,16,0.162767,21334.196224
8,32,0.229693,30106.320896
8,64,0.181569,23798.611968
8,128,0.087647,11488.067584
8,256,0.040973,5370.413056
16,1,0.032093,2103.246848
16,2,0.057678,3779.985408
16,4,0.107863,7068.909568
16,8,0.229918,15067.906048
16,16,0.344358,22567.845888
16,32,0.346004,22675.718144
16,64,0.319109,20913.127424
16,128,0.153841,10082.123776
16,256,0.062138,4072.275968
0.5,1,0.000914,1916.796928
0.5,2,0.00172,3607.10144
0.5,4,0.003288,6895.435776
0.5,8,0.006619,13881.049088
0.5,16,0.012877,27005.026304
0.5,32,0.015138,31746.686976
0.5,64,0.011798,24742.199296
0.5,128,0.00864,18119.39328
0.5,256,0.000367,769.654784
1,1,0.004574,4796.186624
1,2,0.003454,3621.781504
1,4,0.006832,7163.871232
1,8,0.013031,13663.993856
1,16,0.026967,28276.948992
1,32,0.029653,31093.424128
1,64,0.023346,24480.055296
1,128,0.014122,14807.990272
1,256,0.000804,843.055104
2,1,0.004784,2508.193792
2,2,0.006724,3525.312512
2,4,0.01351,7083.13088
2,8,0.027527,14432.075776
2,16,0.059807,31356.092416
2,32,0.058478,30659.313664
2,64,0.051237,26862.944256
2,128,0.025851,13553.369088
2,256,0.001422,745.537536
4,1,0.012037,3155.427328
4,2,0.024596,6447.693824
4,4,0.058378,15303.442432
4,8,0.074226,19457.900544
4,16,0.122638,32148.815872
4,32,0.116525,30546.3296
4,64,0.097874,25657.081856
4,128,0.047356,12414.091264
4,256,0.024129,6325.272576
8,1,0.023928,3136.290816
8,2,0.0454,5950.6688
8,4,0.092671,12146.573312
8,8,0.132047,17307.664384
8,16,0.215653,28266.070016
8,32,0.203254,26640.908288
8,64,0.162747,21331.574784
8,128,0.089439,11722.948608
8,256,0.043346,5681.446912
16,1,0.030223,1980.694528
16,2,0.055675,3648.7168
16,4,0.104087,6821.445632
16,8,0.200359,13130.727424
16,16,0.398259,26100.301824
16,32,0.368921,24177.606656
16,64,0.287135,18817.67936
16,128,0.158587,10393.157632
16,256,0.06456,4231.00416
0.5,1,0.000931,1952.448512
0.5,2,0.001808,3791.650816
0.5,4,0.003432,7197.425664
0.5,8,0.006545,13725.85984
0.5,16,0.01299,27242.00448
0.5,32,0.015083,31631.343616
0.5,64,0.011763,24668.798976
0.5,128,0.008646,18131.976192
0.5,256,0.000372,780.140544
1,1,0.00198,2076.18048
1,2,0.003506,3676.307456
1,4,0.006714,7040.139264
1,8,0.013363,14012.121088
1,16,0.026579,27870.101504
1,32,0.03314,34749.80864
1,64,0.023348,24482.152448
1,128,0.014968,15695.085568
1,256,0.000714,748.683264
2,1,0.005008,2625.634304
2,2,0.006862,3597.664256
2,4,0.013124,6880.755712
2,8,0.025384,13308.526592
2,16,0.056831,29795.811328
2,32,0.05896,30912.02048
2,64,0.046632,24448.598016
2,128,0.02603,13647.21664
2,256,0.001403,735.576064
4,1,0.012331,3232.497664
4,2,0.021472,5628.755968
4,4,0.048621,12745.703424
4,8,0.063061,16531.062784
4,16,0.10169,26657.42336
4,32,0.123791,32451.067904
4,64,0.098404,25796.018176
4,128,0.047762,12520.521728
4,256,0.023166,6072.827904
8,1,0.023857,3126.984704
8,2,0.037342,4894.490624
8,4,0.092134,12076.187648
8,8,0.109384,14337.179648
8,16,0.213113,27933.147136
8,32,0.241817,31695.437824
8,64,0.167168,21911.044096
8,128,0.084325,11052.6464
8,256,0.038455,5040.37376
16,1,0.031516,2065.432576
16,2,0.056581,3708.092416
16,4,0.107403,7038.763008
16,8,0.214251,14041.153536
16,16,0.369203,24196.087808
16,32,0.366649,24028.708864
16,64,0.2895,18972.672
16,128,0.155309,10178.330624
16,256,0.057864,3792.175104
0.5,1,0.000938,1967.128576
0.5,2,0.001747,3663.724544
0.5,4,0.003559,7463.763968
0.5,8,0.006883,14434.697216
0.5,16,0.013202,27686.600704
0.5,32,0.015088,31641.829376
0.5,64,0.012021,25209.864192
0.5,128,0.008526,17880.317952
0.5,256,0.000394,826.277888
1,1,0.001879,1970.274304
1,2,0.003382,3546.284032
1,4,0.006838,7170.162688
1,8,0.013797,14467.203072
1,16,0.02643,27713.86368
1,32,0.029853,31303.139328
1,64,0.023873,25032.654848
1,128,0.013934,14610.857984
1,256,0.00076,796.91776
2,1,0.004776,2503.999488
2,2,0.006479,3396.861952
2,4,0.013558,7108.296704
2,8,0.028147,14757.134336
2,16,0.05197,27247.24736
2,32,0.058228,30528.241664
2,64,0.047577,24944.050176
2,128,0.026566,13928.235008
2,256,0.001396,731.906048
4,1,0.012597,3302.227968
4,2,0.02261,5927.07584
4,4,0.04095,10734.7968
4,8,0.069045,18099.73248
4,16,0.111027,29105.061888
4,32,0.115536,30287.069184
4,64,0.087751,23003.398144
4,128,0.045792,12004.098048
4,256,0.022167,5810.946048
8,1,0.023517,3082.420224
8,2,0.043691,5726.666752
8,4,0.086968,11399.069696
8,8,0.16999,22280.92928
8,16,0.169614,22231.646208
8,32,0.227509,29820.059648
8,64,0.157596,20656.422912
8,128,0.087937,11526.078464
8,256,0.036947,4842.717184
16,1,0.033211,2176.516096
16,2,0.05496,3601.85856
16,4,0.102457,6714.621952
16,8,0.209235,13712.42496
16,16,0.358393,23487.643648
16,32,0.403036,26413.367296
16,64,0.305058,19992.281088
16,128,0.163053,10685.841408
16,255,0.069124,4530.110464
0.5,1,0.000931,1952.448512
0.5,2,0.001785,3743.41632
0.5,4,0.003457,7249.854464
0.5,8,0.006462,13551.796224
0.5,16,0.012581,26384.269312
0.5,32,0.014524,30459.035648
0.5,64,0.011471,24056.430592
0.5,128,0.008519,17865.637888
0.5,256,0.000365,765.46048
1,1,0.001976,2071.986176
1,2,0.003437,3603.955712
1,4,0.006774,7103.053824
1,8,0.013603,14263.779328
1,16,0.028383,29761.732608
1,32,0.031764,33306.968064
1,64,0.024769,25972.178944
