Method,Directory,Max Workers,IOSIZE,Total Time(s),IOPS,Bandwidth(GBytes/s),filenum,avg_latancy(ms)
Baseline,/mnt/beegfs/test_dir_1MB_1024,1,32KB,2.694868326,379.98,0.011596114,1024,2.631707
Baseline,/mnt/beegfs/test_dir_1MB_1024,2,32KB,1.410894156,725.78,0.022149075,1024,1.377826
Baseline,/mnt/beegfs/test_dir_1MB_1024,4,32KB,0.697591066,1467.91,0.044797019,1024,0.681241
Baseline,/mnt/beegfs/test_dir_1MB_1024,8,32KB,0.386773109,2647.55,0.080796724,1024,0.377708
Baseline,/mnt/beegfs/test_dir_1MB_1024,16,32KB,0.286790371,3570.55,0.108964607,1024,0.280069
Baseline,/mnt/beegfs/test_dir_1MB_1024,32,32KB,0.337577105,3033.38,0.092571444,1024,0.329665
Baseline,/mnt/beegfs/test_dir_1MB_1024,64,32KB,0.353901863,2893.46,0.088301315,1024,0.345607
Baseline,/mnt/beegfs/test_dir_1MB_1024,128,32KB,0.359601498,2847.60,0.086901752,1024,0.351173
Baseline,/mnt/beegfs/test_dir_1MB_1024,256,32KB,0.367091417,2789.50,0.085128659,1024,0.358488
Baseline,/mnt/beegfs/test_dir_1MB_1024,512,32KB,0.339877367,3012.85,0.091944928,1024,0.331911
Baseline,/mnt/beegfs/test_dir_1MB_1024,1024,32KB,0.353729248,2894.87,0.088344405,1024,0.345439
Baseline,/mnt/beegfs/test_dir_1MB_1024,1,64KB,2.820787907,363.02,0.022156930,1024,2.754676
Baseline,/mnt/beegfs/test_dir_1MB_1024,2,64KB,1.408448935,727.04,0.044375056,1024,1.375438
Baseline,/mnt/beegfs/test_dir_1MB_1024,4,64KB,0.715285778,1431.60,0.087377663,1024,0.698521
Baseline,/mnt/beegfs/test_dir_1MB_1024,8,64KB,0.387374878,2643.43,0.161342419,1024,0.378296
Baseline,/mnt/beegfs/test_dir_1MB_1024,16,64KB,0.399846315,2560.98,0.156310056,1024,0.390475
Baseline,/mnt/beegfs/test_dir_1MB_1024,32,64KB,0.400707245,2555.48,0.155974220,1024,0.391316
Baseline,/mnt/beegfs/test_dir_1MB_1024,64,64KB,0.398331881,2570.72,0.156904338,1024,0.388996
Baseline,/mnt/beegfs/test_dir_1MB_1024,128,64KB,0.446990728,2290.88,0.139823929,1024,0.436514
Baseline,/mnt/beegfs/test_dir_1MB_1024,256,64KB,0.412830591,2480.44,0.151393819,1024,0.403155
Baseline,/mnt/beegfs/test_dir_1MB_1024,512,64KB,0.463435173,2209.59,0.134862444,1024,0.452573
Baseline,/mnt/beegfs/test_dir_1MB_1024,1024,64KB,0.412678957,2481.35,0.151449447,1024,0.403007
Baseline,/mnt/beegfs/test_dir_1MB_1024,1,128KB,2.888169289,354.55,0.043280011,1024,2.820478
Baseline,/mnt/beegfs/test_dir_1MB_1024,2,128KB,1.452074289,705.20,0.086083750,1024,1.418041
Baseline,/mnt/beegfs/test_dir_1MB_1024,4,128KB,0.745529175,1373.52,0.167666141,1024,0.728056
Baseline,/mnt/beegfs/test_dir_1MB_1024,8,128KB,0.465051889,2201.90,0.268787210,1024,0.454152
Baseline,/mnt/beegfs/test_dir_1MB_1024,16,128KB,0.546601772,1873.39,0.228685684,1024,0.533791
Baseline,/mnt/beegfs/test_dir_1MB_1024,32,128KB,0.569635868,1797.64,0.219438429,1024,0.556285
