Directory,Max Workers,Total Time(s)
/mnt/beegfs/test_dir_1KB_10428,32,2.569774389
/mnt/beegfs/test_dir_1KB_10428,1,15.259979010
/mnt/beegfs/test_dir_1KB_10428,1,14.927418470
/mnt/beegfs/test_dir_1KB_10428,1,15.472568035
/mnt/beegfs/test_dir_1KB_10428,1,14.129941702
/mnt/beegfs/test_dir_1KB_10428,1,14.504798174
/mnt/beegfs/test_dir_1KB_10428,1,15.730160713
/mnt/beegfs/test_dir_1KB_10428,1,13.955333710
/mnt/beegfs/test_dir_1KB_10428,1,14.102482080
/mnt/beegfs/test_dir_1KB_10428,1,4.033139467
/mnt/beegfs/test_dir_1KB_10428,1,3.650347948
/mnt/beegfs/test_dir_1KB_10428,1,15.220066309
/mnt/beegfs/test_dir_1KB_10428,1,14.586694002
/mnt/beegfs/test_dir_1KB_10428,1,14.981534719
/mnt/beegfs/test_dir_1KB_10428,1,16.121677160
/mnt/beegfs/test_dir_1KB_10428,1,14.758749008
/mnt/beegfs/test_dir_1KB_10428,1,15.235192776
/mnt/beegfs/test_dir_1KB_10428,1,14.607074976
/mnt/beegfs/test_dir_1KB_10428,1,15.341363192
/mnt/beegfs/test_dir_1KB_10428,1,15.087611437
/mnt/beegfs/test_dir_1KB_10428,1,14.910182714
/mnt/beegfs/test_dir_1KB_10428,2,7.010082006
/mnt/beegfs/test_dir_1KB_10428,2,7.005027294
/mnt/beegfs/test_dir_1KB_10428,2,7.229652643
/mnt/beegfs/test_dir_1KB_10428,2,6.557749510
/mnt/beegfs/test_dir_1KB_10428,2,7.702489138
/mnt/beegfs/test_dir_1KB_10428,2,7.021309376
/mnt/beegfs/test_dir_1KB_10428,2,7.043543577
/mnt/beegfs/test_dir_1KB_10428,2,7.286977053
/mnt/beegfs/test_dir_1KB_10428,2,6.144460678
/mnt/beegfs/test_dir_1KB_10428,2,5.449695826
/mnt/beegfs/test_dir_1KB_10428,2,5.776914358
/mnt/beegfs/test_dir_1KB_10428,2,6.622959375
/mnt/beegfs/test_dir_1KB_10428,2,6.644929409
/mnt/beegfs/test_dir_1KB_10428,2,6.939181328
/mnt/beegfs/test_dir_1KB_10428,2,6.859257460
/mnt/beegfs/test_dir_1KB_10428,2,6.464272022
/mnt/beegfs/test_dir_1KB_10428,2,5.761375904
/mnt/beegfs/test_dir_1KB_10428,2,2.299312353
/mnt/beegfs/test_dir_1KB_10428,2,1.739457369
/mnt/beegfs/test_dir_1KB_10428,2,1.660311937
/mnt/beegfs/test_dir_1KB_10428,4,1.802423477
/mnt/beegfs/test_dir_1KB_10428,4,2.813071728
/mnt/beegfs/test_dir_1KB_10428,4,1.159713507
/mnt/beegfs/test_dir_1KB_10428,4,1.288822651
/mnt/beegfs/test_dir_1KB_10428,4,2.021003008
/mnt/beegfs/test_dir_1KB_10428,4,3.148454666
/mnt/beegfs/test_dir_1KB_10428,4,3.091528893
/mnt/beegfs/test_dir_1KB_10428,4,2.969566822
/mnt/beegfs/test_dir_1KB_10428,4,3.187091827
/mnt/beegfs/test_dir_1KB_10428,4,2.920259714
/mnt/beegfs/test_dir_1KB_10428,4,3.357518673
/mnt/beegfs/test_dir_1KB_10428,4,2.877503872
/mnt/beegfs/test_dir_1KB_10428,4,2.903208494
/mnt/beegfs/test_dir_1KB_10428,4,2.945980787
/mnt/beegfs/test_dir_1KB_10428,4,3.131310225
/mnt/beegfs/test_dir_1KB_10428,4,3.478360176
/mnt/beegfs/test_dir_1KB_10428,4,2.989751101
/mnt/beegfs/test_dir_1KB_10428,4,3.404352188
/mnt/beegfs/test_dir_1KB_10428,4,2.969625711
/mnt/beegfs/test_dir_1KB_10428,4,3.126556873
/mnt/beegfs/test_dir_1KB_10428,8,1.347057581
/mnt/beegfs/test_dir_1KB_10428,8,1.438471556
/mnt/beegfs/test_dir_1KB_10428,8,1.316982031
/mnt/beegfs/test_dir_1KB_10428,8,1.288386583
/mnt/beegfs/test_dir_1KB_10428,8,1.320301294
/mnt/beegfs/test_dir_1KB_10428,8,1.352649689
/mnt/beegfs/test_dir_1KB_10428,8,1.323844671
/mnt/beegfs/test_dir_1KB_10428,8,1.320606470
/mnt/beegfs/test_dir_1KB_10428,8,11.739924669
/mnt/beegfs/test_dir_1KB_10428,8,1.336332321
/mnt/beegfs/test_dir_1KB_10428,8,1.393244743
/mnt/beegfs/test_dir_1KB_10428,8,1.548182964
/mnt/beegfs/test_dir_1KB_10428,8,1.426263809
/mnt/beegfs/test_dir_1KB_10428,8,1.362598419
/mnt/beegfs/test_dir_1KB_10428,8,1.503696918
/mnt/beegfs/test_dir_1KB_10428,8,1.488849163
/mnt/beegfs/test_dir_1KB_10428,8,1.367872953
/mnt/beegfs/test_dir_1KB_10428,8,1.321207047
/mnt/beegfs/test_dir_1KB_10428,8,1.339207172
/mnt/beegfs/test_dir_1KB_10428,8,1.330087900
/mnt/beegfs/test_dir_1KB_10428,16,1.583444595
/mnt/beegfs/test_dir_1KB_10428,16,1.420319319
/mnt/beegfs/test_dir_1KB_10428,16,1.358850241
/mnt/beegfs/test_dir_1KB_10428,16,2.232676506
/mnt/beegfs/test_dir_1KB_10428,16,1.427482128
/mnt/beegfs/test_dir_1KB_10428,16,1.203971624
/mnt/beegfs/test_dir_1KB_10428,16,1.741019726
/mnt/beegfs/test_dir_1KB_10428,16,1.749611616
/mnt/beegfs/test_dir_1KB_10428,16,1.561097383
/mnt/beegfs/test_dir_1KB_10428,16,1.388375282
/mnt/beegfs/test_dir_1KB_10428,16,1.721927881
/mnt/beegfs/test_dir_1KB_10428,16,1.532028198
/mnt/beegfs/test_dir_1KB_10428,16,1.666910887
/mnt/beegfs/test_dir_1KB_10428,16,1.432066441
/mnt/beegfs/test_dir_1KB_10428,16,1.417416573
/mnt/beegfs/test_dir_1KB_10428,16,1.378171206
/mnt/beegfs/test_dir_1KB_10428,16,1.620344639
/mnt/beegfs/test_dir_1KB_10428,16,1.705518723
/mnt/beegfs/test_dir_1KB_10428,16,1.338990450
/mnt/beegfs/test_dir_1KB_10428,16,1.481136322
